theme,subsector_key,subsector,description,num_members,members
Artificial Intelligence,aicompute,Compute,Compute & Acceleration,16,NVDA SMCI AMD TSM AVGO ARM ASML MU ANET AMAT LRCX KLAC MRVL INTC GOOGL MSFT
Artificial Intelligence,aicloud,Cloud,Cloud & Infrastructure,11,MSFT AMZN GOOGL ORCL SMCI EQIX DLR IBM HPE DELL VRT
Artificial Intelligence,aimodels,Models,Foundation Models & Platforms,9,MSFT GOOGL META NVDA AMZN IBM AI PLTR BIDU
Artificial Intelligence,aidata,Data,Data Infrastructure & Enablement,13,SNOW MSFT PLTR AMZN GOOGL MDB AI NVDA CRM INOD SAP NOW DDOG
Artificial Intelligence,aienterprise,Enterprise,Enterprise Productivity & Software Integration,10,MSFT GOOGL ADBE CRM NOW WDAY SAP PATH ORCL INTU
Artificial Intelligence,ainetworking,Networking,Networking & Systems Optimization,10,NVDA ANET AVGO SMCI MRVL NET CSCO HPE IBM MSFT
Artificial Intelligence,aisecurity,Security,Cybersecurity,9,PANW CRWD ZS S FTNT MSFT CHKP CSCO OKTA
Artificial Intelligence,aiedge,Edge,Edge & Embedded Systems,11,QCOM ARM AMBA NXPI SYNA AAPL CEVA LSCC INTC NVDA AMD
Artificial Intelligence,airobotics,Robotics,Robotics & Automation,12,CGNX ROK TER NVDA ISRG ZBRA HON SYM PATH AMBA AVAV TSLA
Artificial Intelligence,aiapplications,Applications,"Apps, Domain-Specific AI",9,PLTR AI BBAI RXRX UPST CRNC SOUN CGNX TSLA
Artificial Intelligence,aiadssearch,Ads & Search,"Ads, Search & Recommendations",12,GOOGL META AMZN TTD MSFT APP PINS SNAP BIDU DV MGNI PUBM
Artificial Intelligence,aienergy,Energy,Power & Energy Solutions,13,AMZN MSFT GOOGL D ORCL TLN IBM TSLA PWR BABA AES SMR OKLO
Artificial Intelligence,aiagi,AGI,"AGI, general intelligence",7,MSFT GOOGL META NVDA AMZN AMD IBM
Cloud Computing,cloudhyperscalers,Hyperscalers,Hyperscalers,6,AMZN MSFT GOOGL ORCL IBM BABA
Cloud Computing,clouddatacenters,Data Centers,Data Centers,4,EQIX DLR IRM DBRG
Cloud Computing,clouddatabases,Databases,Data Platforms & Databases,9,SNOW MDB CFLT ORCL MSFT AMZN GOOGL ESTC IBM
Cloud Computing,clouddevops,DevOps,"DevOps, Observability",12,DDOG GTLB DT CSCO MSFT AMZN ESTC PD GOOGL FROG IBM ORCL
Cloud Computing,cloudsecurity,Security,Security,10,PANW CRWD ZS FTNT OKTA MSFT NET S AMZN GOOGL
Cloud Computing,cloudhybridcloud,Hybrid Cloud,Hybrid Cloud,8,IBM MSFT HPE DELL AMZN GOOGL ORCL AVGO
Cloud Computing,cloudmulticloud,Multi Cloud,Multi-Cloud Management,10,NTNX ZS RXT MSFT IBM NET FFIV NOW DDOG ORCL
Cloud Computing,cloudserverless,Serverless,Serverless Computing,7,AMZN MSFT GOOGL NET FSLY BABA IBM
Cloud Computing,cloudpaas,PaaS,"Platforms & Services, PaaS",9,MSFT GOOGL AMZN DOCN TWLO ORCL CRM IBM TEAM
Cloud Computing,cloudhardware,Hardware,"Hardware, Networking & OEM",11,SMCI NVDA DELL HPE ANET CSCO AMD INTC AVGO MRVL VRT
Cloud Computing,cloudedge,Edge,"Edge, CDN, Zero-Trust Networking",9,NET AKAM FSLY ZS PANW FTNT MSFT GOOGL AMZN
Cloud Computing,cloudhsaas,H-SaaS,Horizontal SaaS & Cloud Applications,15,CRM TEAM MSFT NOW ZM GOOGL HUBS ADBE INTU SHOP DOCU DBX MNDY ASAN WDAY
Semiconductors,semiscompute,Compute,"Logic & CPUs, GPUs, Accelerators",8,NVDA AMD INTC ARM MRVL QCOM AVGO TSM
Semiconductors,semismemory,Memory,Memory & Storage,4,MU WDC STX RMBS
Semiconductors,semisanalog,Analog,"Analog, Mixed-Signal & Power Management",7,TXN ADI ON MPWR NXPI MCHP STM
Semiconductors,semiswireless,Wireless,Wireless & Connectivity,6,QCOM SWKS QRVO AVGO MRVL NXPI
Semiconductors,semisfoundries,Foundries,Foundries & Manufacturing,4,TSM GFS UMC INTC
Semiconductors,semisdesigntools,Design Tools,EDA Tools & Design Software,6,SNPS CDNS RMBS PDFS ARM KEYS
Semiconductors,semislithography,Lithography,"Equipment, Lithography & Deposition",5,ASML AMAT LRCX KLAC ACLS
Semiconductors,semispackaging,Packaging,"Testing, Packaging & Assembly",6,TER AMKR COHU FORM ASX CAMT
Semiconductors,semisnextgen,Next-Gen,Emerging Technologies,14,WOLF LSCC NVTS STM ON POWI IONQ MRVL NVEC MRAM SIMO NVDA AMD INTC
Cybersecurity,cybersecurityzerotrust,ZeroTrust,Zero Trust,8,ZS NET OKTA PANW CRWD MSFT FTNT CSCO
Cybersecurity,cybersecurityendpoint,Endpoint,Endpoint Security,6,CRWD S PANW MSFT FTNT CHKP
Cybersecurity,cybersecuritynetwork,Network,Network Security,4,PANW FTNT CHKP CSCO
Cybersecurity,cybersecuritycloud,Cloud,Cloud Security,11,PANW ZS CRWD S NET MSFT GOOGL CHKP AMZN QLYS TENB
Cybersecurity,cybersecurityidentityiam,Identity IAM,Identity & Access Management,6,OKTA MSFT SAIL PANW CSCO AVGO
Cybersecurity,cybersecuritythreatops,ThreatOps,Threat Intelligence,6,CRWD RPD FTNT PANW ESTC NET
Cybersecurity,cybersecuritysiem,SIEM,Security Information & Event Management,7,IBM PANW MSFT CSCO CRWD FTNT RPD
Cybersecurity,cybersecurityappsecurity,App Security,Application Security,8,FFIV NET PANW RPD FTNT CRWD QLYS ZS
Software,softwareos,OS,Operating Systems,3,MSFT AAPL GOOGL
Software,softwareenterprise,Enterprise,Enterprise Resource Planning & Management,7,SAP ORCL WDAY MSFT CRM INTU ROP
Software,softwarecrm,CRM,Customer Relationship Management & Marketing,10,CRM HUBS ADBE BRZE MSFT INTU FRSH ORCL TWLO SAP
Software,softwarecollaboration,Collaboration,Collaboration & Communications,9,ZM MSFT TEAM RNG GOOGL CSCO CRM DOCU TWLO
Software,softwaregaming,Gaming,Gaming & Platforms,7,EA TTWO RBLX U MSFT SONY NTES
Software,softwareecommerce,E-Commerce,E-Commerce & Digital Platforms,11,SHOP XYZ MELI AMZN ETSY CPNG EBAY BABA PDD JD WMT
Software,softwaredesign,Design,"Design, Creativity & Engineering",9,ADBE ADSK PTC FIG BSY U CDNS SNPS TRMB
Software,softwaresecurity,Security,Cybersecurity,14,PANW CRWD ZS OKTA S FTNT MSFT CHKP NET TENB QLYS CSCO AVGO IBM
Software,softwaredevops,DevOps,"DevOps, Management & Observability",12,DDOG DT GTLB TEAM NOW FROG PD ESTC MSFT GOOGL AMZN CSCO
Software,softwaredataanalytics,Data Analytics,Data & Analytics,14,SNOW MSFT PLTR GOOGL MDB ORCL AMZN MSTR ESTC TDC DOMO CSCO IBM CRM
Software,softwarehsaas,H-SaaS,Horizontal SaaS Platforms,14,MSFT CRM GOOGL NOW ADBE WDAY TEAM ZM HUBS DOCU SAP INTU ORCL SHOP
Software,softwarevsaas,V-SaaS,Vertical SaaS Platforms,10,VEEV BLKB TYL GWRE TOST DOCS PCOR APPF COUR PTC
Hardware,hardwarepcsdevices,PCs & Devices,Personal Computing & Devices,10,AAPL HPQ DELL LOGI INTC AMD QCOM MSFT NVDA STX
Hardware,hardwareservers,Servers,"Servers, OEMs & Enterprise Systems",7,DELL HPE SMCI IBM CSCO NTAP ANET
Hardware,hardwarenetworking,Networking,Networking Equipment,7,CSCO ANET HPE EXTR UI MRVL AVGO
Hardware,hardwarestorage,Storage,Storage,7,NTAP PSTG WDC STX DELL HPE SMCI
Hardware,hardwaredatacenters,Data Centers,Data Center Infrastructure,6,VRT ETN MOD NVT SMCI DELL
Hardware,hardwareelectronics,Electronics,"Consumer Electronics, Gaming PCs & Consoles",7,SONY LOGI AAPL MSFT GRMN HPQ DELL
Hardware,hardwaregaming,Gaming,Gaming & Immersive Pheriperals,8,META SONY AAPL IMMR CRSR LOGI TBCH HPQ
Hardware,hardwareprinting,Printing,Printing & Imaging,6,HPQ DDD SSYS XRX MTLS NNDM
Hardware,hardwaretelecom,Telecom,Communications & Telecom,11,ANET NOK ERIC CIEN CSCO LITE APH ADTN VIAV MSI HPE
Hardware,hardwareindustrialiot,Industrial IoT,Industrial & IoT,11,ZBRA HON ROK IOT EMR TRMB ADI TEL PI TXN AME
Hardware,hardwarenextgen,Next-Gen,Next-Gen & Specialty,15,NVDA IONQ ISRG QBTS RGTI AVAV KTOS MBLY AMD DDD SSYS TSLA TSM AAPL ASML
Quantum Computing,quantumhardware,Hardware,Hardware Platforms,7,IONQ RGTI IBM GOOGL QBTS QUBT HON
Quantum Computing,quantumcloud,Cloud,Cloud Ecosystems,8,AMZN MSFT IBM IONQ QBTS GOOGL RGTI NVDA
Quantum Computing,quantumsoftware,Software,Software & Tools,7,MSFT IBM NVDA GOOGL QBTS IONQ QUBT
Quantum Computing,quantumenablingtech,Enabling Tech,Enabling Technologies,6,KEYS NVDA AMD INTC HON RGTI
Quantum Computing,quantumnetworking,Networking,Networking & Security,7,ARQQ LAES IBM MSFT NET AMZN HON
Quantum Computing,quantumapplications,Applications,Applications,8,IBM MSFT AMZN QBTS GOOGL IONQ NVDA HON
Virtual & Augmented Reality,varealityhardware,Hardware,Headsets & Hardware,11,META AAPL VUZI QCOM KOPN MSFT LITE COHR NVDA AMD HPQ
Virtual & Augmented Reality,varealitysoftware,Software,Software Platforms & Operating Systems,7,AAPL META MSFT U GOOGL SNAP SONY
Virtual & Augmented Reality,varealityapplications,Applications,Content & Applications,11,RBLX U META MSFT SNAP TTWO EA AAPL AXON ADBE ADSK
Virtual & Augmented Reality,varealityinfrastructure,Infrastructure,Infrastructure & Cloud Rendering,7,AMZN MSFT NVDA GOOGL U QCOM FSLY
Virtual & Augmented Reality,varealityenterprise,Enterprise,Enterprise & Industrial Solutions,8,PTC MSFT U GGRP TRMB NVDA ADSK AXON
Biometrics,biometricshardware,Hardware,Biometric Sensors & Hardware,8,AAPL QCOM BKYI SYNA GRMN EVLV CGNX AWRE
Biometrics,biometricssoftware,Software,Recognition & Analytics,10,MITK AUID AWRE MSFT GOOGL IDN NVDA PLTR META BBAI
Biometrics,biometricsidentity,Identity,Identity Verification & Security,9,AWRE YOU MITK BKYI AUID OKTA MSFT AAPL IDN
Biometrics,biometricsgovdefense,Gov & Defense,"Government, Defense & Public Security",12,LDOS AWRE MITK IDN BKYI AUID LHX SPCB NOC ACN PSN LMT
Big Data,bigdatainfrastructure,Infrastructure,Infrastructure & Storage,16,SNOW MSFT AMZN GOOGL MDB ORCL PSTG NVDA STX WDC SMCI NTAP DELL HPE EQIX DLR
Big Data,bigdataanalyticsbi,Analytics & BI,Analytics & Business Intelligence,11,MSFT CRM DOMO MSTR PLTR TDC SAP CSCO ORCL ESTC DDOG
Big Data,bigdataproviders,Providers,"Data Generation, Sourcing & Providers",12,SPGI RELX TRI MCO MSCI VRSK EFX IQV TRU ICE FDS CSGP
Big Data,bigdataaiplatforms,AI Platforms,AI Platforms & Predictive Analytics,11,MSFT PLTR AMZN GOOGL AI CRM NVDA SAP NICE NOW AMD
Electric Vehicles,evsmanufacturers,Manufacturers,Manufacturers,9,TSLA RIVN NIO LCID XPEV LI PSNY GM F
Electric Vehicles,evsbatteries,Batteries,Batteries & Materials,11,ALB SQM LAC QS SLDP MP MVST SES ENVX TE ABAT
Electric Vehicles,evscharging,Charging,Charging & Infrastructure,8,CHPT TSLA EVGO BLNK ETN WBX BEEM NEE
Electric Vehicles,evschips,Chips,Auto Semiconductors & Power Electronics,8,WOLF ON NVTS STM NXPI NVDA TXN QCOM
Electric Vehicles,evssuppliers,Suppliers,Key Suppliers & Autonomy Tech,12,MBLY BWA APTV MGA INVZ DAN NVDA LEA THRM QCOM NXPI AMBA
Electric Vehicles,evsselfdriving,Self-Driving,Autonomous Driving,9,MBLY NVDA TSLA QCOM AUR INVZ GOOGL HSAI APTV
Electric Vehicles,evsfleets,Fleets,Fleet Management & Telematics,8,IOT NVVE AIOT UBER TRMB LYFT BEEM VZ
Industrial Automation,automationrobotics,Robotics,Industrial Robotics & Autonomous Systems,6,SYM NVDA ROK NOVT ZBRA TER
Industrial Automation,automationautomation,Automation,Factory & Process Automation Systems,6,ROK EMR HON ETN NOVT RRX
Industrial Automation,automationmachinevision,Machine Vision,Industrial Sensors & Machine Vision,10,CGNX TDY ON NOVT ZBRA TXN ST AMBA OUST AME
Industrial Automation,automationsoftware,Software,Industrial Software & Digital Twin,7,PTC ADSK NVDA BSY MSFT SNPS CDNS
Industrial Automation,automationiot,IoT,"Industrial IoT, Connectivity",11,IOT CSCO MSFT HON DGII PTC ZBRA PANW ROK FTNT EMR
Industrial Automation,automationlogistics,Logistics,Smart Logistics & Warehouse Automation,11,SYM AMZN MANH FDX UPS ZBRA HON CGNX GXO ROK ORCL
Industrial Automation,automationdprinting,3D Printing,"Additive Manufacturing, 3D Printing",8,DDD SSYS PRLB MTLS NNDM XMTR GE CRS
Defense & Aerospace,defensedrones,Drones,Drones & Anti-Drone Systems,10,AVAV KTOS RTX RCAT LHX LMT TXT NOC ONDS BA
Defense & Aerospace,defensemissiles,Missiles,Missile Defense & Long-Range Weapons,7,RTX LMT NOC LHX BWXT GD BA
Defense & Aerospace,defensespacetech,SpaceTech,Space Technology & Satellite Services,11,RKLB LMT IRDM NOC VSAT PL RTX LHX SPIR AMZN BKSY
Defense & Aerospace,defensecyberdefense,CyberDefense,Cyber Defense & Electronic Warfare,11,RTX LHX LDOS NOC CACI LMT BAH MRCY PLTR PSN GD
Defense & Aerospace,defenseweapons,Weapons,Precision Weapons & Ammunition Resupply,8,LMT RTX OLN GD NOC LHX AVAV BA
Defense & Aerospace,defenseaviation,Aviation,Next-Generation Aircraft & Maintenance,8,LMT NOC RTX GE BA HEI TDG TXT
Defense & Aerospace,defensemanufacturing,Manufacturing,Secure Defense Supply Chains,14,MP HWM ATI BWXT HXL CRS RTX GE TDG NOC HEI CW GD LMT
Transportation & Logistics,transportationrail,Rail,Freight Rail & Infrastructure,6,UNP CSX NSC CNI CP WAB
Transportation & Logistics,transportationtrucking,Trucking,"Trucking, LTL & Ground Freight",12,ODFL SAIA XPO ARCB KNX JBHT WERN TFII SNDR FDX UPS LSTR
Transportation & Logistics,transportationaircargo,Air Cargo,Air Freight & Express Delivery,4,FDX UPS FWRD UAL
Transportation & Logistics,transportationmaritime,Maritime,Marine Shipping & Ports,7,ZIM MATX GNK SBLK DAC GSL KEX
Transportation & Logistics,transportationwarehousing,Warehousing,"Logistics, Warehousing & Supply Chain Solutions",9,GXO CHRW EXPD MANH HUBG R COLD UPS FWRD
Transportation & Logistics,transportationairtravel,Air Travel,Air Travel & Passenger Transportation,8,DAL UAL AAL LUV ALK ALGT JOBY ACHR
Transportation & Logistics,transportationinfrastructure,Infrastructure,Infrastructure & Equipment,16,CMI PCAR TRMB CAT CSX UNP MANH OSK GE DE APTV WNC CLNE TXT UPS FDX
Transportation & Logistics,transportationnextgen,Next-Gen,Urban Mobility & Emerging Transport Tech,13,UBER TSLA RIVN MBLY AUR LYFT SERV NVDA LI GOOGL JOBY LCID GM
Space Tech,spacelaunch,Launch,Logistics & Launch Services,9,RKLB FLY LUNR MNTS LMT NOC BA SPCE VSAT
Space Tech,spacesatellites,Satellites,Satellite Networks & Connectivity,6,IRDM GSAT VSAT TSAT ASTS SATS
Space Tech,spacedataanalytics,Data Analytics,Data Analytics & Earth Observation,6,PL BKSY SPIR RDW RKLB LDOS
Space Tech,spacedefense,Defense,Defense & Cybersecurity,7,NOC LMT LHX RTX KTOS GD RKLB
Space Tech,spaceinfrastructure,Infrastructure,Infrastructure & Exploration,5,LUNR RDW RKLB SPCE BA
