z_threshold,hysteresis_days,shock_override_z,us2y_weight,whipsaw_pct,changes,q4_2008,q3_2022,q2_2021h1,covid_lag_d,meets_whipsaw,fidelity
0.45,7,0.7,0.5,11.9,177,0.69,0.34,0.88,0,True,1.9100000000000001
0.45,7,0.85,0.5,9.3,162,0.72,0.31,0.87,0,True,1.9
0.35,9,0.7,0.5,12.0,175,0.68,0.38,0.83,0,True,1.8900000000000001
0.45,9,0.7,0.5,6.2,160,0.68,0.31,0.89,0,True,1.88
0.45,7,0.7,1.0,12.0,184,0.69,0.28,0.88,0,True,1.85
0.45,9,0.85,0.5,3.5,142,0.7,0.27,0.88,0,True,1.85
0.35,7,0.85,0.5,9.5,168,0.68,0.35,0.81,0,True,1.84
0.45,9,0.7,1.0,9.6,166,0.68,0.27,0.89,0,True,1.84
0.35,9,0.85,0.5,6.7,150,0.67,0.34,0.83,0,True,1.8399999999999999
0.45,7,0.85,1.0,7.8,166,0.72,0.25,0.87,0,True,1.8399999999999999
0.45,9,0.85,1.0,4.1,146,0.7,0.24,0.88,0,True,1.8199999999999998
0.25,9,0.7,0.5,12.3,187,0.57,0.41,0.83,0,True,1.81
0.35,9,0.85,1.0,4.0,150,0.74,0.24,0.83,0,True,1.81
0.25,9,0.85,0.5,6.0,151,0.57,0.38,0.83,0,True,1.7799999999999998
0.35,7,0.85,1.0,8.3,169,0.68,0.25,0.81,0,True,1.7400000000000002
0.25,7,0.85,0.5,12.4,178,0.58,0.35,0.81,0,True,1.74
0.35,7,0.7,1.0,14.7,191,0.69,0.24,0.81,0,True,1.74
0.35,9,0.7,1.0,11.9,176,0.68,0.22,0.83,0,True,1.73
0.25,7,0.85,1.0,12.0,184,0.58,0.2,0.81,0,True,1.59
0.25,9,0.7,1.0,14.4,195,0.57,0.18,0.83,0,True,1.58
0.25,9,0.85,1.0,5.7,159,0.57,0.17,0.83,0,True,1.5699999999999998
0.35,7,0.7,0.5,16.2,191,0.69,0.38,0.81,0,False,1.88
0.25,7,0.7,0.5,17.5,206,0.57,0.38,0.81,0,False,1.76
0.25,7,0.7,1.0,17.9,207,0.57,0.19,0.81,0,False,1.57
0.35,5,0.7,0.5,25.4,248,0.57,0.32,0.66,0,False,1.5499999999999998
0.25,5,0.7,0.5,24.1,249,0.55,0.33,0.66,0,False,1.54
0.25,5,0.85,0.5,19.9,236,0.56,0.31,0.66,0,False,1.5300000000000002
0.35,5,0.85,0.5,22.0,232,0.57,0.3,0.66,0,False,1.5299999999999998
0.45,5,0.7,0.5,20.9,234,0.53,0.29,0.67,0,False,1.4900000000000002
0.45,5,0.85,0.5,18.7,225,0.55,0.27,0.67,0,False,1.4900000000000002
0.25,5,0.85,1.0,16.5,231,0.56,0.21,0.66,0,False,1.4300000000000002
0.25,5,0.7,1.0,20.4,245,0.55,0.2,0.66,0,False,1.4100000000000001
0.35,5,0.7,1.0,23.7,245,0.57,0.17,0.66,0,False,1.4
0.35,5,0.85,1.0,20.6,233,0.57,0.17,0.66,0,False,1.4
0.45,5,0.85,1.0,16.9,225,0.55,0.18,0.67,0,False,1.4
0.45,5,0.7,1.0,19.7,233,0.53,0.18,0.67,0,False,1.38
