fund,fund_name,grade,ticker,issuer,title_class,action,shares_change_pct,book_pct,incremental_book_pct,value_usd_reported,cusips,n_security_lines
bakerbros,Baker Bros. Advisors,A,AKTS,"Aktis Oncology, Inc.",COM,new,,0.10234862398600068,0.10234862398600068,17824719.0,01021M104,1
bakerbros,Baker Bros. Advisors,A,ALMS,Alumis Inc.,COM,add,28.8,0.2545714535613905,0.056922809491987934,44335375.0,022307102,1
bakerbros,Baker Bros. Advisors,A,RCUS,"Arcus Biosciences, Inc.",COM,add,53.9,0.051547851601624596,0.018053471093746366,8977414.0,03969F109,1
bakerbros,Baker Bros. Advisors,A,CMPS,COMPASS Pathways plc,SPONSORED ADS,new,,0.07445184229198389,0.07445184229198389,12966302.0,20451W101,1
bakerbros,Baker Bros. Advisors,A,CRNX,"Crinetics Pharmaceuticals, Inc.",COM,add,42.6,0.4903923378756659,0.14649869280156638,85405209.0,22663K107,1
bakerbros,Baker Bros. Advisors,A,CTMX,"CytomX Therapeutics, Inc.",COM,add,17.1,0.13428340821030474,0.01960927651918199,23386382.0,23284F105,1
bakerbros,Baker Bros. Advisors,A,DSGN,"Design Therapeutics, Inc.",COM,add,15.8,0.1579886074693102,0.0215563039552254,27514806.0,25056L103,1
bakerbros,Baker Bros. Advisors,A,EIKN,"Eikon Therapeutics, Inc.",COM,new,,0.0337498659195381,0.0337498659195381,5877772.0,282564103,1
bakerbros,Baker Bros. Advisors,A,ELVN,"Enliven Therapeutics, Inc.",COM,add,233.5,0.20374436582563482,0.14265160245962738,35483487.0,29337E102,1
bakerbros,Baker Bros. Advisors,A,EVMN,"Evommune, Inc.",COM SHS,new,,0.11186175270357847,0.11186175270357847,19481496.0,30054Y107,1
bakerbros,Baker Bros. Advisors,A,GENB,"Generate Biomedicines, Inc.",COM SHS,new,,0.10217812255814422,0.10217812255814422,17795025.0,370920100,1
bakerbros,Baker Bros. Advisors,A,GRAL,"GRAIL, Inc.",COM,add,93.2,1.1954666903739177,0.5766951115054304,208198772.0,384747101,1
bakerbros,Baker Bros. Advisors,A,INSM,Insmed Incorporated,COM PAR $.01,add,12.6,6.967855284213128,0.779706719192588,1213500071.0,457669307,1
bakerbros,Baker Bros. Advisors,A,IONS,"Ionis Pharmaceuticals, Inc.",COM,add,14.3,0.8829039827124956,0.11045955339272694,153763820.0,462222100,1
bakerbros,Baker Bros. Advisors,A,MIRM,"Mirum Pharmaceuticals, Inc.",COM,new,,0.23656353074704536,0.23656353074704536,41199171.0,604749101,1
