fund,fund_name,cik,submissions_url,accessionNumber,filingDate,reportDate,acceptanceDateTime,primaryDocument,filing_index_url,accepted_et,accepted_after_close
bakerbros,Baker Bros. Advisors,1263508,https://data.sec.gov/submissions/CIK0001263508.json,0001104659-26-062547,2026-05-15,2026-03-31,2026-05-15T20:12:32.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1263508/000110465926062547/0001104659-26-062547-index.html,2026-05-15T16:12:32-04:00,True
casdin,Casdin Capital,1534261,https://data.sec.gov/submissions/CIK0001534261.json,0000919574-26-003451,2026-05-15,2026-03-31,2026-05-15T20:08:39.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1534261/000091957426003451/0000919574-26-003451-index.html,2026-05-15T16:08:39-04:00,True
himalaya,Himalaya Capital (Li Lu),1709323,https://data.sec.gov/submissions/CIK0001709323.json,0002043585-26-000013,2026-05-15,2026-03-31,2026-05-15T20:33:54.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1709323/000204358526000013/0002043585-26-000013-index.html,2026-05-15T16:33:54-04:00,True
whalerock,Whale Rock Capital,1387322,https://data.sec.gov/submissions/CIK0001387322.json,0001172661-26-002159,2026-05-15,2026-03-31,2026-05-15T15:23:57.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1387322/000117266126002159/0001172661-26-002159-index.html,2026-05-15T11:23:57-04:00,False
baupost,Baupost Group (Klarman),1061768,https://data.sec.gov/submissions/CIK0001061768.json,0001061768-26-000007,2026-05-14,2026-03-31,2026-05-14T20:15:00.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1061768/000106176826000007/0001061768-26-000007-index.html,2026-05-14T16:15:00-04:00,True
duquesne,Duquesne Family Office (Druckenmiller),1536411,https://data.sec.gov/submissions/CIK0001536411.json,0001536411-26-000004,2026-05-15,2026-03-31,2026-05-15T19:19:22.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1536411/000153641126000004/0001536411-26-000004-index.html,2026-05-15T15:19:22-04:00,False
elliott,Elliott Investment Management,1791786,https://data.sec.gov/submissions/CIK0001791786.json,0001013594-26-000613,2026-05-15,2026-03-31,2026-05-15T20:51:04.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1791786/000101359426000613/0001013594-26-000613-index.html,2026-05-15T16:51:04-04:00,True
fairholme,Fairholme Capital (Berkowitz),1056831,https://data.sec.gov/submissions/CIK0001056831.json,0000919574-26-003485,2026-05-15,2026-03-31,2026-05-15T20:23:00.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1056831/000091957426003485/0000919574-26-003485-index.html,2026-05-15T16:23:00-04:00,True
basswood,Basswood Capital Management,1085393,https://data.sec.gov/submissions/CIK0001085393.json,0001405086-26-000323,2026-05-15,2026-03-31,2026-05-15T14:50:01.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1085393/000140508626000323/0001405086-26-000323-index.html,2026-05-15T10:50:01-04:00,False
sachem,Sachem Head Capital,1582090,https://data.sec.gov/submissions/CIK0001582090.json,0000902664-26-002506,2026-05-15,2026-03-31,2026-05-15T20:00:38.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1582090/000090266426002506/0000902664-26-002506-index.html,2026-05-15T16:00:38-04:00,True
lightstreet,Light Street Capital,1569049,https://data.sec.gov/submissions/CIK0001569049.json,0000935836-26-000261,2026-05-15,2026-03-31,2026-05-15T17:30:48.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1569049/000093583626000261/0000935836-26-000261-index.html,2026-05-15T13:30:48-04:00,False
racapital,RA Capital Management,1346824,https://data.sec.gov/submissions/CIK0001346824.json,0001104659-26-062637,2026-05-15,2026-03-31,2026-05-15T20:30:33.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1346824/000110465926062637/0001104659-26-062637-index.html,2026-05-15T16:30:33-04:00,True
corvex,Corvex Management,1535472,https://data.sec.gov/submissions/CIK0001535472.json,0001011438-26-000343,2026-05-15,2026-03-31,2026-05-15T20:07:48.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1535472/000101143826000343/0001011438-26-000343-index.html,2026-05-15T16:07:48-04:00,True
soros,Soros Fund Management,1029160,https://data.sec.gov/submissions/CIK0001029160.json,0000902664-26-002529,2026-05-15,2026-03-31,2026-05-15T20:21:19.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1029160/000090266426002529/0000902664-26-002529-index.html,2026-05-15T16:21:19-04:00,True
altimeter,Altimeter Capital,1541617,https://data.sec.gov/submissions/CIK0001541617.json,0001541617-26-000006,2026-05-15,2026-03-31,2026-05-15T20:00:56.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1541617/000154161726000006/0001541617-26-000006-index.html,2026-05-15T16:00:56-04:00,True
starboard,Starboard Value,1517137,https://data.sec.gov/submissions/CIK0001517137.json,0000921895-26-001402,2026-05-15,2026-03-31,2026-05-15T20:17:41.000Z,xslForm13F_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1517137/000092189526001402/0000921895-26-001402-index.html,2026-05-15T16:17:41-04:00,True
