fund,fund_name,n_positions,n_priced,count_coverage_pct,buy_final_book_pct,buy_incremental_book_pct,priced_final_book_pct,priced_incremental_book_pct,incremental_book_coverage_pct,equal_mean_return_10d,median_return_10d,hit_rate_10d,decision_weighted_return_10d,decision_weighted_excess_10d,final_position_weighted_return_10d,estimated_book_contribution_10d_pp,equal_mean_return_20d,median_return_20d,hit_rate_20d,decision_weighted_return_20d,decision_weighted_excess_20d,final_position_weighted_return_20d,estimated_book_contribution_20d_pp,equal_mean_return_30d,median_return_30d,hit_rate_30d,decision_weighted_return_30d,decision_weighted_excess_30d,final_position_weighted_return_30d,estimated_book_contribution_30d_pp,equal_mean_return_40d,median_return_40d,hit_rate_40d,decision_weighted_return_40d,decision_weighted_excess_40d,final_position_weighted_return_40d,estimated_book_contribution_40d_pp,equal_mean_return_50d,median_return_50d,hit_rate_50d,decision_weighted_return_50d,decision_weighted_excess_50d,final_position_weighted_return_50d,estimated_book_contribution_50d_pp,equal_mean_return_60d,median_return_60d,hit_rate_60d,decision_weighted_return_60d,decision_weighted_excess_60d,final_position_weighted_return_60d,estimated_book_contribution_60d_pp,investable_decision_weighted_return_to_60d_date
bakerbros,Baker Bros. Advisors,18,18,100.0,14.295362590570384,3.729983322780317,14.295362590570384,3.729983322780317,100.0,-0.011766778717603454,0.01198871805016366,0.6111111111111112,0.02780122515854201,0.012351422096446924,0.015676952737477032,0.10369810619422228,-0.06914836995805516,-0.09608592839376323,0.2777777777777778,-0.08061424885445193,-0.10485767003235073,-0.07210481783566745,-0.300689803805568,-0.06989720081906609,-0.05947384500842162,0.3333333333333333,-0.10252942116378341,-0.12371533355940562,-0.11075685804704731,-0.3824330310352314,0.03469302716045984,0.021149077918228842,0.5555555555555556,0.0019284419131243267,0.007395416298199368,-0.030286373159946527,0.007193056174904308,0.07603872248123558,0.08903557791626748,0.7777777777777778,0.037779148949102594,0.018777443406744018,0.028567665062109986,0.14091559552898622,0.10808605248473836,0.09845042044910335,0.6111111111111112,0.08570625226269404,0.06595856855346308,0.0500431982894854,0.31968289159785157,0.13246764966985677
casdin,Casdin Capital,15,15,100.0,24.115865968266533,9.88124596941391,24.115865968266533,9.88124596941391,100.0,0.052024442968017906,0.04376899522185007,0.6666666666666666,0.09150974161751046,0.07605993855541537,0.11764712877066992,0.9042302655201336,0.14086333550658633,0.07900511468020799,0.7333333333333333,0.22269943367263073,0.19845601249473188,0.22256266256540266,2.200547881368443,0.10852351411860924,0.06300978986339123,0.7333333333333333,0.16374612005515463,0.14256020765953248,0.209868973281341,1.618015688802163,0.22697604045095965,0.1644295323491607,0.9333333333333333,0.3007237223902621,0.30619069677533717,0.3901976992231683,2.9715250697759257,0.35503629983175433,0.2809917624605829,0.9333333333333333,0.4262650959728073,0.4072633904304488,0.5013737197059936,4.212030261483136,0.31538549142467037,0.22581728208102758,0.8,0.4370109127615209,0.4172632290522899,0.530487104539923,4.3182123203146725,0.4467285154478757
himalaya,Himalaya Capital (Li Lu),6,6,100.0,9.362100202565868,7.732801422746334,9.362100202565868,7.732801422746334,99.99999999999999,0.07869600295004464,0.04973551942500831,1.0,0.06667621587250866,0.05122641281041357,0.09373182984084528,0.5155939369622766,0.09806845119053513,0.07260335375046245,1.0,0.07534398163782306,0.05110056045992426,0.1109546636666707,0.5826200484043319,0.10054486578625144,0.07334745609551008,0.8333333333333334,0.07431540376969518,0.05312949137407301,0.11881215621190074,0.5746662600022672,0.05121061433073654,0.014028645438559084,0.6666666666666666,0.02414505419714245,0.029612028582217495,0.06844599480354993,0.1867089094479505,0.14267926967946165,0.128035472032062,1.0,0.12463978130775186,0.10563807576539326,0.15948031659001022,0.9638146782273755,0.15411314976762933,0.13224401080342107,1.0,0.13286654647673443,0.1131188627675035,0.1761555938933022,1.027430619630684,0.08711795510186009
whalerock,Whale Rock Capital,17,17,100.0,43.06554394485807,24.104924123702023,43.06554394485807,24.104924123702023,99.99999999999999,0.08913627199433571,0.05310601945225413,0.8823529411764706,0.08231037885837113,0.06686057579627602,0.061420215435966985,1.9840854369742031,0.12144844274518002,0.055879623946482715,0.7647058823529411,0.08658516221250012,0.06234174103460133,0.07158414146638446,2.087128765370747,0.15158216086421303,0.050943008289679126,0.6470588235294118,0.1719992862084931,0.15081337381287094,0.10606856113739474,4.146029743386634,0.1104820976667243,0.09277191511927918,0.5882352941176471,0.1378782254444692,0.14334519982954427,0.08033230074344157,3.323544162649612,0.0915209603704318,0.06921534604465895,0.5882352941176471,0.06460012415973605,0.04559841861737748,0.06598759050306278,1.5571810912521675,0.054897279560408026,0.04210334005735028,0.5294117647058824,0.045618347233009955,0.02587066352377899,0.026550663073324824,1.0996267987003971,0.045618347233009955
baupost,Baupost Group (Klarman),9,9,100.0,36.823950517850086,22.224322571738963,36.823950517850086,22.224322571738963,100.0,0.016749557099455643,0.006525462821553196,0.8888888888888888,0.013086650463721962,-0.002363152598373132,0.011997480661476326,0.29084194128935414,0.027941221710772266,0.021134922629633568,0.6666666666666666,0.012812745803890708,-0.011430675374008091,0.003857691727045431,0.28475459577536194,0.03653436762321871,0.020336631202093836,0.6666666666666666,0.01710643793277503,-0.004079474462847148,0.002045244144774086,0.3801789946714237,0.03754674776856121,0.0198925893670856,0.5555555555555556,0.010391010283066148,0.015857984668141187,-0.012346094119788816,0.23093316437711864,0.0730092008870344,0.08723038266969696,0.7777777777777778,0.06274716857476319,0.043745463032404605,0.026437094248926263,1.3945133148688191,0.07469418066007995,0.07291467339812563,0.7777777777777778,0.062328197065911944,0.04258051335668098,0.03243290000218568,1.385201956907741,0.062328197065911944
duquesne,Duquesne Family Office (Druckenmiller),39,39,100.0,50.44491457663819,26.42876388532612,50.44491457663819,26.42876388532612,100.0,0.05613508046755816,0.028946976813886804,0.6153846153846154,0.06934422883882606,0.05389442577673096,0.06294091019430378,1.832682250791356,0.11759164391180575,0.06885897656959883,0.6923076923076923,0.14720354604771144,0.12296012486981263,0.15119790267159233,3.8904077615776966,0.1316247811056418,0.09886031535388629,0.717948717948718,0.15067165012484013,0.12948573772921793,0.15077804264158584,3.9820654653618677,0.10245480660422304,0.04489232916451402,0.717948717948718,0.13554015612460804,0.14100713050968308,0.20494488432288194,3.5821587831975052,0.09509398086629929,0.08587441643797211,0.6153846153846154,0.14950010873705194,0.13049840319469339,0.25777694332982176,3.951103074642126,0.0937724275414921,0.09453923004408482,0.5897435897435898,0.15012314095567184,0.13037545724644092,0.24180677534968634,3.9675690460409827,0.15012314095567184
elliott,Elliott Investment Management,11,11,100.0,11.776818921140375,7.137473872744005,11.776818921140375,7.137473872744005,100.0,0.034556436036432124,0.027247887122631154,0.8181818181818182,0.05021451856284572,0.03476471550075063,0.061821375335501784,0.3584048142747302,0.08137171999979059,0.009799083354404825,0.7272727272727273,0.13234491243974805,0.10810149126184924,0.1981939259586389,0.9446083547292947,0.07086457729822768,0.017506213326449416,0.7272727272727273,0.12265604242503446,0.10147013002941227,0.16522240716968806,0.8754542981428637,0.05931006155875507,0.030751361982574332,0.7272727272727273,0.11659504087538092,0.12206201526045596,0.16390136150493595,0.8321940579395506,0.03991511118986801,0.06396087419498575,0.7272727272727273,0.07660199141023728,0.057600285867878694,0.10077143067096006,0.5467447122907293,0.041761761264408954,0.022848502190189635,0.6363636363636364,0.10017864282997485,0.0804309591207439,0.15081323481793626,0.715022445805899,0.10164787419488769
fairholme,Fairholme Capital (Berkowitz),4,4,100.0,1.1420918231730415,0.7595383624858161,1.1420918231730415,0.7595383624858161,100.0,0.019995483484720716,0.02075699484582183,0.75,0.0062932080494541055,-0.009156595012640985,0.0028285260685422748,0.004779932936664928,-0.0009258469515341095,-0.013547661472995687,0.25,-0.018546601615127983,-0.04279002279302677,-0.019034891947131594,-0.014086855420431098,0.04835785920930896,0.045416616517316544,1.0,0.030738839664220804,0.009552927268598627,0.02702686404963846,0.023347327943276323,0.06703279201024037,0.06517457576779151,1.0,0.08206348349036229,0.08753045787543733,0.08618431504206261,0.062330363870151576,0.1069880278660999,0.1108412255924518,1.0,0.1401822476080955,0.1211805420657369,0.14220609789705263,0.10647379479783406,0.09912482463164096,0.12167824097653379,1.0,0.12319055918125991,0.10344287547202893,0.12227723921034477,0.09356795559424617,0.10121732084449367
basswood,Basswood Capital Management,33,33,100.0,27.516261091014275,11.000799300525625,27.516261091014275,11.000799300525625,100.0,0.036788360257417614,0.04349490029827696,0.8484848484848485,0.03727877128622607,0.021828968224130985,0.03874897415420167,0.41009628108997054,0.04401889869487796,0.04400320283083903,0.8181818181818182,0.03970065176074732,0.015457230582848525,0.04291725169789631,0.4367389021200406,0.0793346651996744,0.0796548511317261,0.9393939393939394,0.06485988346403782,0.04367397106841563,0.074683642564223,0.7135105606433607,0.09388975193979236,0.10803372189529648,0.9393939393939394,0.08050843869601691,0.08597541308109194,0.09600258286141358,0.885657176093553,0.1341874452116402,0.13107541069866935,0.9696969696969697,0.11858043507739789,0.09957872953503934,0.13166117811581945,1.304479567255463,0.1345527918947087,0.12273523430771993,0.9696969696969697,0.11803167623116932,0.09828399252193837,0.13201189458906223,1.2984427813237145,0.11803167623116932
sachem,Sachem Head Capital,11,11,100.0,56.68603604916967,37.73139779224287,56.68603604916967,37.73139779224287,100.0,0.057211858797326154,0.044365095104488717,0.8181818181818182,0.05312590444994467,0.03767610138784957,0.06956609990099333,2.0045146338735482,0.10459002288839869,0.0459912682897321,0.7272727272727273,0.09660917129474912,0.07236575011685034,0.08198099529472937,3.6451990725011107,0.09018296316047084,0.06655060223069964,0.8181818181818182,0.10269334314320491,0.08150743074758274,0.09457003990968225,3.8747633807515616,0.0598623913046864,0.04780097634406899,0.7272727272727273,0.07029587681655751,0.07576285120163255,0.08771893510014653,2.652361691320035,0.020112439975046456,0.06386497916614253,0.6363636363636364,0.049239808680422756,0.030238103138064163,0.06188373329455264,1.8578868085349647,0.0028780262295419997,-0.018124481457211128,0.45454545454545453,0.027901509172191655,0.008153825462960696,0.04693206939379098,1.0527629415798765,0.03643719189788818
lightstreet,Light Street Capital,12,12,100.0,54.84779449861797,22.273584001240952,54.84779449861797,22.273584001240952,100.0,0.04347304371862266,0.04916733047662081,0.75,0.03988730827657634,0.024437505214481244,0.043822809050344844,0.8884333114817166,0.11047885147392193,0.09520657062844817,0.8333333333333334,0.09051348357629484,0.06627006239839607,0.11794542793468164,2.0160596796815464,0.09969086193599819,0.10745883623315966,0.75,0.110887949638672,0.0897020372430498,0.11542967383579801,2.469872061002337,0.08562236436730797,0.09725442233220194,0.75,0.11103819406993716,0.1165051684550122,0.10654334345405711,2.47321854296284,0.159320466453558,0.20146003740514695,0.75,0.1601940381680268,0.14119233262566822,0.17408800743758562,3.5680953656335443,0.12930417033080063,0.1418313759345703,0.6666666666666666,0.1119564899565106,0.0922088062472796,0.1226575407883949,2.4936722835304277,0.1119564899565106
racapital,RA Capital Management,36,35,97.22222222222223,20.2807150048169,12.832776246725366,20.146148947889873,12.698210189798338,98.95138780307677,0.019778526668958612,0.025503231422192574,0.6,-0.024038818367139683,-0.03948862142923478,-0.014419510143099539,-0.3052499683403246,0.018206037445440054,0.0,0.4857142857142857,-0.05384213685665302,-0.07808555803455182,-0.04590480485334223,-0.683698770873668,0.028195274280039002,-0.011596590369484128,0.4857142857142857,-0.04143500538952148,-0.06262091778514366,-0.011210764864793075,-0.5261504076515707,0.10529452337034739,0.059734509306605954,0.6571428571428571,0.027502801610380594,0.03296977599545563,0.046830497629224435,0.349236355656937,0.1933700120378336,0.20891152675268088,0.8,0.0934276853814305,0.07442597983907188,0.11259380367281224,1.186364386519754,0.15423917021223155,0.20132740071949673,0.7142857142857143,0.0786368939441197,0.058889210234888724,0.09914301123656805,0.9985478079753121,0.1232163151649856
corvex,Corvex Management,3,3,100.0,2.033999309833075,2.033999309833075,2.033999309833075,2.033999309833075,100.0,0.06898597459663251,0.046505846509725446,0.6666666666666666,0.04813026231752467,0.03268045925542958,0.04813026231752467,0.09789692033593003,0.04997831777868086,0.051909261851700306,1.0,0.04209218969456964,0.017848768516670842,0.04209218969456964,0.08561548478811751,0.0603968785536253,0.06390741145605605,0.6666666666666666,0.030024952195658493,0.008839039800036322,0.030024952195658493,0.061070732043740444,0.06569863565305774,0.07130965520402843,0.6666666666666666,0.007716416352716627,0.013183390737791666,0.007716416352716627,0.01569518553581027,0.0319840014940315,0.07928965171304858,0.6666666666666666,-0.03776144790470537,-0.05676315344706395,-0.03776144790470537,-0.07680675897646834,-0.012712258357981584,0.051424019056585335,0.6666666666666666,-0.08557681980163313,-0.10532450351086411,-0.08557681980163313,-0.1740631924142312,-0.09229742562306459
soros,Soros Fund Management,141,121,85.81560283687944,66.07903150461854,45.64257477600721,57.30401092513441,39.434554016548795,86.39861841729015,0.032184471720176425,0.01931154482429487,0.6859504132231405,0.018714801392785484,0.0032649983306903972,0.01323134391305607,0.7380098464327818,0.05005591517183006,0.013004188401768868,0.6611570247933884,0.02828499119887492,0.004041570020976131,0.02577013491028909,1.1154060132896402,0.04475050039591702,0.026862060842561375,0.6859504132231405,0.0286267896329705,0.007440877237348335,0.020112461051765756,1.1288846821017542,0.027499797659909272,0.006753467804507585,0.5454545454545454,0.0111128894668275,0.01657986385190254,0.0007761770854776664,0.4382318399595452,0.051362371516418245,0.03883503123630683,0.6776859504132231,0.027518149683765578,0.008516444141407004,0.012305481298767016,1.0851659601399288,0.03415038081262386,0.03244320556429825,0.6528925619834711,0.019854256425546085,0.00010657271631512245,0.007944962688638943,0.7829437474716081,0.017692573689614115
altimeter,Altimeter Capital,7,7,100.0,58.871196321857425,15.265000960821832,58.871196321857425,15.265000960821832,100.0,0.05792171158314013,-0.013140760689720032,0.2857142857142857,0.13355394464927586,0.11810414158718074,0.008582814765153667,2.0387010933927416,0.1737455694878525,0.00680331506781906,0.5714285714285714,0.2770102414370673,0.2527668202591686,0.06805023862114191,4.22856160169432,0.14753375204857638,-0.005498638867704075,0.42857142857142855,0.2836120180325078,0.26242610563688556,0.05732814703442363,4.32933772776685,0.09755836907967415,-0.016513489469220044,0.42857142857142855,0.19101701386033346,0.19648398824540853,0.005478411608823394,2.9158749001113073,0.10979505875547531,-0.035557308551872,0.42857142857142855,0.14758043825622288,0.1285787327138643,-0.02121059117383468,2.252815531779749,0.0493567364109783,-0.040085159856601105,0.42857142857142855,0.0811792930484224,0.061431609339191486,-0.022544009341646482,1.239201986383005,0.07562285187147873
