year,complete_year,spy_return,spy_max_drawdown,qqq_return,qqq_max_drawdown,rank_universe_n,rank_universe,leaders,laggards,xlb_return,xle_return,xlf_return,xli_return,xlk_return,xlp_return,xlu_return,xlv_return,xly_return,xlre_return,xlc_return
2013,True,0.3230772936737578,-0.05550578022806818,0.36634155660290957,-0.0585384436429317,9,XLY;XLV;XLI;XLF;XLP;XLE;XLK;XLB;XLU,XLY 0.4273; XLV 0.4141; XLI 0.4055,XLK 0.2624; XLB 0.2599; XLU 0.1307,0.25987899778842816,0.2624637053651766,0.35527325566680257,0.40548623491952984,0.26241196558630175,0.26308884017839285,0.13065731202098663,0.4140926558405751,0.42732650975446473,,
2014,True,0.13463801382016327,-0.07273488245374737,0.1918139838656543,-0.08248553504517775,9,XLU;XLV;XLK;XLP;XLF;XLI;XLY;XLB;XLE,XLU 0.2875; XLV 0.2514; XLK 0.1784,XLY 0.0946; XLB 0.0718; XLE -0.0868,0.07183041393379508,-0.08678208367499074,0.1505354581402556,0.10365807107877512,0.17842364983603032,0.15719782784887437,0.2874719773803378,0.2513637016677621,0.09461711595284505,,
2015,True,0.012342674290320321,-0.11910249072947854,0.09435937397426164,-0.13941052118759412,9,XLY;XLP;XLV;XLK;XLF;XLI;XLU;XLB;XLE,XLY 0.0990; XLP 0.0687; XLV 0.0683,XLU -0.0493; XLB -0.0869; XLE -0.2150,-0.08693365990793833,-0.21498218977620398,-0.017700599706282127,-0.04323396776878918,0.054692941757910285,0.06873069080352234,-0.049289997174031486,0.06831188759328555,0.09902844468370353,,
2016,True,0.11997971835036791,-0.10305546806255605,0.07097899987620804,-0.13892377724687754,10,XLE;XLF;XLI;XLB;XLU;XLK;XLY;XLP;XLRE;XLV,XLE 0.2803; XLF 0.2242; XLI 0.2001,XLP 0.0498; XLRE 0.0276; XLV -0.0276,0.16796383828284878,0.28025380760131013,0.22415216061146004,0.20005473661279627,0.15011786236063673,0.04980614141381268,0.16076330899885694,-0.027617300651984644,0.05968997272025711,0.027552032678551663,
2017,True,0.21705344779138724,-0.026101106214062586,0.32663514951178296,-0.04881924617166111,10,XLK;XLB;XLI;XLY;XLF;XLV;XLP;XLU;XLRE;XLE,XLK 0.3426; XLB 0.2401; XLI 0.2398,XLU 0.1205; XLRE 0.1070; XLE -0.0089,0.2401265901984695,-0.008874420347207645,0.2199985829022182,0.23979192648808367,0.34256458514992816,0.12981996478527424,0.12048114846653335,0.21772845870868296,0.22822448836738163,0.1069553404268122,
2018,True,-0.04568982995892401,-0.19348904858182248,-0.0012621730398721942,-0.22796655426592338,10,XLV;XLU;XLY;XLK;XLRE;XLP;XLF;XLI;XLB;XLE,XLV 0.0628; XLU 0.0394; XLY 0.0158,XLI -0.1325; XLB -0.1488; XLE -0.1822,-0.14877433828644293,-0.1821758962069686,-0.13052105014330928,-0.13247376435148905,-0.016772200295031348,-0.08071140077682659,0.03935172540404541,0.06279980339421876,0.015820276556701707,-0.023876448138218986,
2019,True,0.31223854399622275,-0.06618365380505276,0.3896158246288872,-0.10983210230032314,11,XLK;XLF;XLC;XLI;XLRE;XLY;XLP;XLU;XLB;XLV;XLE,XLK 0.4986; XLF 0.3187; XLC 0.3105,XLB 0.2413; XLV 0.2045; XLE 0.1174,0.24129088342278293,0.11741490990319514,0.3187402889470934,0.2908456698308035,0.4985586155451527,0.27433973432653413,0.2593132412985719,0.20451754546204115,0.2838956820444023,0.2868374325931693,0.3104785159181507
2020,True,0.18331624006113123,-0.3371725013018423,0.484060983519097,-0.2855935363961887,11,XLK;XLY;XLC;XLB;XLV;XLI;XLP;XLU;XLF;XLRE;XLE,XLK 0.4362; XLY 0.2963; XLC 0.2690,XLF -0.0174; XLRE -0.0219; XLE -0.3267,0.2046067546296786,-0.32671344915905887,-0.017363425283073552,0.10905018550502699,0.4361877939215273,0.10110763648772103,0.0051052750540976355,0.1329524467135248,0.29630291744576875,-0.021862141418503067,0.2690443439728174
2021,True,0.2872876474848951,-0.051141400251308866,0.2741974397960669,-0.10851555099352395,11,XLE;XLRE;XLF;XLK;XLY;XLB;XLV;XLI;XLU;XLP;XLC,XLE 0.5328; XLRE 0.4610; XLF 0.3480,XLU 0.1770; XLP 0.1721; XLC 0.1596,0.2743794693199266,0.5327988245424493,0.34797868569741897,0.21082002129528132,0.3474414649949471,0.17205514998752758,0.17703988862172526,0.26038611628078967,0.2792810033235622,0.4610098163906362,0.15961940686614118
2022,True,-0.18175369217890835,-0.24496380915025384,-0.32577013204063876,-0.3482798660143851,11,XLE;XLU;XLP;XLV;XLI;XLF;XLB;XLRE;XLK;XLY;XLC,XLE 0.6432; XLU 0.0144; XLP -0.0081,XLK -0.2773; XLY -0.3627; XLC -0.3763,-0.12296931857187565,0.6432489237047789,-0.10586484658297735,-0.055687520764396314,-0.2772629762360088,-0.00809424895941524,0.014429650046224207,-0.02079297686273518,-0.36272166920331617,-0.2624929012290018,-0.37629522852048225
2023,True,0.2617579498645455,-0.09974317142568845,0.548556185153622,-0.10779938932186484,11,XLK;XLC;XLY;XLI;XLB;XLRE;XLF;XLV;XLE;XLP;XLU,XLK 0.5602; XLC 0.5282; XLY 0.3964,XLE -0.0063; XLP -0.0082; XLU -0.0717,0.1245592942514604,-0.0063025595930881195,0.12030951139136947,0.1812933884459318,0.5601837127392593,-0.008182170166377123,-0.07174770585903567,0.020665770614948453,0.396392465069936,0.12360022819426408,0.5282083223100389
2024,True,0.2488646784300117,-0.08405611559573534,0.2557825412930894,-0.13557745961827594,11,XLC;XLF;XLY;XLU;XLK;XLI;XLP;XLE;XLRE;XLV;XLB,XLC 0.3471; XLF 0.3056; XLY 0.2651,XLRE 0.0509; XLV 0.0247; XLB 0.0015,0.0014923990170001566,0.055592347299809663,0.3055623555782818,0.1730970761048023,0.21630625542000015,0.12202154611850369,0.23312219040044213,0.024744469352987908,0.2651152322720802,0.05094239059781569,0.34706646739150937
2025,True,0.17719061307023432,-0.18755225458981684,0.2077254840592282,-0.22768310492842747,11,XLK;XLC;XLI;XLU;XLF;XLV;XLB;XLE;XLY;XLRE;XLP,XLK 0.2461; XLC 0.2308; XLI 0.1935,XLY 0.0737; XLRE 0.0263; XLP 0.0152,0.09943337676348696,0.07876279067009717,0.14902353679333302,0.19346994180081367,0.2460593797775963,0.015161623787909306,0.1602437495027853,0.14503728378059222,0.0737073866175042,0.02629930747751974,0.23078450867930878
2026,False,0.11011817470024621,-0.08884972579331007,0.18250528741029304,-0.11723572714706232,11,XLK;XLE;XLI;XLB;XLRE;XLP;XLU;XLV;XLF;XLY;XLC,XLK 0.2920; XLE 0.2400; XLI 0.1761,XLF 0.0224; XLY -0.0162; XLC -0.0486,0.12715134920117244,0.23998836519978695,0.0223912419042549,0.17606483044715637,0.2920121725460634,0.08899961717323723,0.07115204130572295,0.043289422867740734,-0.016200392703424438,0.10901533270219188,-0.04862166996928752
