as_of,group,n_current_members,n_valid_50d,n_valid_200d,pct_above_50d,pct_above_200d,membership_basis
2026-07-10,S&P 500 current constituents,503,496,495,0.6895161290322581,0.6767676767676768,current constituent snapshot; survivorship-bound for historical use
2026-07-10,Communication Services,23,22,22,0.36363636363636365,0.45454545454545453,current constituent snapshot
2026-07-10,Consumer Discretionary,47,47,47,0.5531914893617021,0.48936170212765956,current constituent snapshot
2026-07-10,Consumer Staples,34,34,34,0.6470588235294118,0.5882352941176471,current constituent snapshot
2026-07-10,Energy,21,21,21,0.3333333333333333,0.9047619047619048,current constituent snapshot
2026-07-10,Financials,76,74,74,0.9054054054054054,0.7162162162162162,current constituent snapshot
2026-07-10,Health Care,59,59,59,0.9322033898305084,0.6271186440677966,current constituent snapshot
2026-07-10,Industrials,81,79,79,0.7341772151898734,0.7341772151898734,current constituent snapshot
2026-07-10,Information Technology,74,72,71,0.5138888888888888,0.6619718309859155,current constituent snapshot
2026-07-10,Materials,26,26,26,0.5769230769230769,0.6923076923076923,current constituent snapshot
2026-07-10,Real Estate,31,31,31,0.6451612903225806,0.7419354838709677,current constituent snapshot
2026-07-10,Utilities,31,31,31,0.8709677419354839,0.8709677419354839,current constituent snapshot
