sample,year,phase,horizon,asset,return,excess_spy
modern_2013_2025,2013,post_election,full_year,SPY,0.3230772936737578,0.0
modern_2013_2025,2013,post_election,full_year,QQQ,0.36634155660290957,0.04326426292915175
modern_2013_2025,2013,post_election,full_year,DEF,0.2660104824866305,-0.05706681118712731
modern_2013_2025,2013,post_election,full_year,XLV,0.4140926558405751,0.09101536216681727
modern_2013_2025,2013,post_election,full_year,XLP,0.26308884017839285,-0.05998845349536497
modern_2013_2025,2013,post_election,full_year,XLU,0.13065731202098663,-0.1924199816527712
modern_2013_2025,2013,post_election,full_year,XLK,0.26241196558630175,-0.06066532808745606
modern_2013_2025,2013,post_election,apr_oct,SPY,0.13347469586180605,0.0
modern_2013_2025,2013,post_election,apr_oct,QQQ,0.20779031462237274,0.07431561876056669
modern_2013_2025,2013,post_election,apr_oct,DEF,0.08244037886027833,-0.05103431700152772
modern_2013_2025,2013,post_election,apr_oct,XLV,0.1583801692104463,0.02490547334864024
modern_2013_2025,2013,post_election,apr_oct,XLP,0.07860207715782219,-0.054872618703983855
modern_2013_2025,2013,post_election,apr_oct,XLU,0.01161570388058708,-0.12185899198121897
modern_2013_2025,2013,post_election,apr_oct,XLK,0.12268354526717107,-0.01079115059463498
modern_2013_2025,2013,post_election,jul_dec,SPY,0.1631829424044684,0.0
modern_2013_2025,2013,post_election,jul_dec,QQQ,0.2418184840955302,0.0786355416910618
modern_2013_2025,2013,post_election,jul_dec,DEF,0.10018238098909982,-0.06300056141536858
modern_2013_2025,2013,post_election,jul_dec,XLV,0.17407973358387063,0.010896791179402232
modern_2013_2025,2013,post_election,jul_dec,XLP,0.09857881885973852,-0.06460412354472989
modern_2013_2025,2013,post_election,jul_dec,XLU,0.029605733289252312,-0.1335772091152161
modern_2013_2025,2013,post_election,jul_dec,XLK,0.1797980920008,0.01661514959633159
modern_2013_2025,2013,post_election,q2,SPY,0.02935347864043769,0.0
modern_2013_2025,2013,post_election,q2,QQQ,0.03661629088492879,0.007262812244491101
modern_2013_2025,2013,post_election,q2,DEF,0.005810733924542566,-0.023542744715895125
modern_2013_2025,2013,post_election,q2,XLV,0.04081744894740602,0.01146397030696833
modern_2013_2025,2013,post_election,q2,XLP,0.003996387704632287,-0.025357090935805404
modern_2013_2025,2013,post_election,q2,XLU,-0.027696575607717433,-0.057050054248155124
modern_2013_2025,2013,post_election,q2,XLK,0.01567474515467615,-0.01367873348576154
modern_2013_2025,2014,midterm,full_year,SPY,0.13463801382016327,0.0
modern_2013_2025,2014,midterm,full_year,QQQ,0.1918139838656543,0.05717597004549102
modern_2013_2025,2014,midterm,full_year,DEF,0.23433261915391768,0.0996946053337544
modern_2013_2025,2014,midterm,full_year,XLV,0.2513637016677621,0.11672568784759885
modern_2013_2025,2014,midterm,full_year,XLP,0.15719782784887437,0.0225598140287111
modern_2013_2025,2014,midterm,full_year,XLU,0.2874719773803378,0.15283396356017453
modern_2013_2025,2014,midterm,full_year,XLK,0.17842364983603032,0.04378563601586705
modern_2013_2025,2014,midterm,apr_oct,SPY,0.08857024188287377,0.0
modern_2013_2025,2014,midterm,apr_oct,QQQ,0.16247676968751978,0.07390652780464602
modern_2013_2025,2014,midterm,apr_oct,DEF,0.1263218969415345,0.03775165505866074
modern_2013_2025,2014,midterm,apr_oct,XLV,0.15854555376127455,0.06997531187840078
