span_id,start,end,regime,rotation_interpretation,boundary_type,spy_return,qqq_return,spy_max_drawdown,qqq_max_drawdown,qqq_minus_spy,rsp_return,iwm_return,smh_return,hyg_return,tlt_return,xlb_return,xlb_excess_spy,xle_return,xle_excess_spy,xlf_return,xlf_excess_spy,xli_return,xli_excess_spy,xlk_return,xlk_excess_spy,xlp_return,xlp_excess_spy,xlu_return,xlu_excess_spy,xlv_return,xlv_excess_spy,xly_return,xly_excess_spy,rank_universe_n,rank_universe,leaders,laggards,xlre_return,xlre_excess_spy,xlc_return,xlc_excess_spy
1,2013-01-02,2013-05-21,QE-supported recovery,health + domestic cyclicals,ex_post_descriptive,0.14961999891357025,0.10776616924981397,-0.03172357493902178,-0.040702174653356016,-0.04185382966375628,0.17540682106873273,0.14641684683858602,0.14727727087052833,0.03739669461145012,-0.0058181278145185145,0.07640103669646447,-0.07321896221710578,0.14359583893619066,-0.006024159977379595,0.19191271874287597,0.042292719829305714,0.14796456129651925,-0.0016554376170510032,0.0812227392570537,-0.06839725965651655,0.16634889327362612,0.016728894360055868,0.14030205131008433,-0.009317947603485921,0.21719497474998284,0.06757497583641259,0.19373305157213716,0.04411305265856691,9,XLV;XLY;XLF;XLP;XLI;XLE;XLU;XLK;XLB,XLV 0.2172; XLY 0.1937; XLF 0.1919,XLU 0.1403; XLK 0.0812; XLB 0.0764,,,,
2,2013-05-21,2013-06-24,taper tantrum,rate-sensitive defensives sold,ex_post_descriptive,-0.05550578022806818,-0.05815788081859852,-0.05550578022806818,-0.05815788081859852,-0.0026521005905303374,-0.062109470863738414,-0.045550580336905844,-0.05809106984686763,-0.06516230423603608,-0.0740648462298914,-0.06758205938670492,-0.012076279158636738,-0.06895642533981838,-0.013450645111750203,-0.059096633443529334,-0.003590853215461154,-0.05765325516478781,-0.002147474936719629,-0.05631804486758751,-0.0008122646395193334,-0.04870477505365245,0.006801005174415731,-0.08244945246015023,-0.02694367223208205,-0.04438465521428803,0.011121125013780153,-0.05075074392965828,0.004755036298409898,9,XLV;XLP;XLY;XLK;XLI;XLF;XLB;XLE;XLU,XLV -0.0444; XLP -0.0487; XLY -0.0508,XLB -0.0676; XLE -0.0690; XLU -0.0824,,,,
3,2013-06-24,2013-12-31,growth confidence / risk-on normalization,industrials + discretionary + Nasdaq,ex_post_descriptive,0.18806678643713637,0.26924348502528206,-0.04457485240286041,-0.03388572991464889,0.08117669858814569,0.2006330615556282,0.2313496343439858,0.1868265178745505,0.0802852656600137,-0.0463032243628102,0.22462603749655585,0.036559251059419484,0.16004114723094887,-0.028025639206187503,0.17409004754530022,-0.013976738891836149,0.2687696256228622,0.08070283918572585,0.19741336804535647,0.009346581608220106,0.10976871907552455,-0.07829806736161182,0.061190727379381915,-0.12687605905775445,0.19210814916485552,0.0040413627277191555,0.2338597120787136,0.04579292564157722,9,XLI;XLY;XLB;XLK;XLV;XLF;XLE;XLP;XLU,XLI 0.2688; XLY 0.2339; XLB 0.2246,XLE 0.1600; XLP 0.1098; XLU 0.0612,,,,
4,2014-01-02,2014-02-03,global and EM growth scare,utilities + health preservation,ex_post_descriptive,-0.0478352596089473,-0.03414701428746825,-0.056807321029955005,-0.05057436344294719,0.013688245321479053,-0.04475889712537273,-0.0478485464464774,-0.03643732624866991,-0.0007450204341873379,0.07271535390480866,-0.0619413902509619,-0.014106130642014603,-0.061432939826149724,-0.013597680217202424,-0.05565819191344812,-0.007822932304500818,-0.05608364440055924,-0.00824838479161194,-0.03673399285044643,0.011101266758500872,-0.06054207892434138,-0.01270681931539408,0.03744336892449995,0.08527862853344725,-0.004897607981950047,0.04293765162699725,-0.08042685090168045,-0.032591591292733146,9,XLU;XLV;XLK;XLF;XLI;XLP;XLE;XLB;XLY,XLU 0.0374; XLV -0.0049; XLK -0.0367,XLE -0.0614; XLB -0.0619; XLY -0.0804,,,,
5,2014-02-03,2014-06-30,falling yields plus oil's last advance,energy/materials + utilities barbell,ex_post_descriptive,0.13409759816246836,0.12432615932375235,-0.0390194039984747,-0.07421105208777057,-0.009771438838716007,0.14603182060511677,0.09633458205718948,0.2231836412129946,0.04843179580021695,0.048855237065080326,0.16418532884357417,0.030087730681105818,0.23408683989514367,0.09998924173267532,0.11615246077411712,-0.01794513738835124,0.1213662699753475,-0.01273132818712086,0.13501249605129462,0.0009148978888262604,0.132250384562987,-0.0018472135994813677,0.16036129260613108,0.026263694443662722,0.11683749099151197,-0.017260107170956385,0.09798909546159607,-0.03610850270087229,9,XLE;XLB;XLU;XLK;XLP;XLI;XLV;XLF;XLY,XLE 0.2341; XLB 0.1642; XLU 0.1604,XLV 0.1168; XLF 0.1162; XLY 0.0980,,,,
6,2014-06-30,2014-10-15,global-growth concern and oil collapse,staples/health over commodities,ex_post_descriptive,-0.04301320901660821,-0.014058748433544266,-0.07193839327769036,-0.0766878999129672,0.028954460583063946,-0.060910716528423836,-0.09684983659327284,-0.07314613459556185,-0.03233190825614951,0.0901935932503879,-0.0779352213909017,-0.03492201237429349,-0.1910637498075033,-0.14805054079089508,-0.026777030405383262,0.01623617861122495,-0.06869441158582512,-0.02568120256921691,-0.019788548006037576,0.023224661010570635,0.0018224587995929742,0.044835667816201186,-0.026322720419475476,0.016690488597132735,-0.0015497337105109255,0.041463475306097286,-0.05032508065898833,-0.007311871642380119,9,XLP;XLV;XLK;XLU;XLF;XLY;XLI;XLB;XLE,XLP 0.0018; XLV -0.0015; XLK -0.0198,XLI -0.0687; XLB -0.0779; XLE -0.1911,,,,
7,2014-10-15,2014-12-31,policy reassurance and cheaper-energy tailwind,consumer/industrial rebound; energy lags,ex_post_descriptive,0.10858998955039878,0.12195189454251532,-0.0485095080267538,-0.05688114687941481,0.013361904992116536,0.11973536576900035,0.12632008892425706,0.20457294963686667,0.003365974152311768,0.034693014922811294,0.07300786062556175,-0.03558212892483703,-0.0112741135901262,-0.11986410314052498,0.127783068338998,0.019193078788599216,0.1354567317818891,0.026866742231490326,0.11047487635114805,0.0018848868007492747,0.09947593369133956,-0.009114055859059222,0.11545058513317263,0.006860595582773854,0.1340562850371796,0.02546629548678081,0.14689105477191422,0.03830106522151544,9,XLY;XLI;XLV;XLF;XLU;XLK;XLP;XLB;XLE,XLY 0.1469; XLI 0.1355; XLV 0.1341,XLP 0.0995; XLB 0.0730; XLE -0.0113,,,,
8,2015-01-02,2015-05-21,slow-growth quality rally,health + discretionary + technology,ex_post_descriptive,0.04392270626898709,0.07668872942466343,-0.03533192923218986,-0.03903804777070474,0.03276602315567634,0.04164299634642554,0.05399385533311718,0.05964400416601734,0.03035380907563856,-0.04704798909654173,0.05598253515424223,0.012059828885255142,0.01894688794276589,-0.0249758183262212,0.008603278900631173,-0.035319427368355916,0.016150513594058946,-0.027772192674928142,0.061511811694644036,0.017589105425656948,0.02922250690472361,-0.014700199364263478,-0.05161290807010832,-0.09553561433909541,0.0982113099955868,0.054288603726599716,0.07955957044179218,0.035636864172805094,9,XLV;XLY;XLK;XLB;XLP;XLE;XLI;XLF;XLU,XLV 0.0982; XLY 0.0796; XLK 0.0615,XLI 0.0162; XLF 0.0086; XLU -0.0516,,,,
9,2015-05-21,2015-08-17,sideways index / commodity deterioration,utilities and consumers over energy/materials,ex_post_descriptive,-0.008832529815007595,0.010004426068156658,-0.03735443041128628,-0.0429640202140128,0.018836955883164253,-0.02103631738346845,-0.022597861059577173,-0.11603734845362723,-0.03520620603311897,0.04143156768922229,-0.0974965336784811,-0.0886640038634735,-0.13092771109849088,-0.12209518128348329,0.0225598489255161,0.031392378740523696,-0.03916491804423994,-0.030332388229232343,-0.017833328795969883,-0.009000798980962288,0.021455165654538977,0.03028769546954657,0.03509149631117636,0.04392402612618396,0.016528135214911366,0.02536066502991896,0.02973135560640272,0.038563885421410316,9,XLU;XLY;XLF;XLP;XLV;XLK;XLI;XLB;XLE,XLU 0.0351; XLY 0.0297; XLF 0.0226,XLI -0.0392; XLB -0.0975; XLE -0.1309,,,,
10,2015-08-17,2015-09-29,China devaluation / global-volatility shock,utilities/staples preserve,ex_post_descriptive,-0.10205562151689385,-0.10516016989669053,-0.11073610859849314,-0.11971660267983564,-0.003104548379796679,-0.10680190910536003,-0.11338846202619202,-0.054467271137695894,-0.03751765599897383,-0.0022562197725859434,-0.14489938427830884,-0.042843762761414994,-0.1332414048001802,-0.03118578328328636,-0.11347227199991639,-0.011416650483022539,-0.09578136934497683,0.006274252171917016,-0.08803059797996926,0.014025023536924586,-0.06270354335145845,0.0393520781654354,-0.06242490112042143,0.03963072039647242,-0.14479677654328094,-0.04274115502638709,-0.08251122311690917,0.019544398399984675,9,XLU;XLP;XLY;XLK;XLI;XLF;XLE;XLV;XLB,XLU -0.0624; XLP -0.0627; XLY -0.0825,XLE -0.1332; XLV -0.1448; XLB -0.1449,,,,
