asset,bearish_signal_date,bearish_entry_date,next_bullish_signal_date,next_bullish_entry_date,weeks_out_of_market,asset_return_while_out,max_adverse_excursion_from_exit_close,positive_return_while_out
SPY,2013-06-21,2013-06-24,2013-07-19,2013-07-22,4.0,0.07920536277171752,0.0,True
SPY,2013-08-16,2013-08-19,2013-10-18,2013-10-21,9.0,0.0636040933474522,-0.008739617722787751,True
SPY,2014-01-24,2014-01-27,2014-05-30,2014-06-02,18.0,0.088429770294016,-0.02157190446627011,True
SPY,2014-08-01,2014-08-04,2014-09-05,2014-09-08,5.0,0.03455587834320184,-0.014750278619147239,True
SPY,2014-09-12,2014-09-15,2014-11-14,2014-11-17,9.0,0.03188950800303658,-0.0595000657155913,True
SPY,2015-01-16,2015-01-20,2015-02-20,2015-02-23,4.857142857142857,0.04528381340370813,-0.012916803333961613,True
SPY,2015-03-13,2015-03-16,2015-05-15,2015-05-18,9.0,0.026230641807899913,-0.011476491024243973,True
SPY,2015-05-29,2015-06-01,2015-10-23,2015-10-26,21.0,-0.0117302118892747,-0.11055014185689083,False
SPY,2016-01-08,2016-01-11,2016-03-11,2016-03-14,9.0,0.0540835737353651,-0.04814938126019064,True
SPY,2016-09-16,2016-09-19,2016-12-02,2016-12-05,11.0,0.035565445906736715,-0.022773261098301578,True
SPY,2017-04-14,2017-04-17,2017-06-02,2017-06-05,7.0,0.040158427006497854,-0.004817594918885226,True
SPY,2017-06-30,2017-07-03,2017-07-28,2017-07-31,4.0,0.018826458085320352,-0.0068536549428345195,True
SPY,2017-08-11,2017-08-14,2017-09-29,2017-10-02,7.0,0.028523679183206863,-0.01553506021508555,True
SPY,2018-02-09,2018-02-12,2018-06-08,2018-06-11,17.0,0.05402755587114316,-0.025773699704798703,True
SPY,2018-10-12,2018-10-15,2019-02-01,2019-02-04,16.0,-0.003104314715573042,-0.14100410094080484,False
SPY,2019-05-31,2019-06-03,2019-06-21,2019-06-24,3.0,0.07465566707985238,0.0,True
SPY,2019-08-09,2019-08-12,2019-11-01,2019-11-04,12.0,0.07192482324566063,-0.014475874069854955,True
SPY,2020-02-28,2020-03-02,2020-05-22,2020-05-26,12.142857142857142,-0.026695758052440177,-0.2744476220006936,False
SPY,2020-10-30,2020-11-02,2020-11-13,2020-11-16,2.0,0.09803154453987539,0.0,True
SPY,2021-03-05,2021-03-08,2021-04-02,2021-04-05,4.0,0.0680364916426992,0.0,True
SPY,2021-06-04,2021-06-07,2021-08-13,2021-08-16,10.0,0.06215730751349957,-0.014004618674543057,True
SPY,2021-08-20,2021-08-23,2021-09-03,2021-09-07,2.142857142857143,0.00939025560643203,-0.0022359173108175145,True
SPY,2021-09-10,2021-09-13,2021-11-05,2021-11-08,8.0,0.05341096258546685,-0.037096932399905636,True
SPY,2021-12-03,2021-12-06,2021-12-31,2022-01-03,4.0,0.04489689980125555,-0.0048204730423515585,True
SPY,2022-01-07,2022-01-10,2022-07-29,2022-08-01,29.0,-0.11102665967457881,-0.20992240366965076,False
SPY,2022-09-23,2022-09-26,2022-11-11,2022-11-14,7.0,0.08457064033133466,-0.021273127387090862,True
SPY,2023-08-25,2023-08-28,2023-11-24,2023-11-27,13.0,0.030090890511215607,-0.06918298730124661,True
SPY,2024-04-19,2024-04-22,2024-06-14,2024-06-17,8.0,0.09481308355382612,0.0,True
SPY,2024-08-02,2024-08-05,2024-09-27,2024-09-30,8.0,0.1123736366927992,0.0,True
SPY,2024-12-27,2024-12-30,2025-05-16,2025-05-19,20.0,0.01431345683056695,-0.15342285226565522,True
SPY,2025-11-21,2025-11-24,2026-04-24,2026-04-27,22.0,0.07553449975716964,-0.049588877408005994,True
QQQ,2013-06-28,2013-07-01,2013-07-12,2013-07-15,2.0,0.052433750432878234,0.0,True
QQQ,2014-01-24,2014-01-27,2014-02-28,2014-03-03,5.0,0.048221756891364986,-0.01874244564640748,True
QQQ,2014-03-14,2014-03-17,2014-06-06,2014-06-09,12.0,0.039263488167020855,-0.05754808717121196,True
QQQ,2014-10-03,2014-10-06,2014-11-14,2014-11-17,6.0,0.05053086407159557,-0.06298504569936347,True
QQQ,2015-01-09,2015-01-12,2015-02-20,2015-02-23,6.0,0.06863610762856154,-0.018709773557942677,True
QQQ,2015-03-13,2015-03-16,2015-03-20,2015-03-23,1.0,0.01751747665606418,0.0,True
QQQ,2015-03-27,2015-03-30,2015-05-22,2015-05-26,8.142857142857142,0.02314237150406173,-0.015740684083742962,True
QQQ,2015-06-05,2015-06-08,2015-10-23,2015-10-26,20.0,0.04801533807573244,-0.0912688952576518,True
QQQ,2016-01-08,2016-01-11,2016-03-18,2016-03-21,10.0,0.03622860394331706,-0.07677554443080614,True
QQQ,2016-06-24,2016-06-27,2016-07-01,2016-07-05,1.1428571428571428,0.050870436896690574,0.0,True
QQQ,2016-10-28,2016-10-31,2016-12-23,2016-12-27,8.142857142857142,0.03579180523602421,-0.028549477390592104,True
QQQ,2016-12-30,2017-01-03,2017-01-06,2017-01-09,0.8571428571428571,0.02333951967001613,0.0,True
QQQ,2017-06-30,2017-07-03,2017-10-27,2017-10-30,17.0,0.11543971664546437,0.0,True
QQQ,2018-02-09,2018-02-12,2018-02-23,2018-02-26,2.0,0.0725748014173897,0.0,True
QQQ,2018-03-23,2018-03-26,2018-06-01,2018-06-04,10.0,0.06021886784926789,-0.05407543017946281,True
QQQ,2018-10-05,2018-10-08,2019-02-01,2019-02-04,17.0,-0.05046053461589595,-0.19625490440999682,False
QQQ,2019-05-31,2019-06-03,2019-06-28,2019-07-01,4.0,0.11496858767425899,0.0,True
QQQ,2019-08-09,2019-08-12,2019-10-25,2019-10-28,11.0,0.07387269470445146,-0.012367759200935802,True
QQQ,2020-02-28,2020-03-02,2020-05-08,2020-05-11,10.0,0.05051972679226724,-0.21772462966539663,True
QQQ,2020-09-25,2020-09-28,2020-12-04,2020-12-07,10.0,0.10840506656385585,-0.02821094872669061,True
QQQ,2021-02-26,2021-03-01,2021-04-23,2021-04-26,8.0,0.05708280277337141,-0.0730864957237013,True
QQQ,2021-05-07,2021-05-10,2021-07-02,2021-07-06,8.142857142857142,0.10697373002688226,-0.027228765788053333,True
QQQ,2021-09-24,2021-09-27,2021-11-05,2021-11-08,6.0,0.07482102363753707,-0.047873794193830754,True
QQQ,2021-12-03,2021-12-06,2021-12-10,2021-12-13,1.0,0.015691295997756427,0.0,True
QQQ,2021-12-17,2021-12-20,2022-07-22,2022-07-25,31.0,-0.20875462143440104,-0.2862286090814916,False
QQQ,2022-09-23,2022-09-26,2022-11-11,2022-11-14,7.0,0.0403470065998488,-0.05058874496953736,True
QQQ,2023-08-18,2023-08-21,2023-11-24,2023-11-27,14.0,0.07099019895212622,-0.054252619705517646,True
QQQ,2024-04-05,2024-04-08,2024-06-14,2024-06-17,10.0,0.10090776783058364,-0.058897001444742636,True
QQQ,2024-07-26,2024-07-29,2024-10-11,2024-10-14,11.0,0.07393643306483555,-0.06279375308187163,True
QQQ,2025-01-10,2025-01-13,2025-05-16,2025-05-19,18.0,0.03407814886295513,-0.17580417351913113,True
QQQ,2025-11-21,2025-11-24,2026-04-24,2026-04-27,22.0,0.10041049725103246,-0.0751137065352655,True
