asset,event_group,horizon,n,mean_forward_return,median_forward_return,positive_rate,mean_max_drawdown,median_max_drawdown,inference_note
SPY,bullish_all,4w,32,0.007949304411883639,0.011161129788124002,0.625,-0.0276430998047666,-0.020393094769129705,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_all,8w,32,0.01771412230233383,0.02481805225166822,0.71875,-0.0428022367589317,-0.03634317982173807,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_all,13w,31,0.03879517023235162,0.04256984885823578,0.8387096774193549,-0.05056079805926308,-0.03735443041128628,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_all,26w,31,0.042075647474190896,0.061054882591200066,0.7096774193548387,-0.09704450586796055,-0.07538763454194009,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_all,52w,31,0.11692233142937078,0.12924535007624294,0.8064516129032258,-0.13684224886177565,-0.11910249072947854,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_below_zero,4w,7,0.015439508056938136,0.01733657624553331,0.8571428571428571,-0.03717949603792129,-0.03561608181053921,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_below_zero,8w,7,0.019132545140671642,0.03469191007072969,0.7142857142857143,-0.05873364331985858,-0.04639637139027131,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_below_zero,13w,7,0.03553769016315078,0.035458088327539494,0.7142857142857143,-0.07144276532820511,-0.06989496100648596,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_below_zero,26w,7,0.08042713204142224,0.06999913168148364,1.0,-0.09099185483638574,-0.07538763454194009,descriptive only; forward windows can overlap and are serially dependent
SPY,bullish_below_zero,52w,7,0.20464367464576835,0.19499866364532248,1.0,-0.09991923462200457,-0.0944047052518262,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_all,4w,31,0.01755413649000302,0.02879338578686852,0.6774193548387096,-0.038600885182802185,-0.025784613970496584,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_all,8w,31,0.02988166834432714,0.033700587978876095,0.8064516129032258,-0.04985411256148671,-0.03908327504051978,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_all,13w,31,0.03992431561800932,0.05014954417316564,0.8064516129032258,-0.06786064273372501,-0.04457485240286041,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_all,26w,31,0.08941975987480123,0.11176142941623124,0.8387096774193549,-0.08999320410335253,-0.07273488245374737,descriptive only; forward windows can overlap and are serially dependent
SPY,bearish_all,52w,30,0.11427777370631456,0.14216845515762044,0.7666666666666667,-0.14961687106222543,-0.12611389047738275,descriptive only; forward windows can overlap and are serially dependent
