asset,strategy,signal_price_basis,return_price_basis,execution,cash_proxy,cost_bps_per_switch,total_return,cagr,annualized_volatility,sharpe_zero_rf,max_drawdown,time_in_market,switches,n_observations,periods_per_year
SPY,weekly_macd_bull_zero_cash,adjusted_total_return,adjusted_total_return,next_trading_session_close_after_weekly_signal,zero_yield,10.0,0.6738565162721943,0.03885318200518517,0.09806272721766202,0.43872314600606566,-0.20555343232669276,0.5492791997646367,63,3399,252
SPY,weekly_macd_bull_effr_cash,adjusted_total_return,adjusted_total_return,next_trading_session_close_after_weekly_signal,effective_federal_funds_rate,10.0,0.8377225420693266,0.04605751684822912,0.09805338069249336,0.5093871981754116,-0.19885452376028478,0.5492791997646367,63,3399,252
SPY,buy_and_hold,not_applicable,adjusted_total_return,continuous,not_applicable,0.0,5.49186398005377,0.14844922227879875,0.16820439168056792,0.9090114635519473,-0.3371725013018423,1.0,0,3399,252
QQQ,weekly_macd_bull_zero_cash,adjusted_total_return,adjusted_total_return,next_trading_session_close_after_weekly_signal,zero_yield,10.0,1.7467112407855976,0.07763143383224125,0.12658903773898175,0.6553277702006053,-0.2647359037155266,0.5734039423359811,63,3399,252
QQQ,weekly_macd_bull_effr_cash,adjusted_total_return,adjusted_total_return,next_trading_session_close_after_weekly_signal,effective_federal_funds_rate,10.0,2.02566375397894,0.08537205265695458,0.126572697138623,0.7120724836470241,-0.25884977207396664,0.5734039423359811,63,3399,252
QQQ,buy_and_hold,not_applicable,adjusted_total_return,continuous,not_applicable,0.0,11.05944957911985,0.2023018738319482,0.20852171796281796,0.9900188620472815,-0.3511872359927699,1.0,0,3399,252
SPY,weekly_macd_bull_zero_cash,raw_close_price,adjusted_total_return,next_trading_session_close_after_weekly_signal,zero_yield,10.0,0.6083117239266362,0.0357871001787311,0.09662771312668487,0.4131352329862786,-0.18637744388009958,0.5392762577228597,65,3399,252
SPY,weekly_macd_bull_effr_cash,raw_close_price,adjusted_total_return,next_trading_session_close_after_weekly_signal,effective_federal_funds_rate,10.0,0.7723086366295078,0.0432558522467017,0.09661852780049933,0.4876855645674332,-0.18275405449227855,0.5392762577228597,65,3399,252
QQQ,weekly_macd_bull_zero_cash,raw_close_price,adjusted_total_return,next_trading_session_close_after_weekly_signal,zero_yield,10.0,1.539634539703072,0.07139917485802139,0.12584648478863658,0.6122637312852734,-0.26473590371552647,0.5681082671373934,63,3399,252
QQQ,weekly_macd_bull_effr_cash,raw_close_price,adjusted_total_return,next_trading_session_close_after_weekly_signal,effective_federal_funds_rate,10.0,1.8006477948531345,0.07918321155176256,0.12583112759601395,0.6699831273397299,-0.2588497720739664,0.5681082671373934,63,3399,252
