signal_name,filters,sample_size,median_5D,mean_5D,win_rate_5D,ret_5D_p10,ret_5D_p25,ret_5D_p50,ret_5D_p75,ret_5D_p90,median_MFE_5D,median_MAE_5D,median_10D,mean_10D,win_rate_10D,ret_10D_p10,ret_10D_p25,ret_10D_p50,ret_10D_p75,ret_10D_p90,median_MFE_10D,median_MAE_10D,median_20D,mean_20D,win_rate_20D,ret_20D_p10,ret_20D_p25,ret_20D_p50,ret_20D_p75,ret_20D_p90,median_MFE_20D,median_MAE_20D,median_30D,mean_30D,win_rate_30D,ret_30D_p10,ret_30D_p25,ret_30D_p50,ret_30D_p75,ret_30D_p90,median_MFE_30D,median_MAE_30D,MFE_MAE_ratio_20D,stopout_rate_5pct,stopout_rate_8pct,stopout_rate_5pct_5D,stopout_rate_5pct_10D,stopout_rate_5pct_20D,stopout_rate_5pct_30D,new_low_rate_30D,new_low_rate_60D,durable_bottom_30D,durable_bottom_60D,median_distance_from_60D_low,median_distance_from_30D_low,extension_penalty,prob_MFE20_ge_5pct,prob_MFE20_ge_8pct,prob_MFE20_ge_10pct,prob_MFE20_ge_15pct,prob_MFE20_ge_20pct,prob_MAE20_le_3pct,prob_MAE20_le_5pct,prob_MAE20_le_8pct,prob_MAE20_le_10pct,median_time_to_new_low_if_failed,bounce_quality_score,asymmetric_entry_score
candidate_1_cohort_rs_antichase,same-industry 2W StochRSI washout >= 40% + stock/sector ETF RS 20D slope > 0 + signal within 12% of 60D low,315,0.008773379731614073,0.005081376978047382,0.6190476190476191,-0.03766793085658089,-0.011431012562341636,0.008773379731614073,0.02663338186032249,0.04736738814619322,0.022212254689229605,-0.015539036092042435,0.016670527166724902,0.010607868540974659,0.6476190476190476,-0.05125789687183113,-0.01387998133588475,0.016670527166724902,0.04218844126203636,0.06206918101748807,0.0349528128460197,-0.019500479145607263,0.02219642111122755,0.014367562815396693,0.6126984126984127,-0.07728159858954377,-0.027917512220135388,0.02219642111122755,0.059771425058750105,0.09057782159479523,0.05306451888168873,-0.02956592838382255,0.023530751027388996,0.02098570413346621,0.6253968253968254,-0.07825484886593359,-0.030167203143870225,0.023530751027388996,0.07355823551793028,0.123484629621868,0.06709770759278677,-0.03975991017176983,1.7947861536025296,0.32063492063492066,0.1873015873015873,0.10158730158730159,0.19047619047619047,0.32063492063492066,0.4095238095238095,0.473015873015873,0.5904761904761905,0.707936507936508,0.6412698412698413,0.09259853572299326,0.08540344062620608,0.07177483129708467,0.5238095238095238,0.29523809523809524,0.1619047619047619,0.02857142857142857,0.009523809523809525,0.4984126984126984,0.32063492063492066,0.1873015873015873,0.11746031746031746,13.0,82.10705338658622,76.45104784585786
cohort+anti_chase,same-sector 2W StochRSI washout >= 40% + signal within 12% of 60D low,470,0.006762231082898418,0.004069361479697274,0.5893617021276596,-0.03967696261897733,-0.015527693233400364,0.006762231082898418,0.02757310290925985,0.04887443018999007,0.021456680656066762,-0.01580217693305974,0.014658638266367485,0.010012307680145771,0.6425531914893617,-0.05362021861465501,-0.013967141198965083,0.014658638266367485,0.04197187809172587,0.06285092294615796,0.03331401444487203,-0.02026215760498279,0.016528512805624174,0.01230192441934491,0.5957446808510638,-0.07588674840817629,-0.025700843531269224,0.016528512805624174,0.05516302266590328,0.09209317523059475,0.05195454325879212,-0.030345419644125404,0.0216723839674835,0.020194832125344567,0.6297872340425532,-0.0787224359715273,-0.03284857501674285,0.0216723839674835,0.0690028393572788,0.11903193586386736,0.06522247808893444,-0.03972052105475171,1.7121049525129912,0.33404255319148934,0.19787234042553192,0.12127659574468085,0.2170212765957447,0.33404255319148934,0.4127659574468085,0.4765957446808511,0.6191489361702127,0.7170212765957447,0.6063829787234043,0.09036844570740077,0.08245715387533581,0.06929325641736575,0.5148936170212766,0.28085106382978725,0.16595744680851063,0.04680851063829787,0.014893617021276596,0.5042553191489362,0.33404255319148934,0.19787234042553192,0.12978723404255318,12.0,72.44725204965462,71.15476818042475
cohort+rs,same-sector 2W StochRSI washout >= 40% + stock/SPY RS 20D slope > 0,1425,0.006480430893132549,0.006444176012090704,0.5705263157894737,-0.04219836602199452,-0.016100122281144436,0.006480430893132549,0.02865331261543491,0.052091562264772566,0.02370764814248183,-0.020163846501935923,0.012632682452927924,0.01232346029473337,0.623859649122807,-0.05630962396093992,-0.016459348053652123,0.012632682452927924,0.04357976781888362,0.07590188962180196,0.03791391763444296,-0.027366127543940966,0.017506644609691868,0.016845440212537185,0.6028070175438597,-0.07822012409401569,-0.030837291705219982,0.017506644609691868,0.06255730641576607,0.11180373177234867,0.05760750092036626,-0.03719678456872455,0.019491277862259127,0.01908275279850397,0.5873684210526315,-0.1021383104095648,-0.040159320862937276,0.019491277862259127,0.07326312998112905,0.134428310119353,0.06764018867825317,-0.0457502910103037,1.5487226003078571,0.38456140350877194,0.21403508771929824,0.16701754385964912,0.25684210526315787,0.38456140350877194,0.47157894736842104,0.31087719298245614,0.4610526315789474,0.7971929824561403,0.6701754385964912,0.16289804680283226,0.15534666611424197,0.12853908390157465,0.5642105263157895,0.3368421052631579,0.223859649122807,0.09754385964912281,0.047719298245614036,0.5747368421052632,0.38456140350877194,0.21403508771929824,0.15578947368421053,20.0,71.42349723982396,60.627270066180685
production_score_65_proxy,same-sector 2W StochRSI washout >= 25% + stock/SPY RS 20D slope > 0 + signal within 15% of 60D low + reject monthly oversold dwell >= 6 bars,929,0.005329595113370722,0.003378052841775029,0.5715823466092572,-0.03724075276127949,-0.012426863776516583,0.005329595113370722,0.024116965404561874,0.04344508655045596,0.019881572251046364,-0.01669035849212208,0.01082416568391742,0.007913209539575288,0.6114101184068891,-0.04880978160908254,-0.017529302829507043,0.01082416568391742,0.03647557115643307,0.0625946768728293,0.031660117101251606,-0.02282294179995803,0.016305685296173156,0.010080756012392748,0.6071044133476857,-0.07624740308902597,-0.025560057202370312,0.016305685296173156,0.051392186667131634,0.08321083724745855,0.048933522990979306,-0.031358111553520085,0.017824318805123474,0.011397272611453815,0.5920344456404736,-0.09225271389454866,-0.03500117193938468,0.017824318805123474,0.06160003111153611,0.10494316123997197,0.059133369231892496,-0.0396174781862656,1.5604741665473891,0.3379978471474704,0.18622174381054898,0.11302475780409042,0.20559741657696448,0.3379978471474704,0.4241119483315393,0.39289558665231433,0.5382131324004306,0.7502691065662002,0.667384284176534,0.11480228294872341,0.10769453946352114,0.08927554672878696,0.48869752421959095,0.24757804090419805,0.13347685683530677,0.03659849300322928,0.013993541442411194,0.5145317545748116,0.3379978471474704,0.18622174381054898,0.1302475780409042,16.5,69.48453349690125,67.32962079517173
candidate_3_monthly_cohort,monthly StochRSI oversold dwell 1-3 bars + reject monthly oversold dwell >= 6 bars + same-sector 2W StochRSI washout >= 40% + signal within 12% of 60D low,148,0.004857089563001238,0.005789150964104522,0.5675675675675675,-0.040616082889807774,-0.01575022934153436,0.004857089563001238,0.03317366028059754,0.05753942239402236,0.022698902645830632,-0.016383939759530397,0.011218505725753114,0.007046543005312024,0.6013513513513513,-0.054546091937757404,-0.019147391895925042,0.011218505725753114,0.034028813470877106,0.06132831238175975,0.03067133688416601,-0.019705275868451055,0.0071313710787968,0.009161959162389863,0.5743243243243243,-0.06976387718993989,-0.02716675311541486,0.0071313710787968,0.05533507016212863,0.08517980324072087,0.05339824487263356,-0.03153550016916484,0.02203195864530283,0.02203089699052746,0.668918918918919,-0.07164751427752246,-0.030920306435323647,0.02203195864530283,0.07139704578248102,0.11929992347163436,0.0636458818512654,-0.040161343801632166,1.6932740748106456,0.34459459459459457,0.19594594594594594,0.12837837837837837,0.22972972972972974,0.34459459459459457,0.4189189189189189,0.44594594594594594,0.5945945945945946,0.722972972972973,0.6081081081081081,0.08512090772271019,0.0792011523629389,0.06463623108566863,0.5135135135135135,0.2702702702702703,0.16891891891891891,0.05405405405405406,0.02702702702702703,0.5067567567567568,0.34459459459459457,0.19594594594594594,0.13513513513513514,9.5,64.70910758668782,67.7194619941872
strict_quality_stack,"same-sector 2W StochRSI washout >= 40% + stock/SPY RS 20D slope > 0 + signal within 12% of 60D low + RSI or MACD-hist bullish divergence, 40D",74,0.0010550379337133098,0.002045064144137048,0.581081081081081,-0.03568817283458362,-0.01913909678003911,0.0010550379337133098,0.01848222191603982,0.04744745826783364,0.021516623949809244,-0.01775961584776714,0.019173427336963367,0.00646039969071826,0.6081081081081081,-0.07268354905453502,-0.01970955967900112,0.019173427336963367,0.043459046480926466,0.0750877526699906,0.0333020759945325,-0.02764626598568215,0.0056982902427327176,-0.0011156345813181276,0.5405405405405406,-0.1072839359319053,-0.038194378808508456,0.0056982902427327176,0.05987208639989622,0.0913920453802057,0.05005164790203598,-0.0365303094649968,0.022508773155143103,0.007392707286173181,0.6081081081081081,-0.11858875534358698,-0.04858103166765562,0.022508773155143103,0.07149059072781627,0.11798046917619355,0.06649194019727911,-0.040900902430738906,1.3701402653047676,0.3783783783783784,0.28378378378378377,0.08108108108108109,0.22972972972972974,0.3783783783783784,0.44594594594594594,0.43243243243243246,0.5675675675675675,0.7297297297297297,0.6486486486486487,0.09610337094787813,0.09545524512426329,0.07745672901655479,0.5,0.32432432432432434,0.16216216216216217,0.02702702702702703,0.013513513513513514,0.5405405405405406,0.3783783783783784,0.28378378378378377,0.20270270270270271,12.0,61.251489603260396,59.42546146943807
candidate_5_clean_compounder,price near rising 200W MA + monthly StochRSI oversold dwell 1-3 bars + stock/sector ETF RS higher low,60,0.007249896710689208,0.00513208433254014,0.5666666666666667,-0.056832379218764384,-0.008893359756816543,0.007249896710689208,0.028707166828963293,0.04420418267558859,0.023034097635747486,-0.017454400595182662,0.010742238986099384,0.005996229524650661,0.6333333333333333,-0.06988563709492536,-0.02309758745183932,0.010742238986099384,0.031080191756767128,0.07360436455965876,0.03709687021189645,-0.03080787583551159,0.014171888111625952,0.00479673193293984,0.5833333333333334,-0.09624054561583348,-0.054228239867017275,0.014171888111625952,0.05809632348696708,0.09126116793321142,0.057920374500870175,-0.04509450327934289,0.019205762975238905,0.0073825094314603846,0.5666666666666667,-0.12841150249318745,-0.047777564944913586,0.019205762975238905,0.07591298617194903,0.11177369794089972,0.06759909449804835,-0.05374236494186041,1.2844220534391078,0.48333333333333334,0.3333333333333333,0.21666666666666667,0.31666666666666665,0.48333333333333334,0.5166666666666667,0.4666666666666667,0.5666666666666667,0.6333333333333333,0.5833333333333334,0.12672789172617938,0.1129009695773211,0.09268260360642361,0.5833333333333334,0.3333333333333333,0.2,0.08333333333333333,0.03333333333333333,0.6,0.48333333333333334,0.3333333333333333,0.25,9.5,58.45299078108991,53.464431789605236
candidate_4_volume_reclaim,flush volume > 2x 20D average + up/down volume ratio >= 1.3 + 20D/60D failed breakdown reclaim,46,-0.002303792693149065,-0.0019400498932846386,0.45652173913043476,-0.10211001882856074,-0.07363456009259897,-0.002303792693149065,0.05707764298235801,0.09940287571046502,0.06644424154579887,-0.05442914305103114,-0.004510727887528931,-0.00042791280341422536,0.45652173913043476,-0.14190050158662904,-0.05851283961464129,-0.004510727887528931,0.08733541180628429,0.13226137569838514,0.08788398100441652,-0.06611556553129166,0.0211429717934708,0.027359086220160745,0.5652173913043478,-0.17551599046995214,-0.10733464864121439,0.0211429717934708,0.15560175405479987,0.2567893382298907,0.107292890725883,-0.08970214597146786,0.040885234758036626,0.06425745218114302,0.6086956521739131,-0.18693713815071367,-0.07288939748426959,0.040885234758036626,0.17597822023266563,0.3392897538483668,0.12855354717799594,-0.11296220818364683,1.196101716005884,0.6956521739130435,0.5434782608695652,0.5652173913043478,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.1956521739130435,0.391304347826087,0.8260869565217391,0.6956521739130435,0.22845756724810484,0.22845756724810484,0.1818147715466603,0.717391304347826,0.6521739130434783,0.5434782608695652,0.391304347826087,0.2826086956521739,0.7608695652173914,0.6956521739130435,0.5434782608695652,0.4782608695652174,27.5,46.63482440090138,37.95603155739378
rs+anti_chase,stock/SPY RS 20D slope > 0 + signal within 12% of 60D low,2491,0.0018763929136680346,0.0018977649985459182,0.5246888799678844,-0.045624349630743466,-0.018592037742679424,0.0018763929136680346,0.023670361237364546,0.048816609291638446,0.022151955281523472,-0.019585662241023094,0.004468418437518995,0.004249574689750379,0.5399437976716178,-0.0643940284516551,-0.025754346892014557,0.004468418437518995,0.03578107120249674,0.06855983668604204,0.03246753045382622,-0.02817437522696986,0.00813701837320635,0.007023030860110872,0.5491770373344038,-0.09184925228439833,-0.03775721748725669,0.00813701837320635,0.05259664988862922,0.09630478882207583,0.04889982130386872,-0.04034225790794632,0.008695627227238711,0.00930460879043378,0.5415495784825372,-0.11118333948011494,-0.04634816170618378,0.008695627227238711,0.06442681493494384,0.12047118566047565,0.0598954687869786,-0.051356285913295,1.2121240565029652,0.4263348052990767,0.2521075873143316,0.17101565636290647,0.28663187474909674,0.4263348052990767,0.5102368526696106,0.5210758731433159,0.6350863107185869,0.6599759132878362,0.5865114411882778,0.09377988346297284,0.0866366784339978,0.0709722729323568,0.4901645925331192,0.29425933360096346,0.1979124849458049,0.08711360899237254,0.04415897230028101,0.60457647531112,0.4263348052990767,0.2521075873143316,0.17784022480931352,10.0,44.707702052468484,54.218001597302255
failed_reclaim+rs,20D/60D failed breakdown reclaim + stock/SPY RS 20D slope > 0,602,4.756321412568987e-05,0.0010845444483975034,0.5,-0.08824705409434992,-0.03933218039210937,4.756321412568987e-05,0.038929472724162195,0.08407312536286202,0.04042488000671096,-0.04005349936318653,0.0014835352726992879,0.0007159242959225398,0.5049833887043189,-0.1326092110587116,-0.055386475402758345,0.0014835352726992879,0.05359961419529924,0.12046552748887365,0.05862895539418356,-0.05764309318203725,0.016775405466781246,0.014445132614489676,0.5598006644518272,-0.1694527420149847,-0.07678561599359368,0.016775405466781246,0.07464297551401211,0.18637118072557657,0.0867634366382698,-0.07907776531344951,0.00866707418414836,0.029776133837640488,0.5249169435215947,-0.18983190010386336,-0.07415050479400767,0.00866707418414836,0.10599326647264246,0.2441742500854585,0.10860114470670423,-0.09264206954213838,1.0971913064861623,0.6661129568106312,0.4950166112956811,0.4335548172757475,0.5564784053156147,0.6661129568106312,0.7192691029900332,0.29401993355481726,0.4568106312292359,0.8056478405315615,0.6611295681063123,0.18125220212742166,0.17428611709827557,0.14659481365645285,0.6910299003322259,0.5348837209302325,0.4418604651162791,0.26245847176079734,0.1644518272425249,0.7757475083056479,0.6661129568106312,0.4950166112956811,0.41029900332225916,20.0,41.75415244288236,40.099155158880166
