announcement_id	sec_code	sec_name	exchange	publish_ts	has_announcement_id	filing_new_in_this_run_delta	represented_in_visit_plane	visit_system_recorded_at	row_origin	typed_exclusion	title
1225486938	000920	沃顿科技	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举行2026年半年度网上业绩说明会并征集问题的公告
1225485393	000922	佳电股份	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于召开2026年半年度网上业绩说明会的公告
1225485939	001319	铭科精技	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举办2026年半年度业绩说明会的公告
1225484314	001328	登康口腔	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举办2026年半年度业绩说明会的公告
1225486412	002039	黔源电力	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举行2026年半年度网上业绩说明会的通知
1225484445	002243	力合科创	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举行2026年半年度网上业绩说明会的公告
1225484238	002327	富安娜	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举行2026年半年度网上业绩说明会的通知
1225484295	002432	九安医疗	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举办2026年半年度网上业绩说明会的公告
1225484585	002670	国盛证券	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于召开2026年半年度业绩说明会的公告
1225487143	002807	江阴银行	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举行2026年半年度报告网上业绩说明会的公告
1225484355	002895	川恒股份	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		举办2026年半年度业绩说明会的公告
1225488155	300530	领湃科技	sse	2026-08-21T15:46:15+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于参加2026年湖南辖区上市公司投资者网上集体接待日暨半年度业绩说明会活动的公告
1225489580	300681	英搏尔	sse	2026-08-21T17:08:15+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于召开2026年半年度业绩说明会的公告
1225485251	301286	侨源股份	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于举行2026年半年度网上业绩说明会的公告
1225485341	600022	山东钢铁	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		山东钢铁股份有限公司关于召开2026年半年度业绩说明会的公告
1225485615	600064	南京高科	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		南京高科关于召开2026年半年度业绩说明会的公告
1225486033	600173	卧龙新能	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		卧龙新能关于召开2026年半年度业绩说明会的公告
1225484395	600184	光电股份	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		北方光电股份有限公司关于召开2026年半年度业绩说明会的公告
1225484243	600241	时代万恒	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		辽宁时代万恒股份有限公司关于召开2026年半年度业绩说明会的公告
1225485299	600256	广汇能源	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		广汇能源股份有限公司关于召开2026年半年度业绩说明会的公告
1225484290	600373	中文传媒	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		中文传媒关于召开2026年半年度业绩说明会的公告
1225486441	600377	宁沪高速	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于召开2026年半年度业绩说明会的公告
1225484502	600483	福能股份	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		福能股份关于召开2026年半年度业绩说明会的公告
1225484489	600502	安徽建工	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		安徽建工关于召开2026年半年度业绩说明会的公告
1225486623	600594	益佰制药	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		贵州益佰制药股份有限公司关于召开2026年半年度业绩说明会的公告
1225486084	600785	新华百货	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		银川新华百货商业集团股份有限公司关于召开2026年半年度业绩说明会的公告
1225484316	600829	人民同泰	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于召开2026年半年度业绩说明会的公告
1225485986	600917	重庆燃气	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		重庆燃气关于召开2026年半年度业绩说明会的公告
1225484270	600963	岳阳林纸	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		岳阳林纸股份有限公司关于召开2026年半年度业绩说明会的公告
1225485138	600970	中材国际	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		中国中材国际工程股份有限公司关于召开2026年半年度业绩说明会的公告
1225484539	600971	恒源煤电	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		恒源煤电关于召开2026年半年度业绩说明会的公告
1225485667	600980	北矿科技	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		北矿科技关于召开2026年半年度业绩说明会的公告
1225484572	600995	南网储能	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		南方电网储能股份有限公司关于召开2026年半年度业绩说明会的公告
1225484247	601166	兴业银行	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		兴业银行关于召开2026年半年度业绩说明会的公告
1225484387	601177	杭齿前进	sse	2026-08-21T00:00:00+08:00	yes	yes	yes	2026-08-21T09:29:55.173073+00:00	new_this_run		关于召开2026年半年度业绩说明会的公告
