owner,path,kind,status,mergeability,head_sha_or_blob,url,next_gate,clock_utc,notes
NAMED_R6_FREEZE,research/CN_LIMIT_R6_FINAL_ARCHITECTURE_FREEZE_2026-08-19.md,file,ABSENT_ON_ORIGIN_MAIN,n/a,,n/a,Fable must land or rename the named freeze; Grok does not choose a substitute,2026-08-19T18:27:05Z,git cat-file -e origin/main:research/CN_LIMIT_R6_FINAL_ARCHITECTURE_FREEZE_2026-08-19.md failed; gh search code empty
WS:CN-LIMIT-ALPHA,agentos/workstreams/WS-CN-LIMIT-ALPHA.md,workstream,active_on_main,n/a,55da1d756935add56fc9bb16d34ed9c936e3c9a7,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/agentos/workstreams/WS-CN-LIMIT-ALPHA.md,P-A2 accrual-gated; P-C data-gated; exact-plane full-A re-measurement; P-D last with no P-B3 input,2026-08-19T18:27:05Z,last commit f407511a50f8 2026-08-15T16:03:14Z PR #5729
WS:CN-LIMIT-ALPHA,research/CN_LIMIT_WASHOUT_PROGRAM_V2_2026-08-11.md,file,on_main,n/a,b4e00ce72752216dd9968272a67cad5baadd4741,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/CN_LIMIT_WASHOUT_PROGRAM_V2_2026-08-11.md,same as workstream next_action,2026-08-19T18:27:05Z,program home v2
WS:CN-LIMIT-ALPHA,research/cn_prophet_audit/,dir,on_main,n/a,f407511a50f890905fe73c4a7568592d6578592a,https://github.com/mastermindx-market-intelligence/macro/tree/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/cn_prophet_audit,do_not_redo P-B2/P-B3; no production scoring change,2026-08-19T18:27:05Z,WS owns_paths
WS:CN-LIMIT-ALPHA,PR #5729,pr,MERGED,merged,f407511a50f890905fe73c4a7568592d6578592a,https://github.com/mastermindx-market-intelligence/macro/pull/5729,closed construction; do not re-run,2026-08-19T18:23:48Z,P-B3 NULL=12 UNINFORMATIVE=8 merged 2026-08-15T16:03:15Z
WS:CN-LIMIT-ALPHA,PR #5730,pr,MERGED,merged,576ce390092192b4270ae53a4d3b91713e7e374d,https://github.com/mastermindx-market-intelligence/macro/pull/5730,live min(first_seen) after first asia-close write,2026-08-19T18:23:48Z,P-B2-ACCRUAL merged 2026-08-15T09:58:09Z
WS:CN-LIMIT-ALPHA,PR #5615,pr,MERGED,merged,37f1fd9a8d9ba8685b632f269ca9d533098ac05f,https://github.com/mastermindx-market-intelligence/macro/pull/5615,do not rerun; reopen is P-B3 not a P-B2 rewrite,2026-08-19T18:23:48Z,P-B2 NO DISCRIMINATOR merged 2026-08-14T21:28:28Z
WS:CN-LIMIT-ALPHA,PR #5364,pr,MERGED,merged,b50cf9461be794f3190b0bc985a35f6dfb3078d1,https://github.com/mastermindx-market-intelligence/macro/pull/5364,done,2026-08-19T18:23:48Z,W-P0 merged 2026-08-12T04:22:55Z
EXACT_PLANE,research/CN_LIMIT_EXACT_PLANE_LEDGER_PREREG_REQUIREMENTS_2026-08-11.md,file,requirements_charter_only,n/a,77e61101da37b1bff820f1583a6de00b06f1167f,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/CN_LIMIT_EXACT_PLANE_LEDGER_PREREG_REQUIREMENTS_2026-08-11.md,§5 gates then a fresh prereg; no ledger exists,2026-08-19T18:27:05Z,last commit ef296f26196e 2026-08-11 via PR #5360
EXACT_PLANE,research/CN_TUSHARE_FULL_A_SPINE_CONTRACT_2026-08-08.md,file,on_main,n/a,955a28ab0f0a962bf50f276c366394655e047933,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/CN_TUSHARE_FULL_A_SPINE_CONTRACT_2026-08-08.md,full-A spine authority decision remains operator-owned,2026-08-19T18:24:45Z,substrate contract
EXACT_PLANE,DNR:KILL-CN-ADJUSTED-TAPE-LEGAL-LIMIT,kill,in_force,n/a,n/a,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/research/DO_NOT_REBUILD.md,reopen only via exact-plane chain,2026-08-19T18:22:13Z,cited by WS:CN-LIMIT-ALPHA landmines
CHINA_ALPHA,agentos/workstreams/WS-CHINA-ALPHA-INTELLIGENCE.md,workstream,active_on_main,n/a,7d45c23729d87da4c1f6d10c35962dcd6ac4354d,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/agentos/workstreams/WS-CHINA-ALPHA-INTELLIGENCE.md,Sol final freeze review of revised #5953 head; then PR-0B + RIGHTS-0 + PR-0D,2026-08-19T18:27:05Z,landed PR #5953 merge c617be762ae7 2026-08-19T16:05:16Z
CHINA_ALPHA,agentos/decisions/DEC-CHINA-ALPHA-INTELLIGENCE-ARCHITECTURE-FREEZE.md,decision,on_main_not_self_declared_effective,n/a,51364c23dd03d759e186c8b1b414a0a705cf0733,https://github.com/mastermindx-market-intelligence/macro/blob/f57565ac52bfc48d5bc1539d1112bed87ba36004/agentos/decisions/DEC-CHINA-ALPHA-INTELLIGENCE-ARCHITECTURE-FREEZE.md,Sol final review of revised head,2026-08-19T18:27:05Z,document says freeze effective at Sol final review not at merge
