vehicle,scenario,policy,crisis,start,end,full_cvar_95,full_max_drawdown,full_return,max_drawdown_improvement,n_sessions,policy_cvar_95,policy_max_drawdown,policy_return,protection_vs_full,recovery_average_gross,recovery_capture,recovery_full_return,recovery_missed_upside,recovery_policy_return,recovery_sessions
csi300_etf_proxy,lag1_cost10,binary_loud_075,bubble_2015_16,2015-06-12,2016-01-28,-0.08203883512,-0.4537088457,-0.4496576178,0.01320681991,156,-0.08179066985,-0.4405020258,-0.4363528578,0.01330476006,0.9920634921,1.007751591,0.1235521763,0.001024563847,0.1245099022,63
csi300_etf_proxy,lag1_cost10,binary_loud_075,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03343212874,-0.3129127265,-0.3124429497,-0.008680692402,229,-0.02937084899,-0.3215934189,-0.3211295773,-0.008686627584,1,1,0.3731084903,0,0.3731084903,63
csi300_etf_proxy,lag1_cost10,binary_loud_075,covid_2020,2020-01-13,2020-03-23,-0.05338189371,-0.1608757535,-0.1517920769,0,45,-0.05338189371,-0.1608757535,-0.1517920769,0,0.9920634921,0.9984690108,0.1809416693,0.0007303857715,0.1806646496,63
csi300_etf_proxy,lag1_cost10,binary_loud_075,property_2021_22,2021-09-13,2022-04-26,-0.03148681729,-0.2551307648,-0.245327939,0.02187082102,147,-0.02688656535,-0.2332599438,-0.2251546744,0.02017326463,0.9404761905,0.8161152536,0.1311128493,0.03459164286,0.1070031962,63
csi300_etf_proxy,lag1_cost10,binary_loud_075,confidence_2023_24,2023-05-08,2024-02-05,-0.01827970414,-0.2046285829,-0.1826692684,0,187,-0.01827970414,-0.2046285829,-0.1826692684,0,1,1,0.1458853411,0,0.1458853411,63
csi300_etf_proxy,lag1_cost10,constant_075,bubble_2015_16,2015-06-12,2016-01-28,-0.08203883512,-0.4537088457,-0.4496576178,0.09919129526,156,-0.06152912634,-0.3545175505,-0.3509274367,0.0987301811,0.75,0.7517263172,0.1235521763,0.102445681,0.09287742244,63
csi300_etf_proxy,lag1_cost10,constant_075,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03343212874,-0.3129127265,-0.3124429497,0.07093643245,229,-0.02507409656,-0.241976294,-0.2415875858,0.07085536386,0.75,0.7248943873,0.3731084903,0.1312307472,0.2704642505,63
csi300_etf_proxy,lag1_cost10,constant_075,covid_2020,2020-01-13,2020-03-23,-0.05338189371,-0.1608757535,-0.1517920769,0.03843741999,45,-0.04003642028,-0.1224383335,-0.1143613834,0.03743069342,0.75,0.7376143825,0.1809416693,0.07774411036,0.1334651777,63
csi300_etf_proxy,lag1_cost10,constant_075,property_2021_22,2021-09-13,2022-04-26,-0.03148681729,-0.2551307648,-0.245327939,0.05832896047,147,-0.02361511297,-0.1968018043,-0.1886451115,0.05668282755,0.75,0.7443516016,0.1311128493,0.08619400603,0.09759405935,63
csi300_etf_proxy,lag1_cost10,constant_075,confidence_2023_24,2023-05-08,2024-02-05,-0.01827970414,-0.2046285829,-0.1826692684,0.04760199153,187,-0.0137097781,-0.1570265913,-0.1392331834,0.04343608499,0.75,0.7407002619,0.1458853411,0.07310507856,0.1080573104,63
csi300_etf_proxy,lag1_cost10,constant_100,bubble_2015_16,2015-06-12,2016-01-28,-0.08203883512,-0.4537088457,-0.4496576178,0,156,-0.08203883512,-0.4537088457,-0.4496576178,0,1,1,0.1235521763,0,0.1235521763,63
csi300_etf_proxy,lag1_cost10,constant_100,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03343212874,-0.3129127265,-0.3124429497,0,229,-0.03343212874,-0.3129127265,-0.3124429497,0,1,1,0.3731084903,0,0.3731084903,63
csi300_etf_proxy,lag1_cost10,constant_100,covid_2020,2020-01-13,2020-03-23,-0.05338189371,-0.1608757535,-0.1517920769,0,45,-0.05338189371,-0.1608757535,-0.1517920769,0,1,1,0.1809416693,0,0.1809416693,63
csi300_etf_proxy,lag1_cost10,constant_100,property_2021_22,2021-09-13,2022-04-26,-0.03148681729,-0.2551307648,-0.245327939,0,147,-0.03148681729,-0.2551307648,-0.245327939,0,1,1,0.1311128493,0,0.1311128493,63
csi300_etf_proxy,lag1_cost10,constant_100,confidence_2023_24,2023-05-08,2024-02-05,-0.01827970414,-0.2046285829,-0.1826692684,0,187,-0.01827970414,-0.2046285829,-0.1826692684,0,1,1,0.1458853411,0,0.1458853411,63
csi300_etf_proxy,lag1_cost10,current_ladder,bubble_2015_16,2015-06-12,2016-01-28,-0.08203883512,-0.4537088457,-0.4496576178,0.01437210508,156,-0.07922005532,-0.4393367407,-0.435178931,0.01447868684,0.9785714286,0.9761394546,0.1235521763,0.006622371481,0.120604154,63
csi300_etf_proxy,lag1_cost10,current_ladder,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03343212874,-0.3129127265,-0.3124429497,0.003409835033,229,-0.02640502791,-0.3095028914,-0.3090307833,0.003412166412,0.9976190476,0.9979575911,0.3731084903,0.0008037585692,0.3723464502,63
csi300_etf_proxy,lag1_cost10,current_ladder,covid_2020,2020-01-13,2020-03-23,-0.05338189371,-0.1608757535,-0.1517920769,0,45,-0.05338189371,-0.1608757535,-0.1517920769,0,0.9761904762,0.9740549867,0.1809416693,0.005607862798,0.1762471353,63
csi300_etf_proxy,lag1_cost10,current_ladder,property_2021_22,2021-09-13,2022-04-26,-0.03148681729,-0.2551307648,-0.245327939,0.04008135783,147,-0.02517997339,-0.215049407,-0.2069959156,0.03833202347,0.8961904762,0.7214731964,0.1311128493,0.05573312811,0.09459440647,63
csi300_etf_proxy,lag1_cost10,current_ladder,confidence_2023_24,2023-05-08,2024-02-05,-0.01827970414,-0.2046285829,-0.1826692684,0.001249716641,187,-0.01799876551,-0.2033788662,-0.181978044,0.0006912243835,0.9961904762,0.9915755973,0.1458853411,0.001674910519,0.1446563443,63
csi300_etf_proxy,lag1_cost10,current_riskoff_075,bubble_2015_16,2015-06-12,2016-01-28,-0.08203883512,-0.4537088457,-0.4496576178,0.01926873033,156,-0.07922005532,-0.4344401154,-0.430245993,0.01941162486,0.9785714286,0.9761394546,0.1235521763,0.006622371481,0.120604154,63
csi300_etf_proxy,lag1_cost10,current_riskoff_075,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03343212874,-0.3129127265,-0.3124429497,0.005967491998,229,-0.02833144342,-0.3069452345,-0.3064713776,0.005971572105,0.9976190476,0.9979575911,0.3731084903,0.0008037585692,0.3723464502,63
csi300_etf_proxy,lag1_cost10,current_riskoff_075,covid_2020,2020-01-13,2020-03-23,-0.05338189371,-0.1608757535,-0.1517920769,0,45,-0.05338189371,-0.1608757535,-0.1517920769,0,0.9761904762,0.9740549867,0.1809416693,0.005607862798,0.1762471353,63
csi300_etf_proxy,lag1_cost10,current_riskoff_075,property_2021_22,2021-09-13,2022-04-26,-0.03148681729,-0.2551307648,-0.245327939,0.02741909794,147,-0.02669345528,-0.2277116668,-0.2197880886,0.02553985043,0.9147619048,0.7732293061,0.1311128493,0.04456375787,0.1013802975,63
csi300_etf_proxy,lag1_cost10,current_riskoff_075,confidence_2023_24,2023-05-08,2024-02-05,-0.01827970414,-0.2046285829,-0.1826692684,0.001249716641,187,-0.01799876551,-0.2033788662,-0.181978044,0.0006912243835,0.9961904762,0.9915755973,0.1458853411,0.001674910519,0.1446563443,63
csi300_etf_proxy,lag1_cost10,matched_constant,bubble_2015_16,2015-06-12,2016-01-28,-0.08203883512,-0.4537088457,-0.4496576178,0.02302615753,156,-0.07708351984,-0.4306826882,-0.4267157179,0.02294189993,0.9395979322,0.9401837303,0.1235521763,0.02475172386,0.116161746,63
csi300_etf_proxy,lag1_cost10,matched_constant,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03343212874,-0.3129127265,-0.3124429497,0.01669697837,229,-0.03141275903,-0.2962157481,-0.2957636202,0.01667932942,0.9395979322,0.9319027514,0.3731084903,0.03170643395,0.3477008287,63
csi300_etf_proxy,lag1_cost10,matched_constant,covid_2020,2020-01-13,2020-03-23,-0.05338189371,-0.1608757535,-0.1517920769,0.009457140375,45,-0.05015751694,-0.1514186131,-0.1427874177,0.009004659154,0.9395979322,0.9358294357,0.1809416693,0.01878362009,0.1693305403,63
csi300_etf_proxy,lag1_cost10,matched_constant,property_2021_22,2021-09-13,2022-04-26,-0.03148681729,-0.2551307648,-0.245327939,0.01377469864,147,-0.02958494842,-0.2413560661,-0.2319094534,0.01341848568,0.9395979322,0.9379017483,0.1311128493,0.02082518478,0.1229709706,63
csi300_etf_proxy,lag1_cost10,matched_constant,confidence_2023_24,2023-05-08,2024-02-05,-0.01827970414,-0.2046285829,-0.1826692684,0.01129277802,187,-0.01717557221,-0.1933358048,-0.1723115293,0.01035773905,0.9395979322,0.9367756613,0.1458853411,0.01766279164,0.1366618369,63
csi300_etf_proxy,lag1_cost10,vol_target_15,bubble_2015_16,2015-06-12,2016-01-28,-0.08203883512,-0.4537088457,-0.4496576178,0.1947478273,156,-0.04229197077,-0.2589610185,-0.2562132916,0.1934443263,0.6383534514,0.5056255436,0.1235521763,0.1757289408,0.06247113628,63
csi300_etf_proxy,lag1_cost10,vol_target_15,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03343212874,-0.3129127265,-0.3124429497,0.03149825371,229,-0.02602674109,-0.2814144728,-0.2809231599,0.03151978976,0.7331463345,0.8131786524,0.3731084903,0.1269915782,0.3034038594,63
csi300_etf_proxy,lag1_cost10,vol_target_15,covid_2020,2020-01-13,2020-03-23,-0.05338189371,-0.1608757535,-0.1517920769,0.02505568545,45,-0.04148470883,-0.135820068,-0.1264651589,0.02532691792,0.8469623138,0.7368859065,0.1809416693,0.06403044977,0.133333366,63
csi300_etf_proxy,lag1_cost10,vol_target_15,property_2021_22,2021-09-13,2022-04-26,-0.03148681729,-0.2551307648,-0.245327939,0.02490109041,147,-0.02456134619,-0.2302296744,-0.2164805855,0.02884735359,0.7959435068,0.677823272,0.1311128493,0.08459276056,0.08887134051,63
csi300_etf_proxy,lag1_cost10,vol_target_15,confidence_2023_24,2023-05-08,2024-02-05,-0.01827970414,-0.2046285829,-0.1826692684,0.005899488776,187,-0.01781310047,-0.1987290941,-0.1779678437,0.004701424641,0.9355427614,0.8081356273,0.1458853411,0.0300721813,0.1178951417,63
shanghai_composite,lag1_cost10,binary_loud_075,bear_2004_05,2004-04-06,2005-07-11,-0.02418648438,-0.4309480036,-0.427393864,0.01112989671,307,-0.02383801942,-0.4198181069,-0.416194453,0.01119941093,0.9722222222,0.8264339764,0.1395038739,0.02676434001,0.1152907412,63
shanghai_composite,lag1_cost10,binary_loud_075,gfc_2007_08,2007-10-16,2008-11-04,-0.05978690901,-0.7198478335,-0.7169687098,0.0550534368,259,-0.05271416816,-0.6647943967,-0.6613494888,0.05561922096,0.9880952381,0.9757612548,0.3272144508,0.01226115249,0.3192831831,63
shanghai_composite,lag1_cost10,binary_loud_075,tightening_2009_10,2009-08-04,2010-07-05,-0.04423992406,-0.3190299392,-0.3172890992,0,223,-0.04423992406,-0.3190299392,-0.3172890992,0,1,1,0.2019752485,0,0.2019752485,63
shanghai_composite,lag1_cost10,binary_loud_075,slowdown_2011_12,2011-04-18,2012-12-03,-0.02469899609,-0.358993781,-0.3575642215,-0.002679723155,400,-0.02344388453,-0.3616735041,-0.3602499209,-0.002685699421,1,1,0.1667739165,0,0.1667739165,63
