concept,unit,start,end,val,accn,form,filed,fy,fp,frame,n_filings,restated,later_values
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2015-12-31,1805931,0001615774-16-008159,10-Q,2016-11-10,2016,Q3,,2,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2016-09-30,1710504,0001615774-16-008159,10-Q,2016-11-10,2016,Q3,CY2016Q3I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2016-12-31,1754207,0001615774-17-001341,10-K,2017-03-30,2016,FY,,5,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2017-03-31,3579920,0001615774-17-002240,10-Q,2017-05-11,2017,Q1,CY2017Q1I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2017-06-30,3228939,0001615774-17-004181,10-Q,2017-08-09,2017,Q2,CY2017Q2I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2017-09-30,8410985,0001615774-17-006346,10-Q,2017-11-08,2017,Q3,CY2017Q3I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2017-12-31,6311824,0001615774-18-001689,10-K,2018-03-08,2017,FY,,5,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2018-03-31,10219925,0001615774-18-003564,10-Q,2018-05-10,2018,Q1,CY2018Q1I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2018-06-30,7532328,0001615774-18-007796,10-Q,2018-08-09,2018,Q2,CY2018Q2I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2018-09-30,14501149,0001615774-18-012306,10-Q,2018-11-08,2018,Q3,CY2018Q3I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2018-12-31,14845211,0001615774-19-004030,10-K,2019-03-14,2018,FY,,6,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2019-03-31,9027059,0001615774-19-007328,10-Q,2019-05-09,2019,Q1,CY2019Q1I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2019-06-30,9113564,0001213900-19-014875,10-Q,2019-08-08,2019,Q2,CY2019Q2I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2019-09-30,10808603,0001213900-19-022270,10-Q,2019-11-07,2019,Q3,CY2019Q3I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2019-12-31,17292647,0001213900-20-006069,10-K,2020-03-12,2019,FY,,6,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2020-03-31,19885182,0001213900-20-011763,10-Q,2020-05-12,2020,Q1,CY2020Q1I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2020-06-30,20149301,0001213900-20-020515,10-Q,2020-08-06,2020,Q2,CY2020Q2I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2020-09-30,18117611,0001213900-20-036371,10-Q,2020-11-12,2020,Q3,CY2020Q3I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2020-12-31,25412753,0001829126-21-001412,10-K,2021-03-11,2020,FY,,5,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2021-03-31,37525390,0001829126-21-003804,10-Q,2021-05-13,2021,Q1,CY2021Q1I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2021-06-30,52992075,0001829126-21-007909,10-Q,2021-08-12,2021,Q2,CY2021Q2I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2021-09-30,91931593,0001829126-21-014180,10-Q,2021-11-12,2021,Q3,CY2021Q3I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2021-12-31,91478612,0000950170-22-003965,10-K,2022-03-16,2021,FY,,6,True,72442000;91479000
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2022-03-31,109307000,0000950170-22-008947,10-Q,2022-05-10,2022,Q1,CY2022Q1I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2022-06-30,102416000,0000950170-22-016034,10-Q,2022-08-09,2022,Q2,CY2022Q2I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2022-09-30,143947000,0000950170-22-023818,10-Q,2022-11-09,2022,Q3,CY2022Q3I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2022-12-31,107340000,0000950170-23-005612,10-K,2023-03-01,2022,FY,,5,True,106147000
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2023-03-31,107112000,0000950170-23-019722,10-Q,2023-05-09,2023,Q1,CY2023Q1I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2023-06-30,94313000,0001341766-23-000013,10-Q,2023-08-08,2023,Q2,CY2023Q2I,1,False,
AccountsPayableAndAccruedLiabilitiesCurrent,USD,,2023-09-30,121088000,0001341766-23-000035,10-Q,2023-11-07,2023,Q3,CY2023Q3I,1,False,
AccountsPayableCurrent,USD,,2015-12-31,1207353,0001615774-16-008159,10-Q,2016-11-10,2016,Q3,,2,False,
AccountsPayableCurrent,USD,,2016-09-30,1054091,0001615774-16-008159,10-Q,2016-11-10,2016,Q3,CY2016Q3I,1,False,
AccountsPayableCurrent,USD,,2016-12-31,858131,0001615774-17-001341,10-K,2017-03-30,2016,FY,,5,False,
AccountsPayableCurrent,USD,,2017-03-31,2493010,0001615774-17-002240,10-Q,2017-05-11,2017,Q1,CY2017Q1I,1,False,
AccountsPayableCurrent,USD,,2017-06-30,2260185,0001615774-17-004181,10-Q,2017-08-09,2017,Q2,CY2017Q2I,1,False,
AccountsPayableCurrent,USD,,2017-09-30,5716824,0001615774-17-006346,10-Q,2017-11-08,2017,Q3,CY2017Q3I,1,False,
AccountsPayableCurrent,USD,,2017-12-31,3003086,0001615774-18-001689,10-K,2018-03-08,2017,FY,,5,False,
AccountsPayableCurrent,USD,,2018-03-31,4817219,0001615774-18-003564,10-Q,2018-05-10,2018,Q1,CY2018Q1I,1,False,
AccountsPayableCurrent,USD,,2018-06-30,3271683,0001615774-18-007796,10-Q,2018-08-09,2018,Q2,CY2018Q2I,1,False,
AccountsPayableCurrent,USD,,2018-09-30,5106023,0001615774-18-012306,10-Q,2018-11-08,2018,Q3,CY2018Q3I,1,False,
AccountsPayableCurrent,USD,,2018-12-31,5825446,0001615774-19-004030,10-K,2019-03-14,2018,FY,,6,False,
AccountsPayableCurrent,USD,,2019-03-31,5749943,0001615774-19-007328,10-Q,2019-05-09,2019,Q1,CY2019Q1I,1,False,
AccountsPayableCurrent,USD,,2019-06-30,4263314,0001213900-19-014875,10-Q,2019-08-08,2019,Q2,CY2019Q2I,1,False,
AccountsPayableCurrent,USD,,2019-09-30,5119452,0001213900-19-022270,10-Q,2019-11-07,2019,Q3,CY2019Q3I,1,False,
AccountsPayableCurrent,USD,,2019-12-31,10159900,0001213900-20-006069,10-K,2020-03-12,2019,FY,,5,False,
AccountsPayableCurrent,USD,,2020-03-31,11169316,0001213900-20-011763,10-Q,2020-05-12,2020,Q1,CY2020Q1I,1,False,
AccountsPayableCurrent,USD,,2020-06-30,8792735,0001213900-20-020515,10-Q,2020-08-06,2020,Q2,CY2020Q2I,1,False,
AccountsPayableCurrent,USD,,2020-12-31,11854421,0001829126-21-001412,10-K,2021-03-11,2020,FY,,5,False,
AccountsPayableCurrent,USD,,2021-03-31,18519644,0001829126-21-003804,10-Q,2021-05-13,2021,Q1,CY2021Q1I,1,False,
AccountsPayableCurrent,USD,,2021-06-30,19509533,0001829126-21-007909,10-Q,2021-08-12,2021,Q2,CY2021Q2I,1,False,
AccountsPayableCurrent,USD,,2021-09-30,41097808,0001829126-21-014180,10-Q,2021-11-12,2021,Q3,CY2021Q3I,1,False,
