cohort,segment,feature,label,n_sessions,winner_mean_percentile,winner_percentile_ci_low,winner_percentile_ci_high,winner_top_quartile_rate,top_quartile_null_rate,top_quartile_enrichment,top1_exact,top1_exact_ci_low,top1_exact_ci_high,top1_economic_tie,top3_recall,mean_cross_sectional_rank_corr,permutation_p_one_sided,bh_q
price,full,prior_resid_1d,Prior-session beta-adjusted RS,209,0.50655294,0.45953320,0.55248069,0.28229665,0.26086957,1.08213716,0.08612440,0.05261911,0.12019231,0.10047847,0.18181818,0.00316300,0.78760620,0.82058971
price,full,prior_resid_5d,Prior 5-session beta-adjusted RS,209,0.58456418,0.53684644,0.63292108,0.34449761,0.26086957,1.32057416,0.10047847,0.05713916,0.14904961,0.11004785,0.22488038,0.01433988,0.00199900,0.00679660
price,full,prior_resid_20d,Prior 20-session beta-adjusted RS,209,0.56022467,0.51599535,0.60279020,0.33014354,0.26086957,1.26555024,0.09090909,0.05444874,0.13300493,0.11961722,0.21531100,-0.00890746,0.02248876,0.04778861
price,full,rs_accel_5v20,5-vs-20-session RS acceleration,209,0.56376118,0.51748502,0.61220513,0.35406699,0.26086957,1.35725678,0.07655502,0.04347826,0.11214953,0.09090909,0.21531100,0.00836375,0.02148926,0.04778861
price,full,prior_close_location,Prior-day close location,209,0.51341793,0.47256145,0.55248382,0.24880383,0.26086957,0.95374801,0.07177033,0.03619502,0.11225568,0.07655502,0.16267943,-0.00165951,0.65717141,0.74479427
price,full,pm_resid,Premarket beta-adjusted return,194,0.56633797,0.52479156,0.61046289,0.35051546,0.26086957,1.34364261,0.09278351,0.05524862,0.13398989,0.10309278,0.24742268,-0.01107331,0.01399300,0.03964684
price,full,pm_rvol20,Premarket volume / prior-20 median,111,0.56913435,0.50463768,0.63098854,0.36936937,0.26086957,1.41591592,0.11711712,0.05555556,0.18584071,0.12612613,0.27027027,-0.01750169,0.04197901,0.07136432
price,full,pm_range_pct,Premarket range / prior close,194,0.65172568,0.61169903,0.68665679,0.41752577,0.26086957,1.60051546,0.09278351,0.05235602,0.13917526,0.09793814,0.21134021,-0.00023417,0.00049975,0.00283192
price,full,gap_resid,Opening gap beta-adjusted versus QQQ,209,0.55731225,0.51826737,0.59484066,0.33492823,0.26086957,1.28389155,0.08133971,0.04455446,0.11848936,0.09090909,0.22966507,-0.01181988,0.03248376,0.06135821
price,full,first15_return,First-15-minute raw return,209,0.54171001,0.50042154,0.58216211,0.35406699,0.26086957,1.35725678,0.10047847,0.05962622,0.14564326,0.10047847,0.23444976,-0.00953434,0.14692654,0.20814593
price,full,first15_resid,First-15-minute beta-adjusted RS,209,0.54628667,0.50271103,0.59064895,0.35406699,0.26086957,1.35725678,0.11004785,0.06730769,0.15764195,0.11483254,0.21531100,-0.00784367,0.11894053,0.18381718
price,full,rvol15,First-15-minute time-of-day RVOL,209,0.62117745,0.57295116,0.66618603,0.43062201,0.26086957,1.65071770,0.12440191,0.08094279,0.16964490,0.13397129,0.24880383,-0.00938972,0.00049975,0.00283192
price,full,opening_dollar_share,Share of universe opening dollar volume,209,0.58477221,0.54347323,0.62862427,0.35885167,0.26086957,1.37559809,0.05741627,0.02712504,0.09268293,0.06220096,0.22966507,0.00640638,0.00099950,0.00424788
price,full,vwap_distance15,09:40 close distance above session VWAP,209,0.50364052,0.46082539,0.54399455,0.30143541,0.26086957,1.15550239,0.08612440,0.05365202,0.12206573,0.09090909,0.20095694,-0.01034476,0.82058971,0.82058971
price,full,opening_close_location,Opening-range close location,209,0.51799459,0.47847390,0.55871141,0.27272727,0.26086957,1.04545455,0.03827751,0.01463415,0.06250000,0.04784689,0.15789474,-0.00243644,0.57321339,0.69604483
price,full,first15_efficiency,First-15-minute trend efficiency,209,0.52600374,0.48757691,0.56877828,0.28229665,0.26086957,1.08213716,0.04306220,0.01886792,0.07043084,0.04306220,0.13397129,-0.01336557,0.39330335,0.51431976
price,full,range_expansion15,First-15-minute range expansion,209,0.61077595,0.57459243,0.64692505,0.36842105,0.26086957,1.41228070,0.11483254,0.07803931,0.15384615,0.12918660,0.20574163,-0.00748435,0.00049975,0.00283192
price,development,prior_resid_1d,Prior-session beta-adjusted RS,125,0.51895652,0.46914402,0.56665690,0.28800000,0.26086957,1.10400000,0.10400000,0.06250000,0.15037594,0.11200000,0.20800000,-0.00824506,0.55072464,0.64227886
price,development,prior_resid_5d,Prior 5-session beta-adjusted RS,125,0.55026087,0.49007690,0.61371483,0.31200000,0.26086957,1.19600000,0.08000000,0.02520483,0.14529915,0.08800000,0.17600000,-0.03095652,0.12893553,0.27398801
price,development,prior_resid_20d,Prior 20-session beta-adjusted RS,125,0.52800000,0.46779395,0.58802797,0.28000000,0.26086957,1.07333333,0.09600000,0.04464286,0.15254237,0.11200000,0.18400000,-0.05335178,0.42178911,0.55157037
price,development,rs_accel_5v20,5-vs-20-session RS acceleration,125,0.55165217,0.49551401,0.60968398,0.34400000,0.26086957,1.31866667,0.04800000,0.01626016,0.08398291,0.07200000,0.18400000,-0.00838735,0.11794103,0.27398801
price,development,prior_close_location,Prior-day close location,125,0.50608696,0.45706107,0.55221132,0.24800000,0.26086957,0.95066667,0.07200000,0.02343750,0.12698413,0.08000000,0.18400000,-0.01474308,0.74112944,0.78745002
price,development,pm_resid,Premarket beta-adjusted return,110,0.54980237,0.49398130,0.60688431,0.33636364,0.26086957,1.28939394,0.09090909,0.03999010,0.14529915,0.10000000,0.23636364,-0.02110133,0.16341829,0.30867899
price,development,pm_rvol20,Premarket volume / prior-20 median,27,0.53462158,0.39695011,0.67485822,0.33333333,0.26086957,1.27777778,0.11111111,0.03030303,0.22727273,0.11111111,0.25925926,-0.02302006,0.40329835,0.55157037
price,development,pm_range_pct,Premarket range / prior close,110,0.67075099,0.63674536,0.70575093,0.43636364,0.26086957,1.67272727,0.09090909,0.03808625,0.15094340,0.10000000,0.20000000,-0.00712338,0.00049975,0.00283192
price,development,gap_resid,Opening gap beta-adjusted versus QQQ,125,0.53217391,0.48241369,0.57862300,0.31200000,0.26086957,1.19600000,0.07200000,0.02608696,0.11812044,0.08000000,0.22400000,-0.02558103,0.33683158,0.55067921
price,development,first15_return,First-15-minute raw return,125,0.55165217,0.50237388,0.59986214,0.36000000,0.26086957,1.38000000,0.08000000,0.03968254,0.12500000,0.08000000,0.24000000,-0.00590189,0.12693653,0.27398801
price,development,first15_resid,First-15-minute beta-adjusted RS,125,0.55756522,0.50700629,0.61180852,0.36000000,0.26086957,1.38000000,0.08800000,0.04098361,0.14394091,0.09600000,0.20800000,-0.00055336,0.08945527,0.27398801
