excluded,n_tickers,exact_hit_called,economic_tie_hit_called,mean_selected_resid,mean_oracle_regret
NONE,23,0.11004785,0.11483254,0.00147779,0.03218023
AAPL,22,0.11004785,0.11483254,0.00152623,0.03199832
MSFT,22,0.11004785,0.11483254,0.00147779,0.03218023
NVDA,22,0.11483254,0.11961722,0.00156742,0.03198904
AMZN,22,0.11961722,0.12440191,0.00155922,0.03190097
META,22,0.11004785,0.11483254,0.00156140,0.03179477
GOOGL,22,0.11004785,0.11483254,0.00094826,0.03261304
TSLA,22,0.10526316,0.11483254,0.00032790,0.03252015
AVGO,22,0.11483254,0.11961722,0.00122367,0.03230488
AMD,22,0.10526316,0.11004785,0.00152740,0.03101629
MU,22,0.10047847,0.11004785,0.00101795,0.03143187
QCOM,22,0.10047847,0.11004785,0.00106235,0.03152096
AMAT,22,0.11004785,0.11961722,0.00136120,0.03213609
LRCX,22,0.10526316,0.11004785,0.00162166,0.03167869
KLAC,22,0.10047847,0.10526316,0.00112130,0.03244945
MRVL,22,0.11961722,0.13397129,0.00145158,0.03095043
ORCL,22,0.11483254,0.11961722,0.00142113,0.03139705
CRM,22,0.10526316,0.11004785,0.00120979,0.03232066
ADBE,22,0.11004785,0.11961722,0.00159242,0.03192612
PLTR,22,0.12440191,0.12918660,0.00190801,0.03125243
NOW,22,0.10526316,0.11483254,0.00125414,0.03180491
PANW,22,0.11483254,0.11961722,0.00132584,0.03172889
ANET,22,0.11004785,0.11483254,0.00243288,0.03052759
IBM,22,0.11961722,0.12440191,0.00151879,0.03155941
