cohort,segment,selector,n_sessions,n_called,coverage,exact_hit_called,exact_hit_all,exact_ci_low,exact_ci_high,economic_tie_hit_called,tie_ci_low,tie_ci_high,top3_recall_called,clear_sessions_called,clear_exact_hit_called,mean_selected_resid,selected_resid_ci_low,selected_resid_ci_high,median_selected_resid,mean_selected_raw_net10bp,positive_resid_rate,mean_oracle_regret,mean_mae,mean_mfe,mean_vwap_hold,mean_trend_efficiency,mean_rescue_fraction,forgiving_rate
price,full,ALWAYS_NVDA,209,209,1.00000000,0.03349282,0.03349282,0.00947867,0.06220096,0.04306220,0.01790315,0.07247256,0.03349282,143,0.01398601,-0.00056201,-0.00214081,0.00101779,0.00007425,-0.00165863,0.50239234,0.03422003,-0.01396976,0.01225887,0.50143541,-0.00090094,0.86786897,0.13397129
price,full,DEV_MODAL_WINNER,209,209,1.00000000,0.11004785,0.11004785,0.06634289,0.15736728,0.11961722,0.07034530,0.17307692,0.11004785,143,0.11188811,0.00098611,-0.00191696,0.00403617,0.00125263,-0.00018021,0.51196172,0.03267191,-0.02484609,0.02293117,0.53065391,0.01236734,0.88894001,0.24401914
price,full,PRIOR_DAY_WINNER,209,209,1.00000000,0.08612440,0.08612440,0.05444874,0.12135922,0.10047847,0.06665929,0.13526570,0.18181818,143,0.11888112,0.00003704,-0.00305176,0.00315811,-0.00062067,-0.00138317,0.48803828,0.03362098,-0.02091919,0.02016820,0.49779904,0.00042059,0.87403386,0.23923445
price,full,PRIOR_RS5,209,209,1.00000000,0.10047847,0.10047847,0.05851548,0.14814815,0.11004785,0.06403156,0.15920398,0.22488038,143,0.12587413,0.00230755,-0.00123957,0.00607863,0.00078767,0.00054524,0.52153110,0.03135047,-0.02077517,0.02218835,0.49779904,0.00788059,0.87440191,0.23923445
price,full,PREMARKET_RS,209,209,1.00000000,0.08612440,0.08612440,0.05153680,0.12255133,0.09569378,0.05612126,0.13333333,0.23444976,143,0.09090909,-0.00204867,-0.00467263,0.00070285,-0.00148250,-0.00395004,0.45933014,0.03570669,-0.02252976,0.01834404,0.47419458,-0.01757527,0.87403386,0.21052632
price,full,GAP_RS,209,209,1.00000000,0.08133971,0.08133971,0.04522048,0.12183051,0.09090909,0.05499316,0.12785659,0.22966507,143,0.08391608,-0.00214988,-0.00484444,0.00063177,-0.00075950,-0.00384323,0.46411483,0.03580789,-0.02260050,0.01847556,0.47228070,-0.01713717,0.87154950,0.21052632
price,full,FIRST15_RAW,209,209,1.00000000,0.10047847,0.10047847,0.06248512,0.14354190,0.10047847,0.06161137,0.14423077,0.23444976,143,0.09790210,0.00133122,-0.00167093,0.00432538,-0.00050014,0.00010246,0.47846890,0.03232679,-0.01957371,0.01888053,0.57665072,0.00326552,0.88148693,0.24401914
price,full,FIRST15_BETA_RS,209,209,1.00000000,0.11004785,0.11004785,0.06421285,0.15790776,0.11483254,0.07141173,0.16746470,0.21531100,143,0.11188811,0.00147779,-0.00170280,0.00460897,-0.00050014,0.00022446,0.47846890,0.03218023,-0.01985089,0.01947790,0.58583732,0.00591734,0.88332720,0.25837321
price,full,FIRST15_RVOL,209,209,1.00000000,0.12440191,0.12440191,0.08080582,0.16924528,0.13397129,0.08796296,0.18181818,0.24880383,143,0.16083916,0.00044462,-0.00255237,0.00339880,-0.00031749,-0.00055270,0.48803828,0.03321340,-0.01970978,0.02088141,0.51496013,-0.00077881,0.87154950,0.26794258
price,full,OPENING_DOLLAR_SHARE,209,209,1.00000000,0.05741627,0.05741627,0.02803738,0.09091947,0.06220096,0.03178803,0.09950249,0.22966507,143,0.03496503,-0.00005456,-0.00160581,0.00152366,-0.00041748,-0.00117290,0.47368421,0.03371258,-0.01950513,0.01773822,0.50743222,-0.00101017,0.87697828,0.19138756
