date,winner,raw_winner,after_return,after_resid,runner_up_resid,leader_margin,clear_leader,forgiving,mae,mfe,vwap_hold,trend_efficiency,rescue_fraction,first15_resid,rvol15,first15_rs_pick,pv_confirm_pick
2025-07-31,LRCX,LRCX,0.03109034,0.05083200,0.02977287,0.02105913,True,True,-0.00358735,0.03956952,1.00000000,0.18578426,0.86538462,0.01756146,7.50986034,LRCX,LRCX
2025-08-01,LRCX,LRCX,0.03637831,0.03944828,0.02296634,0.01648194,True,True,-0.00505703,0.04002582,0.92000000,0.30053868,0.94230769,0.01629185,2.59955540,KLAC,KLAC
2025-08-04,KLAC,NVDA,0.01757661,0.01165819,0.01069792,0.00096027,False,True,-0.00109993,0.01968758,1.00000000,0.25198305,1.00000000,-0.00118774,0.67097029,GOOGL,GOOGL
2025-08-05,TSLA,AAPL,-0.00027594,0.01746077,0.00948982,0.00797095,False,False,-0.01018638,0.01193366,0.48000000,-0.00260345,0.96153846,-0.00107858,0.61841656,PLTR,PLTR
2025-08-06,AMZN,AMZN,0.03631025,0.02539201,0.01502856,0.01036345,True,True,-0.00372471,0.03780181,0.96000000,0.46947508,1.00000000,-0.00243194,0.72788988,AAPL,AAPL
2025-08-07,AMD,AMD,0.02126651,0.02807957,0.01817889,0.00990068,True,False,-0.00266572,0.04111131,0.65333333,0.13019511,0.88461538,0.01154981,1.54127920,AMZN,AMZN
2025-08-12,QCOM,LRCX,0.02739909,0.02005204,0.01930212,0.00074992,False,True,0.00000000,0.02846832,1.00000000,0.44142030,1.00000000,0.00530716,0.53788889,META,META
2025-08-14,MU,MU,0.01804291,0.01810413,0.01217477,0.00592937,True,True,-0.00438882,0.02194408,0.98666667,0.17714933,1.00000000,-0.00445156,0.74735549,AMD,AMD
2025-08-15,NOW,PANW,0.01107005,0.01338016,0.01324688,0.00013329,False,True,-0.00882572,0.01191531,0.90666667,0.15236368,0.98076923,0.00962834,1.32769931,AMAT,AMAT
2025-08-18,NOW,NOW,0.02261779,0.02176688,0.01420180,0.00756508,True,True,-0.00129605,0.02335184,1.00000000,0.37947889,1.00000000,0.00628063,1.48515571,MU,MU
2025-08-19,LRCX,LRCX,0.01215637,0.02513981,0.00920209,0.01593772,True,True,-0.00116015,0.01518285,0.85333333,0.13300514,0.90384615,0.00811844,1.21934700,ANET,CRM
2025-08-20,PLTR,PLTR,0.02759189,0.02740701,0.01521101,0.01219601,True,False,-0.06244237,0.03056251,0.76000000,0.10438419,1.00000000,0.00604571,2.98050442,PANW,PANW
2025-08-22,TSLA,TSLA,0.04689651,0.02861592,0.01673812,0.01187780,True,True,-0.00633600,0.04763547,1.00000000,0.39694867,1.00000000,0.00538653,0.80813435,ANET,ANET
2025-08-25,PLTR,PLTR,0.04332813,0.04213247,0.02510042,0.01703205,True,True,-0.00813440,0.05308941,0.97333333,0.28046904,1.00000000,-0.03382501,1.80897327,LRCX,LRCX
2025-08-28,NOW,NOW,0.03478586,0.03240225,0.01041044,0.02199181,True,True,-0.00587475,0.04316322,0.97333333,0.35856688,1.00000000,0.00530256,0.76972064,ANET,ANET
2025-08-29,ANET,ANET,0.00726482,0.02082381,0.01032293,0.01050088,True,False,-0.00814987,0.00792861,0.57333333,0.07173653,1.00000000,0.00537279,0.84176630,QCOM,QCOM
2025-09-02,MU,MRVL,0.03259259,0.02530002,0.02272199,0.00257803,False,True,-0.00165142,0.03315904,1.00000000,0.29455777,1.00000000,-0.01211048,1.15901293,PLTR,PLTR
2025-09-03,AAPL,AAPL,0.01701493,0.01482674,0.01237200,0.00245474,False,True,-0.00059701,0.01855011,0.82666667,0.23565683,1.00000000,-0.01044807,2.25372320,ANET,ANET
2025-09-04,MU,MU,0.04519061,0.03472773,0.02849663,0.00623110,True,True,-0.00193554,0.04695784,0.82666667,0.42309450,1.00000000,-0.00076964,0.75528325,AMZN,AMZN
2025-09-08,ADBE,ADBE,0.03676726,0.03757808,0.03439494,0.00318314,False,True,-0.00277489,0.03717193,0.98666667,0.40453126,1.00000000,-0.00939919,1.71726524,AVGO,AVGO
2025-09-11,TSLA,TSLA,0.05677946,0.05087724,0.02152134,0.02935590,True,True,-0.00192017,0.05733823,0.98666667,0.41186570,1.00000000,0.00025315,0.79536021,MU,MU
2025-09-12,TSLA,TSLA,0.04717580,0.04158196,0.03134179,0.01024017,True,True,-0.00126930,0.04900016,1.00000000,0.26886987,1.00000000,0.02023411,2.23065850,TSLA,TSLA
2025-09-17,TSLA,TSLA,0.03090861,0.03099695,0.02318798,0.00780898,True,True,-0.00256764,0.03750236,0.89333333,0.14825142,1.00000000,-0.00350460,1.40309951,MRVL,MRVL
2025-09-18,AMD,AMD,0.04074098,0.03602671,0.02170837,0.01431833,True,True,-0.00428440,0.04667348,1.00000000,0.30243711,1.00000000,0.00831126,2.49037932,MU,MU
2025-09-22,ORCL,ORCL,0.05421725,0.04592480,0.03594335,0.00998145,True,True,-0.01223743,0.05832852,0.93333333,0.28518138,1.00000000,0.00366666,1.55911210,AMD,AMD
2025-09-23,MRVL,MRVL,0.00282182,0.01570983,0.00766048,0.00804936,False,False,-0.00537490,0.02593389,0.54666667,0.02075960,0.69230769,-0.00797698,0.71690964,LRCX,LRCX
2025-09-24,MRVL,MRVL,0.02588085,0.03541863,0.02846701,0.00695162,True,False,-0.03818065,0.04702114,0.56000000,0.09877751,1.00000000,0.01868962,1.62389185,MRVL,MRVL
2025-09-30,NVDA,NVDA,0.01889471,0.01257270,0.00940429,0.00316841,False,True,-0.00524246,0.02309961,0.96000000,0.16236966,0.92307692,0.00716292,0.75513672,MU,MU
2025-10-03,GOOGL,GOOGL,0.01270784,0.01956740,0.01319095,0.00637645,True,True,-0.00255807,0.01621488,0.85333333,0.15207473,0.90384615,-0.00865064,1.02046877,IBM,IBM
2025-10-06,CRM,CRM,0.03630154,0.03539300,0.03282304,0.00256997,False,True,-0.00746269,0.05603339,0.84000000,0.29134492,0.98076923,-0.00785696,1.23910242,MU,MU
2025-10-08,AMD,AMD,0.08554300,0.07184595,0.02158286,0.05026309,True,True,-0.00198294,0.08771040,1.00000000,0.38885791,1.00000000,0.01512241,2.04545750,AVGO,AVGO
2025-10-09,ORCL,ORCL,0.03379037,0.03251964,0.02386762,0.00865203,True,True,-0.00034800,0.04736219,1.00000000,0.19134664,0.94230769,-0.01139927,0.56233240,MU,
2025-10-10,ANET,MSFT,-0.04581476,0.04483869,0.03664580,0.00819289,False,False,-0.04816741,0.00575780,0.17333333,-0.22352174,0.65384615,0.00582920,1.34851376,GOOGL,GOOGL
2025-10-15,AMD,AMD,0.06214111,0.06345856,0.03167960,0.03177896,True,True,-0.00084576,0.06494547,0.92000000,0.24239141,1.00000000,0.01340904,1.03728982,ANET,ANET
2025-10-16,MU,MU,0.02174461,0.04461914,0.03020483,0.01441431,True,False,-0.01518591,0.04101710,0.68000000,0.09281032,0.86538462,-0.01271487,1.76971574,GOOGL,GOOGL
2025-10-20,CRM,CRM,0.02388048,0.02141664,0.01699744,0.00441921,True,True,-0.00487274,0.02851160,1.00000000,0.30068554,0.90384615,0.01226122,0.80107808,CRM,CRM
2025-10-22,QCOM,QCOM,0.01444238,0.02545637,0.01304181,0.01241456,True,False,-0.00509379,0.01743872,0.64000000,0.11157717,0.96153846,-0.00353415,0.58860466,MRVL,MRVL
2025-10-24,IBM,IBM,0.04997780,0.04993727,0.02209221,0.02784506,True,True,-0.00334779,0.06155843,1.00000000,0.28139594,0.96153846,0.02935892,4.71187597,IBM,IBM
2025-10-29,AVGO,AVGO,0.02626053,0.02611801,0.02317228,0.00294573,False,False,-0.00457167,0.02724397,0.66666667,0.20219715,1.00000000,0.00735789,1.30727019,ANET,ANET
2025-10-30,NOW,NOW,0.01440184,0.01761039,0.01388488,0.00372551,True,True,0.00000000,0.04712343,0.89333333,0.06679620,0.88461538,-0.00072789,6.12925541,KLAC,KLAC
2025-10-31,CRM,CRM,0.02869443,0.03109075,0.02807200,0.00301875,False,True,-0.00053321,0.03410550,0.98666667,0.35338353,1.00000000,-0.00470886,0.62446585,MRVL,MRVL
2025-11-03,PLTR,PLTR,0.01402805,0.01762091,0.01658329,0.00103762,False,False,-0.01378030,0.01407349,0.64000000,0.11003362,1.00000000,0.00287960,1.37513103,TSLA,TSLA
2025-11-04,PLTR,MSFT,0.00521686,0.01889503,0.01114934,0.00774569,True,False,-0.01343926,0.03135651,0.56000000,0.02072147,0.76923077,-0.01384836,4.27170074,MRVL,MRVL
2025-11-05,TSLA,TSLA,0.03890389,0.02154975,0.02061902,0.00093073,False,True,-0.00950712,0.04807344,0.82666667,0.24994260,1.00000000,-0.01445277,1.03391526,AMAT,AMAT
2025-11-06,IBM,IBM,0.02323297,0.03165913,0.02570343,0.00595570,True,True,-0.01406421,0.03292565,0.86666667,0.22284411,1.00000000,-0.00296118,0.56681483,MU,MU
2025-11-07,NVDA,PLTR,0.02756400,0.01554951,0.01468572,0.00086379,False,False,-0.02347033,0.02789149,0.58666667,0.16427679,1.00000000,-0.00093496,1.52451721,MU,MU
2025-11-10,NVDA,PLTR,0.02134757,0.01614200,0.01590444,0.00023756,False,True,-0.00554216,0.02601734,0.78666667,0.20602015,1.00000000,-0.00675651,1.23409382,MU,MU
2025-11-11,AAPL,AAPL,0.00790774,0.00695539,0.00642231,0.00053308,False,True,-0.00501556,0.01010434,0.81333333,0.12637195,1.00000000,0.01229702,0.87439542,IBM,IBM
2025-11-12,AMD,AMD,0.01921184,0.02138373,0.00834232,0.01304141,True,False,-0.01499941,0.03740010,0.42666667,0.07967633,0.92307692,0.01663782,2.63896979,AMD,CRM
2025-11-13,MRVL,MRVL,0.03131622,0.04619137,0.01285194,0.03333943,True,False,-0.00023546,0.04132329,0.62666667,0.14520760,0.92307692,-0.01635846,1.39381957,QCOM,AAPL
2025-11-14,ORCL,AMAT,0.04881608,0.03617740,0.03090258,0.00527482,True,True,-0.00061197,0.06882267,1.00000000,0.20972713,0.94230769,0.00206027,2.61420555,AMAT,AMAT
2025-11-17,TSLA,AMZN,-0.00009757,0.02389195,0.01873841,0.00515354,False,False,-0.01012324,0.03670401,0.49333333,-0.00053182,0.69230769,0.01132572,0.90608751,MU,MU
2025-11-18,ORCL,ORCL,0.01728509,0.02061531,0.01531044,0.00530487,True,True,-0.01129292,0.03111316,0.72000000,0.09704165,0.96153846,0.00600443,0.78571206,MRVL,MRVL
2025-11-19,AVGO,AVGO,0.02721394,0.02851923,0.01791404,0.01060518,True,False,-0.00060891,0.04245854,0.38666667,0.14764760,0.86538462,0.00523730,0.81744001,GOOGL,GOOGL
2025-11-20,TSLA,IBM,-0.06518704,0.02482240,0.02059754,0.00422486,False,False,-0.06599153,0.01493032,0.18666667,-0.28959579,0.61538462,0.01924645,1.18365021,TSLA,TSLA
2025-11-21,LRCX,LRCX,0.04363104,0.03206257,0.02870323,0.00335934,False,True,-0.00805271,0.05717423,0.85333333,0.18340719,1.00000000,-0.02179644,1.17660490,AAPL,AAPL
