cohort,ticker,wins,win_share,clear_wins,forgiving_wins,mean_winner_resid,mean_winner_mae,mean_winner_vwap_hold,mean_winner_rescue
price,AAPL,6,0.02870813,3,6,0.01788105,-0.00211241,0.91111111,0.95833333
price,ADBE,5,0.02392344,4,4,0.02439068,-0.00232017,0.86666667,0.91923077
price,AMAT,4,0.01913876,1,2,0.03566537,-0.01746480,0.70000000,0.93269231
price,AMD,18,0.08612440,12,12,0.03357959,-0.01172587,0.78148148,0.94337607
price,AMZN,7,0.03349282,2,5,0.02117988,-0.00452974,0.89523810,0.98351648
price,ANET,14,0.06698565,11,9,0.03204428,-0.00841487,0.75142857,0.95192308
price,AVGO,5,0.02392344,3,2,0.02403074,-0.00723662,0.73333333,0.95000000
price,CRM,7,0.03349282,3,6,0.03430690,-0.00458599,0.87619048,0.96428571
price,GOOGL,4,0.01913876,2,3,0.02110163,-0.00702719,0.71666667,0.89903846
price,IBM,6,0.02870813,6,6,0.04934380,-0.00602191,0.93555556,0.99358974
price,KLAC,5,0.02392344,3,5,0.03071131,-0.00824990,0.98400000,0.97307692
price,LRCX,9,0.04306220,6,7,0.03654620,-0.00604043,0.76888889,0.94444444
price,META,3,0.01435407,2,1,0.04427980,-0.00645162,0.77777778,1.00000000
price,MRVL,14,0.06698565,12,9,0.04021319,-0.01578665,0.82095238,0.95741758
price,MSFT,0,0.00000000,0,0,,,,
price,MU,23,0.11004785,16,19,0.03426002,-0.00999466,0.88869565,0.94565217
price,NOW,13,0.06220096,11,13,0.03095312,-0.00453407,0.93333333,0.94082840
price,NVDA,7,0.03349282,2,6,0.02109922,-0.00873949,0.84761905,0.97252747
price,ORCL,16,0.07655502,13,14,0.03608874,-0.00713646,0.90250000,0.98437500
price,PANW,8,0.03827751,8,8,0.04263315,-0.00383309,0.93333333,0.98076923
price,PLTR,10,0.04784689,8,5,0.03121417,-0.01506575,0.75466667,0.95384615
price,QCOM,9,0.04306220,6,7,0.04914888,-0.00568931,0.89481481,0.92521368
price,TSLA,16,0.07655502,9,12,0.03320079,-0.01106425,0.79750000,0.93870192
options_magnitude,AAPL,2,0.01886792,2,2,0.02542428,-0.00265507,0.99333333,0.93269231
options_magnitude,ADBE,2,0.01886792,2,2,0.02498250,-0.00305430,0.92000000,0.94230769
options_magnitude,AMAT,2,0.01886792,1,1,0.05149549,-0.02739376,0.51333333,1.00000000
options_magnitude,AMD,11,0.10377358,5,8,0.02956455,-0.01667883,0.77090909,0.93531469
options_magnitude,AMZN,4,0.03773585,1,3,0.02514029,-0.00586166,0.96000000,0.97115385
options_magnitude,ANET,8,0.07547170,6,5,0.03436579,-0.00516725,0.76333333,0.98557692
options_magnitude,AVGO,2,0.01886792,1,1,0.02046093,-0.01526813,0.81333333,0.94230769
options_magnitude,CRM,4,0.03773585,2,3,0.03806198,-0.00480832,0.82666667,0.96634615
options_magnitude,GOOGL,3,0.02830189,1,2,0.02161304,-0.00851690,0.67111111,0.89743590
options_magnitude,IBM,3,0.02830189,3,3,0.06030552,-0.00460322,0.96000000,1.00000000
options_magnitude,KLAC,3,0.02830189,2,3,0.03809929,-0.01320292,0.97333333,0.95512821
options_magnitude,LRCX,4,0.03773585,3,2,0.03859977,-0.00803878,0.64666667,0.96634615
options_magnitude,META,1,0.00943396,1,0,0.03680025,-0.00297858,0.64000000,1.00000000
options_magnitude,MRVL,9,0.08490566,8,8,0.04614631,-0.01725550,0.90814815,0.97649573
options_magnitude,MSFT,0,0.00000000,0,0,,,,
options_magnitude,MU,10,0.09433962,8,8,0.03749375,-0.01262877,0.88000000,0.93653846
options_magnitude,NOW,7,0.06603774,7,7,0.04101762,-0.00559013,0.93523810,0.94505495
options_magnitude,NVDA,2,0.01886792,1,2,0.02976733,-0.00946942,0.82666667,0.94230769
options_magnitude,ORCL,6,0.05660377,3,4,0.04163798,-0.01078577,0.86888889,1.00000000
options_magnitude,PANW,7,0.06603774,7,7,0.04498043,-0.00422209,0.92380952,0.98901099
options_magnitude,PLTR,5,0.04716981,4,4,0.03353730,-0.00696806,0.85066667,0.97307692
options_magnitude,QCOM,6,0.05660377,5,5,0.06247238,-0.00655294,0.91111111,0.89423077
options_magnitude,TSLA,5,0.04716981,4,5,0.04152723,-0.00426846,0.95733333,0.99615385
