cell,n_episodes,n_names,excess_net_mean,ci_low,ci_high,p_boot,t_cluster,n_months,eff_names,floors_met,false_start_rate,false_start_n,mfe_median,mae_median,fwd_ret_net_median,cost_bps_median,censored_n,uninformative_no_control_n
primary_table_C1,1,1,,,,,,,,,1.0,1,0.019054290718038436,-0.11614711033274949,-0.07644658493870404,5.0,0,1
fit_table_C1,1099,16,-0.01783236502990777,-0.036541168956010964,-0.002715393491130442,0.007992007992007992,-1.9805865833242626,111.0,11.865293626495966,True,0.7261146496815286,1099,0.03250478011472291,-0.024709302325581328,0.007450406675821309,5.0,0,515
primary_table_C2A,6,1,,,,,,,,,1.0,6,0.04256004238698563,-0.09575994673839289,-0.044784166089256616,5.0,0,6
fit_table_C2A,6440,16,-0.016513506531685578,-0.032724659311781396,-0.0034467765711200544,0.00999000999000999,-2.5075932927973685,111.0,11.905643510833313,True,0.6740683229813664,6440,0.032226271393008044,-0.025330214439673926,0.00675122957545471,5.0,0,3001
cohort_gap_catalyst_C1,1,1,,,,,,,,,1.0,1,0.019054290718038436,-0.11614711033274949,-0.07644658493870404,5.0,0,1
regime_quiet_C1,1,1,,,,,,,,,1.0,1,0.019054290718038436,-0.11614711033274949,-0.07644658493870404,5.0,0,1
cohort_gap_catalyst_C2A,6,1,,,,,,,,,1.0,6,0.04256004238698563,-0.09575994673839289,-0.044784166089256616,5.0,0,6
regime_quiet_C2A,6,1,,,,,,,,,1.0,6,0.04256004238698563,-0.09575994673839289,-0.044784166089256616,5.0,0,6
c2variant_b,1,1,,,,,,,,,1.0,1,0.03981415296640467,-0.09814152966404566,-0.0444596140100072,5.0,0,1
c2variant_c,1,1,,,,,,,,,1.0,1,0.03910853959069982,-0.09875352691167527,-0.045108718168506035,5.0,0,1
c2variant_d,1,1,,,,,,,,,1.0,1,0.04926428159261387,-0.08994518176572419,-0.04903808424697065,5.0,0,1
c2variant_e,1,1,,,,,,,,,1.0,1,0.04530593180756659,-0.09337836381274012,-0.0526293608306686,5.0,0,1
c2variant_f,1,1,,,,,,,,,1.0,1,0.05811754437009031,-0.08226651149258069,-0.0410058190282222,5.0,0,1
c32_q2_without_gapcat,6,1,,,,,,,,,1.0,6,0.04256004238698563,-0.09575994673839289,-0.044784166089256616,5.0,0,6
