cell,n_episodes,n_names,excess_net_mean,ci_low,ci_high,p_boot,t_cluster,n_months,eff_names,floors_met,false_start_rate,false_start_n,mfe_median,mae_median,fwd_ret_net_median,cost_bps_median,censored_n,uninformative_no_control_n
primary_table_C5,13618,2308,-0.6818732801387206,-0.8925612540880494,-0.5214412720789728,0.001998001998001998,-5.759621594151197,68,1536.7663675053475,True,0.42128065795270964,13618,0.06642422488776656,-0.06250385279250403,-0.0003204758134240332,15.0,1,1812
fit_table_C5,10546,1701,-3.0801778927409407,-4.312303830594801,-2.573345505524027,0.001998001998001998,-5.295002358175679,114,1014.8249287769885,True,0.4012895884695619,10546,0.060998385131338484,-0.05604523249645932,0.0005512935318096063,15.0,1,2169
primary_table_G0,69382,2778,-0.909871836732906,-1.1008026249189908,-0.7549840532471713,0.001998001998001998,-9.112864429935563,68,2310.8215591254243,True,0.41111527485514976,69382,0.04985997073363113,-0.0461538461538461,-0.00044460650926658567,15.0,5,23343
fit_table_G0,73569,2049,-3.7157257393533656,-4.124528268603396,-3.316476130577805,0.001998001998001998,-16.59770983984386,114,1537.734130353459,True,0.4121900826446281,73568,0.03958276067436328,-0.03629602529277143,0.0010657356416170502,15.0,11,29057
cohort_damaged_trend_rebound_C5,4815,1771,-0.580880558719296,-0.8096912842292956,-0.3360290892300959,0.001998001998001998,-3.629168082010202,68,1172.4869742109063,True,0.4367601246105919,4815,0.057492931196984065,-0.05407841369986488,8.715346983156989e-05,15.0,0,588
cohort_deep_mtf_washout_C5,3318,1109,-0.9020716719904083,-1.3434115676853173,-0.604537984240632,0.001998001998001998,-3.0919310916916376,66,688.5507476401301,True,0.4062688366485835,3318,0.08710185441752627,-0.08053691275167785,-0.0016208928438315967,15.0,0,447
cohort_full_daily_washout_C5,1023,798,-0.7087235679733288,-1.1466358714129692,-0.10549979072632258,0.001998001998001998,-1.4750297001467527,65,624.6849315068495,True,0.4398826979472141,1023,0.05052264808362361,-0.053377265238879756,-0.0015256833884048629,15.0,0,117
cohort_gap_catalyst_C5,1629,912,-2.1845227773606655,-3.197713208458149,-1.3450524161999056,0.001998001998001998,-3.0385233850059783,68,530.3059273422563,True,0.37323511356660527,1629,0.09394891408277561,-0.08542713567839189,0.003914893617021249,15.0,1,339
cohort_ipo_young_C5,448,203,-0.9319364471828874,-1.5440764560487463,-0.3607565393396643,0.001998001998001998,-3.0073882502232485,57,141.18972332015812,True,0.390625,448,0.1079267977014271,-0.09799900451017063,-0.005324523536461172,40.0,0,70
cohort_partial_shallow_washout_C5,1908,1169,-0.22787881341211302,-0.3557208930052444,-0.13165004683836334,0.001998001998001998,-4.183104690719561,68,821.6928289102204,True,0.43972746331236895,1908,0.054442588471911524,-0.05260889292196014,-0.0023136748524010247,15.0,0,202
regime_stressed_C5,3760,1502,-0.7950096065365014,-1.6780574964617638,-0.3449094546992647,0.001998001998001998,-2.0758473018576304,12,1028.5191212367781,True,0.3805851063829787,3760,0.07756752604684891,-0.06167070525472418,0.02122568552424265,15.0,0,580
regime_quiet_C5,9858,2116,-0.6196327483039537,-0.8644500970684904,-0.48782142186303173,0.001998001998001998,-5.485678821624598,68,1355.2359755209093,True,0.436802596875634,9858,0.062303977816026035,-0.06290429656515273,-0.008666826254792145,15.0,1,1232
cohort_damaged_trend_rebound_G0,7874,2274,-1.1586344788463334,-1.6407733367344215,-0.837705868780669,0.001998001998001998,-3.454298391084034,68,1344.934084626834,True,0.4297688595377191,7874,0.05538715616448375,-0.05129951096285268,-0.00020366288262590624,15.0,0,2844
cohort_deep_mtf_washout_G0,5696,1348,-2.656836444558591,-3.7378863618692417,-2.0235457391348945,0.001998001998001998,-4.081972311411762,68,611.8498944857326,True,0.3922050561797753,5696,0.08938459025938528,-0.08219574569315863,-0.008,15.0,0,2044
cohort_full_daily_washout_G0,11188,2554,-0.4845360732627748,-0.661499985827497,-0.37805046444734197,0.001998001998001998,-5.463451823391603,68,1780.8783988957907,True,0.41580264569181263,11188,0.04538475013917398,-0.04249912741122902,-0.001288809965668822,15.0,1,4004
cohort_gap_catalyst_G0,5450,1901,-1.8359729629210286,-2.4863300543368507,-1.4366726873069096,0.001998001998001998,-6.02448229433166,68,913.4937810945273,True,0.36128440366972475,5450,0.08030265041744156,-0.07012064002075535,0.005567231804584688,15.0,1,2022
cohort_ipo_young_G0,1555,556,-2.8895891591249696,-3.60892289961858,-1.4085686189217617,0.001998001998001998,-3.239339178906234,68,369.5159802306425,True,0.39807073954983924,1555,0.07593663565501618,-0.07194244604316535,-0.00698373983739841,40.0,1,496
cohort_leader_reset_G0,4000,1758,-0.33649157363510296,-0.5199980338433423,-0.21818055713172935,0.001998001998001998,-2.9080536994754325,68,1121.785554113065,True,0.409,4000,0.0589728822315847,-0.052835971060745,0.0002795698924730797,15.0,0,917
cohort_partial_shallow_washout_G0,18322,2640,-0.6347266111518423,-0.8014796389901492,-0.44486621017775885,0.001998001998001998,-5.482709497182673,68,1944.065478066802,True,0.41250955135902195,18322,0.045005406801630565,-0.04119259209338211,0.00015714718786275124,15.0,1,5905
regime_stressed_G0,8433,2625,-0.9485989127136947,-1.2209504469828196,-0.5647348692962315,0.001998001998001998,-3.6952116335651723,12,1725.2490240394495,True,0.3525435787975809,8433,0.0639041437843233,-0.049342105263157854,0.015311291963377441,15.0,1,3414
regime_quiet_G0,60949,2778,-0.904400927479231,-1.1157519747888789,-0.7200721991676874,0.001998001998001998,-8.52678961707019,68,2312.939559306657,True,0.41921934732317184,60949,0.048173352435530115,-0.0457589285714286,-0.0024725738396625925,15.0,4,19929
c32_q1_with_gapcat,114,109,-1.4354586143671866,-2.333307537078006,-0.41582402803390706,0.001998001998001998,-1.838950357187164,31,59.06349206349207,True,0.38596491228070173,114,0.07728181003077161,-0.07082887700534768,0.009443225276437376,15.0,0,53
