family,node,trigger_date,dedup_variant,parameterization,direction,sigma20,state,state_immature,entry_price,fill_date,stopped_at_bar,liftoff_at_bar,entry_price_fm,fwd_ret_5,fwd_mdd_5,fwd_mfe_5,fwd_ret_10,fwd_mdd_10,fwd_mfe_10,fwd_ret_21,fwd_mdd_21,fwd_mfe_21,fwd_ret_63,fwd_mdd_63,fwd_mfe_63,mfe_R_5,mae_R_5,mfe_R_10,mae_R_10,mfe_R_21,mae_R_21,mfe_R_63,mae_R_63,policy_R_rot21,never_touch_m1r_rot21,excess_21,excess_63,exhaust_exit_ret,exhaust_exit_R,accel_flip_date,accel_flip_exit_ret,accel_flip_exit_R,exhaust_minus_accel_flip_lag,vix_pctile,spy_above_200d,policy_R_pos63,never_touch_m1r_pos63,note,routing_cell,ohlc_coverage,state_hl,entry_price_hl,fill_date_hl,stopped_at_bar_hl,liftoff_at_bar_hl,note_hl,mfe_R_hl_21,mae_R_hl_21,mfe_R_hl_63,mae_R_hl_63
ep_onset_in,XLE,1999-08-09,single,rot21,in,0.0676948767767913,DEAD_MONEY,False,7.383605480194092,1999-08-10,,,7.383605480194092,0.0026315920334232,-0.0047365298414038,0.0084209782619997,0.0042103922602043,-0.0047365298414038,0.0105264972947538,0.0147366312328365,-0.039999630599366,0.0147366312328365,-0.1022627532501282,-0.1350432492583088,0.0147366312328365,0.1244,-0.07,0.1555,-0.07,0.2177,-0.5909,0.2177,-1.9949,0.2177,True,-0.032628,-0.177909,-0.026842,-0.3965,1999-08-19,0.005263,0.0777,7.0,,0.0,,,,,True,DEAD_MONEY,14.84375,1999-08-10,,,HL dead-money; ret@read=+0.015,0.3032,-0.6842,0.3032,-0.6842
ep_onset_in,XLE,1999-08-09,single,pos63,in,0.0676948767767913,STOPPED,False,7.383605480194092,1999-08-10,31.0,,7.383605480194092,0.0026315920334232,-0.0047365298414038,0.0084209782619997,0.0042103922602043,-0.0047365298414038,0.0105264972947538,0.0147366312328365,-0.039999630599366,0.0147366312328365,-0.1022627532501282,-0.1350432492583088,0.0147366312328365,0.1244,-0.07,0.1555,-0.07,0.2177,-0.5909,0.2177,-1.9949,,,-0.032628,-0.177909,-0.026842,-0.3965,1999-08-19,0.005263,0.0777,7.0,,0.0,-1.0,False,,,True,STOPPED,14.84375,1999-08-10,29.0,,HL-stop at bar +29,0.3032,-0.6842,0.311,-2.1459
ep_onset_in,XLE,1999-11-12,single,rot21,in,0.0754124133456988,DEAD_MONEY,False,7.003294467926025,1999-11-15,,,7.003294467926025,-0.0050163502036805,-0.0050163502036805,0.0345591974602255,-0.0373466336460208,-0.0373466336460208,0.0345591974602255,-0.0390192723851265,-0.0613158341068645,0.0345591974602255,-0.02612137981053,-0.0876176459233635,0.0409652826351625,0.4583,-0.0665,0.4583,-0.4952,0.4583,-0.8131,0.5432,-1.1618,-0.5174,True,-0.04917,-0.035733,-0.035675,-0.4731,1999-11-24,-0.027871,-0.3696,2.0,0.1061946902654867,1.0,,,,,True,DEAD_MONEY,14.015625,1999-11-15,,,HL dead-money; ret@read=-0.039,0.547,-0.887,0.547,-0.887
ep_onset_in,XLE,1999-11-12,single,pos63,in,0.0754124133456988,STOPPED,False,7.003294467926025,1999-11-15,59.0,,7.003294467926025,-0.0050163502036805,-0.0050163502036805,0.0345591974602255,-0.0373466336460208,-0.0373466336460208,0.0345591974602255,-0.0390192723851265,-0.0613158341068645,0.0345591974602255,-0.02612137981053,-0.0876176459233635,0.0409652826351625,0.4583,-0.0665,0.4583,-0.4952,0.4583,-0.8131,0.5432,-1.1618,,,-0.04917,-0.035733,-0.035675,-0.4731,1999-11-24,-0.027871,-0.3696,2.0,0.1061946902654867,1.0,-1.0,False,,,True,STOPPED,14.015625,1999-11-15,34.0,,HL-stop at bar +34,0.547,-0.887,0.68,-1.2861
ep_onset_in,XLE,2001-04-11,single,rot21,in,0.0899217371070747,DEAD_MONEY,False,8.081330299377441,2001-04-12,,,8.081330299377441,0.0126333965431928,0.0,0.0249527696197107,0.0698041949806045,0.0,0.0770682740828916,0.0511688316899123,0.0,0.0770682740828916,-0.0584537394813644,-0.0619444625720256,0.0953887878399162,0.2775,0.0,0.8571,0.0,0.8571,0.0,1.0608,-0.6889,0.569,True,-0.003943,-0.089903,0.035376,0.3934,2001-05-03,0.032533,0.3618,1.0,0.9126984126984128,0.0,,,,,True,DEAD_MONEY,15.829999923706055,2001-04-12,,,HL dead-money (edge); ret@read=+0.051,0.9062,-0.0281,0.9062,-0.0281
ep_onset_in,XLE,2001-04-11,single,pos63,in,0.0899217371070747,CUSHIONED,False,8.081330299377441,2001-04-12,,,8.081330299377441,0.0126333965431928,0.0,0.0249527696197107,0.0698041949806045,0.0,0.0770682740828916,0.0511688316899123,0.0,0.0770682740828916,-0.0584537394813644,-0.0619444625720256,0.0953887878399162,0.2775,0.0,0.8571,0.0,0.8571,0.0,1.0608,-0.6889,,,-0.003943,-0.089903,0.035376,0.3934,2001-05-03,0.032533,0.3618,1.0,0.9126984126984128,0.0,-0.6501,True,,,True,CUSHIONED,15.829999923706055,2001-04-12,,,HL-cushioned at bar +25; ret@read=-0.063,0.9062,-0.0281,1.1381,-0.8957
ep_onset_in,XLE,2001-10-10,single,rot21,in,0.1184291438080996,DEAD_MONEY,False,7.350000858306885,2001-10-11,,,7.350000858306885,-0.0578945767013239,-0.0578945767013239,0.0,-0.0357886032558956,-0.0596488831080229,0.0,-0.0403504097457978,-0.0803503604401926,0.0,-0.0998139427039025,-0.1284205358104988,0.0,0.0,-0.4889,0.0,-0.5037,0.0,-0.6785,0.0,-1.0844,-0.3407,True,-0.065077,-0.148317,-0.059649,-0.5037,2001-10-19,-0.042806,-0.3615,2.0,0.9484126984126984,0.0,,,,,True,DEAD_MONEY,14.25,2001-10-11,,,HL dead-money; ret@read=-0.040,0.0385,-0.8148,0.0385,-0.8148
ep_onset_in,XLE,2001-10-10,single,pos63,in,0.1184291438080996,STOPPED,False,7.350000858306885,2001-10-11,25.0,,7.350000858306885,-0.0578945767013239,-0.0578945767013239,0.0,-0.0357886032558956,-0.0596488831080229,0.0,-0.0403504097457978,-0.0803503604401926,0.0,-0.0998139427039025,-0.1284205358104988,0.0,0.0,-0.4889,0.0,-0.5037,0.0,-0.6785,0.0,-1.0844,,,-0.065077,-0.148317,-0.059649,-0.5037,2001-10-19,-0.042806,-0.3615,2.0,0.9484126984126984,0.0,-1.0,False,,,True,STOPPED,14.25,2001-10-11,25.0,,HL-stop at bar +25,0.0385,-0.8148,0.0385,-1.3332
ep_onset_in,XLE,2002-08-12,single,rot21,in,0.1706476140622795,DEAD_MONEY,False,5.792550563812256,2002-08-13,,,5.792550563812256,0.0333935387297466,0.0,0.0685918399283362,0.0613714729484429,0.0,0.0685918399283362,-0.0018055033401358,-0.009476567023045,0.0685918399283362,-0.0208696034420551,-0.0721400371867997,0.0685918399283362,0.402,0.0,0.402,0.0,0.402,-0.0555,0.402,-0.4227,-0.0106,True,-0.007201,-0.017336,-0.007671,-0.045,2002-09-03,-0.009477,-0.0555,1.0,0.9682539682539684,0.0,,,,,True,DEAD_MONEY,11.079999923706055,2002-08-13,,,HL dead-money; ret@read=-0.002,0.4839,-0.2274,0.4839,-0.2274
ep_onset_in,XLE,2002-08-12,single,pos63,in,0.1706476140622795,DEAD_MONEY,False,5.792550563812256,2002-08-13,,,5.792550563812256,0.0333935387297466,0.0,0.0685918399283362,0.0613714729484429,0.0,0.0685918399283362,-0.0018055033401358,-0.009476567023045,0.0685918399283362,-0.0208696034420551,-0.0721400371867997,0.0685918399283362,0.402,0.0,0.402,0.0,0.402,-0.0555,0.402,-0.4227,,,-0.007201,-0.017336,-0.007671,-0.045,2002-09-03,-0.009477,-0.0555,1.0,0.9682539682539684,0.0,-0.1223,True,,,True,DEAD_MONEY,11.079999923706055,2002-08-13,,,HL dead-money; ret@read=-0.026,0.4839,-0.2274,0.4839,-0.521
