stage,table,rows,columns,sha256
first_look,baseline_crosses.csv,12,11,e728fb7c0269d7605fe8ede1d8a95941efe2136e1a714b029c1ab1d3940d6b0d
first_look,block_bootstrap_contrasts.csv,18,17,8c86a2fc8f98a69ae3c62b77c640cbe55f4af9e7abb527b4b67ed1cdc7c1a54f
first_look,chronology_location.csv,144,13,4667d9e267500a4dbd2473efbaa2c7760c5cd046cad54d5e7d2a1a3467cec07c
first_look,cross_location.csv,72,12,95671f86ad37bcdee81ccda382396b0ae3574535247d1475909f601a4821455d
first_look,monthly_context.csv,12,12,e9392c30b9bdb8797bf766787f35112333f4ab534e1e71aaabe64f7e6e98ab64
first_look,phase_regime.csv,436,14,ed9a4ddacf19d9e01a917d0d8c2776a7e8aba90955eeda64521bc4703a2f7628
first_look,selected_context_bootstrap.csv,4,17,79b6aa29b1463d61d8cb3545034d2d2e67add67c716f37ca90a4401b0762bc39
first_look,selected_context_controls.csv,8,12,93b5e10807481f1b40543596e93797248cb23124ed58b538b36845910a65cce7
first_look,unconditional_reference.csv,6,10,31c13be61636b8cdaae91f01da000e622ef31da43caabfc29fc47a1ef74c21f8
first_look,weekly_context.csv,24,12,4312b2a9b36ba21be83e465e3322835ddc012ca242727f700d40d7a7fbe846f9
extension,all_crosses.csv,234,26,b99ed43c04b1837cdcbd9ef9880f2ca15be2fad2f59a6baad4077a3e7dbddcfd
extension,common252_cross_location.csv,1404,27,2c9a36806cbb643f1f04a87d3702fc8363d6cf9c29d0f5fba576d1903be13539
extension,common_price_location.csv,1391,27,da92da75f0749a31b10ff87b0f373e274b7f3331e4178052308c38368813154e
extension,cross_location.csv,1404,27,16e0ae9b51d4b9a9a5d51ca3ec4656b65bbf84ffbbef8cb00c623a25b931e950
extension,repair_context.csv,182,26,d7b987d38f0dd87294ad1121821baa4165c4ba8292478ec0b1fcc69193ab9c3a
extension,repair_spells.csv,338,27,0d6468ca94a0125aa0b4d9fa27d2d419d62175595f5e566a91ebc39e9735553c
extension,repair_years.csv,314,27,d42e0c794d94dde5fcddea7d22441f22bb9844bb29ef146c111ced24c21be099
repair_attribution,annual_cluster_contrasts.csv,16,8,b65441a6e632411c93545c057b052ecb7081deee04d74e98325a5338c2bac696
repair_attribution,cross_by_spell.csv,50,24,b94f20e8166b17eb4e15fa2e704a41dd01db9ad2aa137c730412884ffac61a19
repair_attribution,cross_by_year.csv,46,24,9a30e924564311d5a056cbf7da0c52026c502b9edeacb5718e8f0f03ba24834a
repair_attribution,leave_one_out.csv,96,23,8d1ae95ce9f33572ba58ae9448b4bd6b33a013ae15953a374766fb6d0995e140
repair_attribution,overall.csv,8,22,55077231c68a7389618546d1762933e941e17b20414701bf7f89df7e3095fc7e
repair_attribution,same_date_contrasts.csv,16,5,6193ce020dccd31274d18622e405aff42a8160c1d5525d75d4fd3bad034daa68
