ranker,price_basis,as_of,rows,pairs,missing_pairs,rho,reason
bottoming-alignment,adjusted,2026-07-01,31,31,0,-0.03289608132938612,defined
bottoming-alignment,adjusted,2026-07-02,21,21,0,0.21672688834791762,defined
bottoming-alignment,adjusted,2026-07-06,17,17,0,-0.48466294152066236,defined
bottoming-alignment,adjusted,2026-07-09,18,18,0,-0.0671487961614719,defined
bottoming-alignment,adjusted,2026-07-10,25,25,0,0.06274058825987348,defined
bottoming-alignment,adjusted,2026-07-14,29,29,0,-0.20589335816434,defined
bottoming-alignment,adjusted,2026-07-15,25,25,0,-0.06464025103332084,defined
bottoming-alignment,unadjusted,2026-07-01,8,8,0,-0.10778636357219332,defined
bottoming-alignment,unadjusted,2026-07-02,3,3,0,-1.0,defined
bottoming-alignment,unadjusted,2026-07-06,3,3,0,-0.5,defined
bottoming-alignment,unadjusted,2026-07-09,3,3,0,-0.5,defined
bottoming-alignment,unadjusted,2026-07-10,6,6,0,0.08571428571428572,defined
bottoming-alignment,unadjusted,2026-07-14,1,1,0,,fewer_than_two_pairs
bottoming-alignment,unadjusted,2026-07-15,3,3,0,0.8660254037844387,defined
bottoming-alignment,unverified_pre_20260806,2026-06-30,34,34,0,-0.34024019985179216,defined
confluence,adjusted,2026-07-17,38,38,0,-0.26818457444118093,defined
confluence,adjusted,2026-07-20,44,44,0,-0.2262248994961034,defined
confluence,adjusted,2026-07-21,41,41,0,-0.20808645390889938,defined
confluence,adjusted,2026-07-24,42,42,0,-0.3883078737962253,defined
confluence,adjusted,2026-07-27,43,43,0,-0.2820881258675838,defined
confluence,adjusted,2026-07-28,80,80,0,-0.16578715451422008,defined
confluence,adjusted,2026-07-29,76,76,0,-0.16651851733517514,defined
confluence,adjusted,2026-07-30,77,77,0,-0.2001249495577017,defined
confluence,adjusted,2026-07-31,71,71,0,-0.0573710054563437,defined
confluence,unadjusted,2026-07-17,2,2,0,-1.0,defined
confluence,unadjusted,2026-07-20,1,1,0,,fewer_than_two_pairs
confluence,unadjusted,2026-07-21,6,6,0,0.6571428571428571,defined
confluence,unadjusted,2026-07-24,1,1,0,,fewer_than_two_pairs
us_prophet_v1,adjusted,2026-08-07,74,74,0,-0.17574685789611694,defined
