slot,construction,rows,months,coverage,status,values_csv,months_csv
cn_mature,attention_share.cn.comment.v0,45,3,1.0,COMPUTABLE,cells/cn_mature__attention_share.cn.comment.v0.csv,cells/cn_mature__attention_share.cn.comment.v0__months.csv
cn_mature,attention_share.cn.lhb.v0,390,26,1.0,COMPUTABLE,cells/cn_mature__attention_share.cn.lhb.v0.csv,cells/cn_mature__attention_share.cn.lhb.v0__months.csv
cn_mature,trading_beta.v0,480,32,1.0,COMPUTABLE,cells/cn_mature__trading_beta.v0.csv,cells/cn_mature__trading_beta.v0__months.csv
cn_young_speculative,attention_share.cn.comment.v0,33,3,1.0,COMPUTABLE,cells/cn_young_speculative__attention_share.cn.comment.v0.csv,cells/cn_young_speculative__attention_share.cn.comment.v0__months.csv
cn_young_speculative,attention_share.cn.lhb.v0,286,26,1.0,COMPUTABLE,cells/cn_young_speculative__attention_share.cn.lhb.v0.csv,cells/cn_young_speculative__attention_share.cn.lhb.v0__months.csv
cn_young_speculative,trading_beta.v0,352,32,1.0,COMPUTABLE,cells/cn_young_speculative__trading_beta.v0.csv,cells/cn_young_speculative__trading_beta.v0__months.csv
cross_market_pair.cn,attention_share.cn.comment.v0,111,3,1.0,COMPUTABLE,cells/cross_market_pair.cn__attention_share.cn.comment.v0.csv,cells/cross_market_pair.cn__attention_share.cn.comment.v0__months.csv
cross_market_pair.cn,attention_share.cn.lhb.v0,962,26,1.0,COMPUTABLE,cells/cross_market_pair.cn__attention_share.cn.lhb.v0.csv,cells/cross_market_pair.cn__attention_share.cn.lhb.v0__months.csv
cross_market_pair.cn,trading_beta.v0,1184,32,0.9577702702702703,COMPUTABLE,cells/cross_market_pair.cn__trading_beta.v0.csv,cells/cross_market_pair.cn__trading_beta.v0__months.csv
cross_market_pair.us,attention_share.us.flare.v0,52,2,0.7692307692307693,COMPUTABLE,cells/cross_market_pair.us__attention_share.us.flare.v0.csv,cells/cross_market_pair.us__attention_share.us.flare.v0__months.csv
cross_market_pair.us,attention_share.us.wsb.v0,78,3,0.5,ABSTAIN,cells/cross_market_pair.us__attention_share.us.wsb.v0.csv,cells/cross_market_pair.us__attention_share.us.wsb.v0__months.csv
cross_market_pair.us,trading_beta.v0,942,39,0.9766454352441614,COMPUTABLE,cells/cross_market_pair.us__trading_beta.v0.csv,cells/cross_market_pair.us__trading_beta.v0__months.csv
us_institutional,attention_share.us.flare.v0,42,2,0.6666666666666666,ABSTAIN,cells/us_institutional__attention_share.us.flare.v0.csv,cells/us_institutional__attention_share.us.flare.v0__months.csv
us_institutional,attention_share.us.wsb.v0,63,3,0.14285714285714285,ABSTAIN,cells/us_institutional__attention_share.us.wsb.v0.csv,cells/us_institutional__attention_share.us.wsb.v0__months.csv
us_institutional,trading_beta.v0,855,39,1.0,COMPUTABLE,cells/us_institutional__trading_beta.v0.csv,cells/us_institutional__trading_beta.v0__months.csv
us_mature_broad,attention_share.us.flare.v0,42,2,0.5238095238095238,ABSTAIN,cells/us_mature_broad__attention_share.us.flare.v0.csv,cells/us_mature_broad__attention_share.us.flare.v0__months.csv
us_mature_broad,attention_share.us.wsb.v0,63,3,0.2857142857142857,ABSTAIN,cells/us_mature_broad__attention_share.us.wsb.v0.csv,cells/us_mature_broad__attention_share.us.wsb.v0__months.csv
us_mature_broad,trading_beta.v0,831,39,0.9975932611311673,COMPUTABLE,cells/us_mature_broad__trading_beta.v0.csv,cells/us_mature_broad__trading_beta.v0__months.csv
us_young_narrow,attention_share.us.flare.v0,18,2,0.3333333333333333,ABSTAIN,cells/us_young_narrow__attention_share.us.flare.v0.csv,cells/us_young_narrow__attention_share.us.flare.v0__months.csv
us_young_narrow,attention_share.us.wsb.v0,27,3,0.3333333333333333,ABSTAIN,cells/us_young_narrow__attention_share.us.wsb.v0.csv,cells/us_young_narrow__attention_share.us.wsb.v0__months.csv
us_young_narrow,trading_beta.v0,351,39,0.9259259259259259,COMPUTABLE,cells/us_young_narrow__trading_beta.v0.csv,cells/us_young_narrow__trading_beta.v0__months.csv
