month,n_members,n_values,coverage,no_events,era,denominator,pct_nonzero,modal_tie_mass,distinct_magnitudes
2024-07,15,15,1.0,False,reconstruction,2.0,0.13333333333333333,0.8666666666666667,2
2024-08,15,0,,True,reconstruction,0.0,0.0,1.0,1
2024-09,15,15,1.0,False,reconstruction,1.0,0.06666666666666667,0.9333333333333333,2
2024-10,15,15,1.0,False,reconstruction,9.0,0.3333333333333333,0.6666666666666666,4
2024-11,15,0,,True,reconstruction,0.0,0.0,1.0,1
2024-12,15,0,,True,reconstruction,0.0,0.0,1.0,1
2025-01,15,0,,True,reconstruction,0.0,0.0,1.0,1
2025-02,15,0,,True,reconstruction,0.0,0.0,1.0,1
2025-03,15,0,,True,reconstruction,0.0,0.0,1.0,1
2025-04,15,0,,True,reconstruction,0.0,0.0,1.0,1
2025-05,15,0,,True,reconstruction,0.0,0.0,1.0,1
2025-06,15,0,,True,reconstruction,0.0,0.0,1.0,1
2025-07,15,15,1.0,False,reconstruction,3.0,0.2,0.8,2
2025-08,15,0,,True,reconstruction,0.0,0.0,1.0,1
2025-09,15,15,1.0,False,reconstruction,4.0,0.26666666666666666,0.7333333333333333,2
2025-10,15,15,1.0,False,reconstruction,4.0,0.2,0.8,3
2025-11,15,15,1.0,False,reconstruction,1.0,0.06666666666666667,0.9333333333333333,2
2025-12,15,0,,True,reconstruction,0.0,0.0,1.0,1
2026-01,15,0,,True,reconstruction,0.0,0.0,1.0,1
2026-02,15,0,,True,reconstruction,0.0,0.0,1.0,1
2026-03,15,15,1.0,False,reconstruction,1.0,0.06666666666666667,0.9333333333333333,2
2026-04,15,15,1.0,False,reconstruction,2.0,0.13333333333333333,0.8666666666666667,2
2026-05,15,15,1.0,False,reconstruction,1.0,0.06666666666666667,0.9333333333333333,2
2026-06,15,15,1.0,False,reconstruction,3.0,0.13333333333333333,0.8666666666666667,3
2026-07,15,15,1.0,False,reconstruction,2.0,0.13333333333333333,0.8666666666666667,2
2026-08,15,0,,True,reconstruction,0.0,0.0,1.0,1
