month,node_id,symbol,value,era,in_universe,stamp_session
2024-01,co:cn:002129.SZ,002129.SZ,0.871977625654945,reconstruction,True,2024-01-31
2024-01,co:cn:002459.SZ,002459.SZ,0.912845802979183,reconstruction,True,2024-01-31
2024-01,co:cn:300274.SZ,300274.SZ,0.9106691536988933,reconstruction,True,2024-01-31
2024-01,co:cn:300316.SZ,300316.SZ,0.7939007622841228,reconstruction,True,2024-01-31
2024-01,co:cn:300751.SZ,300751.SZ,0.8700923506284591,reconstruction,True,2024-01-31
2024-01,co:cn:300763.SZ,300763.SZ,0.8202852398879343,reconstruction,True,2024-01-31
2024-01,co:cn:600438.SS,600438.SS,0.9287136252240773,reconstruction,True,2024-01-31
2024-01,co:cn:601012.SS,601012.SS,0.9153743837957589,reconstruction,True,2024-01-31
2024-01,co:cn:603806.SS,603806.SS,0.8848847956199759,reconstruction,True,2024-01-31
2024-01,co:cn:605117.SS,605117.SS,0.6450548687902893,reconstruction,True,2024-01-31
2024-01,co:cn:688223.SS,688223.SS,0.7964504842400822,reconstruction,True,2024-01-31
2024-01,co:cn:688303.SS,688303.SS,0.7274874970381704,reconstruction,True,2024-01-31
2024-01,co:cn:688390.SS,688390.SS,0.8504694654126538,reconstruction,True,2024-01-31
2024-01,co:cn:688472.SS,688472.SS,0.8017119356367984,reconstruction,True,2024-01-31
2024-01,co:cn:688599.SS,688599.SS,0.9534697884836338,reconstruction,True,2024-01-31
2024-02,co:cn:002129.SZ,002129.SZ,0.8623040244132508,reconstruction,True,2024-02-29
2024-02,co:cn:002459.SZ,002459.SZ,0.9119070459643193,reconstruction,True,2024-02-29
2024-02,co:cn:300274.SZ,300274.SZ,0.8825907919630062,reconstruction,True,2024-02-29
2024-02,co:cn:300316.SZ,300316.SZ,0.8240144813664302,reconstruction,True,2024-02-29
2024-02,co:cn:300751.SZ,300751.SZ,0.7823647722182647,reconstruction,True,2024-02-29
2024-02,co:cn:300763.SZ,300763.SZ,0.8412106179710828,reconstruction,True,2024-02-29
2024-02,co:cn:600438.SS,600438.SS,0.9163589592507363,reconstruction,True,2024-02-29
2024-02,co:cn:601012.SS,601012.SS,0.9215352600568103,reconstruction,True,2024-02-29
2024-02,co:cn:603806.SS,603806.SS,0.8466519338487389,reconstruction,True,2024-02-29
2024-02,co:cn:605117.SS,605117.SS,0.6628152509598572,reconstruction,True,2024-02-29
2024-02,co:cn:688223.SS,688223.SS,0.8391484709839959,reconstruction,True,2024-02-29
2024-02,co:cn:688303.SS,688303.SS,0.7002398831164122,reconstruction,True,2024-02-29
2024-02,co:cn:688390.SS,688390.SS,0.8025805448383131,reconstruction,True,2024-02-29
2024-02,co:cn:688472.SS,688472.SS,0.7657958904161822,reconstruction,True,2024-02-29
2024-02,co:cn:688599.SS,688599.SS,0.9321092745397511,reconstruction,True,2024-02-29
2024-03,co:cn:002129.SZ,002129.SZ,0.873043000212237,reconstruction,True,2024-03-29
2024-03,co:cn:002459.SZ,002459.SZ,0.9133122373532164,reconstruction,True,2024-03-29
2024-03,co:cn:300274.SZ,300274.SZ,0.8559796998974037,reconstruction,True,2024-03-29
2024-03,co:cn:300316.SZ,300316.SZ,0.8933184924809247,reconstruction,True,2024-03-29
2024-03,co:cn:300751.SZ,300751.SZ,0.797318425943319,reconstruction,True,2024-03-29
2024-03,co:cn:300763.SZ,300763.SZ,0.8643830434125266,reconstruction,True,2024-03-29
2024-03,co:cn:600438.SS,600438.SS,0.8923800283515618,reconstruction,True,2024-03-29
2024-03,co:cn:601012.SS,601012.SS,0.9246067255322512,reconstruction,True,2024-03-29
2024-03,co:cn:603806.SS,603806.SS,0.8196458151419501,reconstruction,True,2024-03-29
2024-03,co:cn:605117.SS,605117.SS,0.6807288600471556,reconstruction,True,2024-03-29
2024-03,co:cn:688223.SS,688223.SS,0.8767114642492619,reconstruction,True,2024-03-29
2024-03,co:cn:688303.SS,688303.SS,0.7246677374522874,reconstruction,True,2024-03-29
2024-03,co:cn:688390.SS,688390.SS,0.8086891071581039,reconstruction,True,2024-03-29
2024-03,co:cn:688472.SS,688472.SS,0.740811226795475,reconstruction,True,2024-03-29
2024-03,co:cn:688599.SS,688599.SS,0.9410870718145677,reconstruction,True,2024-03-29
2024-04,co:cn:002129.SZ,002129.SZ,0.8874512543830934,reconstruction,True,2024-04-30
2024-04,co:cn:002459.SZ,002459.SZ,0.9313664116213535,reconstruction,True,2024-04-30
2024-04,co:cn:300274.SZ,300274.SZ,0.7888840794315832,reconstruction,True,2024-04-30
2024-04,co:cn:300316.SZ,300316.SZ,0.8370486724675372,reconstruction,True,2024-04-30
2024-04,co:cn:300751.SZ,300751.SZ,0.7010108120910532,reconstruction,True,2024-04-30
2024-04,co:cn:300763.SZ,300763.SZ,0.8836427207583342,reconstruction,True,2024-04-30
2024-04,co:cn:600438.SS,600438.SS,0.8455150545195386,reconstruction,True,2024-04-30
2024-04,co:cn:601012.SS,601012.SS,0.9089163675543197,reconstruction,True,2024-04-30
2024-04,co:cn:603806.SS,603806.SS,0.7802269796957731,reconstruction,True,2024-04-30
2024-04,co:cn:605117.SS,605117.SS,0.7541853677966615,reconstruction,True,2024-04-30
2024-04,co:cn:688223.SS,688223.SS,0.8122569487144587,reconstruction,True,2024-04-30
2024-04,co:cn:688303.SS,688303.SS,0.7091419713145233,reconstruction,True,2024-04-30
2024-04,co:cn:688390.SS,688390.SS,0.7875972845955834,reconstruction,True,2024-04-30
2024-04,co:cn:688472.SS,688472.SS,0.7423175467065241,reconstruction,True,2024-04-30
2024-04,co:cn:688599.SS,688599.SS,0.9297018941010815,reconstruction,True,2024-04-30
2024-05,co:cn:002129.SZ,002129.SZ,0.9034668260084493,reconstruction,True,2024-05-31
2024-05,co:cn:002459.SZ,002459.SZ,0.8882482639097777,reconstruction,True,2024-05-31
2024-05,co:cn:300274.SZ,300274.SZ,0.7229805297787046,reconstruction,True,2024-05-31
2024-05,co:cn:300316.SZ,300316.SZ,0.8104761230087099,reconstruction,True,2024-05-31
2024-05,co:cn:300751.SZ,300751.SZ,0.620447663690795,reconstruction,True,2024-05-31
2024-05,co:cn:300763.SZ,300763.SZ,0.8212574178973826,reconstruction,True,2024-05-31
2024-05,co:cn:600438.SS,600438.SS,0.8372971646953513,reconstruction,True,2024-05-31
2024-05,co:cn:601012.SS,601012.SS,0.8924913906321363,reconstruction,True,2024-05-31
2024-05,co:cn:603806.SS,603806.SS,0.6926804473904891,reconstruction,True,2024-05-31
2024-05,co:cn:605117.SS,605117.SS,0.712969809503259,reconstruction,True,2024-05-31
2024-05,co:cn:688223.SS,688223.SS,0.7762426661894937,reconstruction,True,2024-05-31
2024-05,co:cn:688303.SS,688303.SS,0.8037342036240792,reconstruction,True,2024-05-31
2024-05,co:cn:688390.SS,688390.SS,0.4430637121288634,reconstruction,True,2024-05-31
2024-05,co:cn:688472.SS,688472.SS,0.7701786260412444,reconstruction,True,2024-05-31
2024-05,co:cn:688599.SS,688599.SS,0.8855314774137781,reconstruction,True,2024-05-31
2024-06,co:cn:002129.SZ,002129.SZ,0.8481777650379831,reconstruction,True,2024-06-28
2024-06,co:cn:002459.SZ,002459.SZ,0.8614167260757106,reconstruction,True,2024-06-28
2024-06,co:cn:300274.SZ,300274.SZ,0.6648523498142347,reconstruction,True,2024-06-28
2024-06,co:cn:300316.SZ,300316.SZ,0.7630051140255036,reconstruction,True,2024-06-28
2024-06,co:cn:300751.SZ,300751.SZ,0.5315202888704356,reconstruction,True,2024-06-28
2024-06,co:cn:300763.SZ,300763.SZ,0.7809079435470929,reconstruction,True,2024-06-28
2024-06,co:cn:600438.SS,600438.SS,0.8392932938749537,reconstruction,True,2024-06-28
2024-06,co:cn:601012.SS,601012.SS,0.8386248726718298,reconstruction,True,2024-06-28
2024-06,co:cn:603806.SS,603806.SS,0.6270232675215893,reconstruction,True,2024-06-28
2024-06,co:cn:605117.SS,605117.SS,0.5386605075851005,reconstruction,True,2024-06-28
2024-06,co:cn:688223.SS,688223.SS,0.6272010253873148,reconstruction,True,2024-06-28
2024-06,co:cn:688303.SS,688303.SS,0.7288324473581319,reconstruction,True,2024-06-28
2024-06,co:cn:688390.SS,688390.SS,0.35653601911203486,reconstruction,True,2024-06-28
2024-06,co:cn:688472.SS,688472.SS,0.6666217699302995,reconstruction,True,2024-06-28
2024-06,co:cn:688599.SS,688599.SS,0.8764545127393691,reconstruction,True,2024-06-28
2024-07,co:cn:002129.SZ,002129.SZ,0.7911111684081698,reconstruction,True,2024-07-31
2024-07,co:cn:002459.SZ,002459.SZ,0.8478550195230559,reconstruction,True,2024-07-31
2024-07,co:cn:300274.SZ,300274.SZ,0.6836808708559713,reconstruction,True,2024-07-31
2024-07,co:cn:300316.SZ,300316.SZ,0.7318830771350613,reconstruction,True,2024-07-31
2024-07,co:cn:300751.SZ,300751.SZ,0.5627031617994704,reconstruction,True,2024-07-31
2024-07,co:cn:300763.SZ,300763.SZ,0.6276842362678922,reconstruction,True,2024-07-31
2024-07,co:cn:600438.SS,600438.SS,0.8136012908560684,reconstruction,True,2024-07-31
2024-07,co:cn:601012.SS,601012.SS,0.8392837373204384,reconstruction,True,2024-07-31
2024-07,co:cn:603806.SS,603806.SS,0.594450899810466,reconstruction,True,2024-07-31
2024-07,co:cn:605117.SS,605117.SS,0.41979510987787155,reconstruction,True,2024-07-31
2024-07,co:cn:688223.SS,688223.SS,0.5989246602671247,reconstruction,True,2024-07-31
2024-07,co:cn:688303.SS,688303.SS,0.6617316105951134,reconstruction,True,2024-07-31
2024-07,co:cn:688390.SS,688390.SS,0.35795907963079976,reconstruction,True,2024-07-31
2024-07,co:cn:688472.SS,688472.SS,0.5789081594466499,reconstruction,True,2024-07-31
2024-07,co:cn:688599.SS,688599.SS,0.8566302290694261,reconstruction,True,2024-07-31
2024-08,co:cn:002129.SZ,002129.SZ,0.7721066223604207,reconstruction,True,2024-08-30
2024-08,co:cn:002459.SZ,002459.SZ,0.8793635670640911,reconstruction,True,2024-08-30
2024-08,co:cn:300274.SZ,300274.SZ,0.6877805882286349,reconstruction,True,2024-08-30
