month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-06,co:cn:002046.SZ,002046.SZ,0.09435333194934607,90.9,reconstruction,True,False
2026-06,co:cn:002050.SZ,002050.SZ,0.08283163794893086,79.8,reconstruction,True,False
2026-06,co:cn:002472.SZ,002472.SZ,0.09123936059788251,87.9,reconstruction,True,False
2026-06,co:cn:002747.SZ,002747.SZ,0.0955470209674071,92.05,reconstruction,True,False
2026-06,co:cn:002851.SZ,002851.SZ,0.09430143242682167,90.85,reconstruction,True,False
2026-06,co:cn:300024.SZ,300024.SZ,0.09014947062487025,86.85,reconstruction,True,False
2026-06,co:cn:300124.SZ,300124.SZ,0.09217355200332157,88.8,reconstruction,True,False
2026-06,co:cn:601100.SS,601100.SS,0.08672410213826033,83.55,reconstruction,True,False
2026-06,co:cn:601689.SS,601689.SS,0.08988997301224828,86.6,reconstruction,True,False
2026-06,co:cn:688017.SS,688017.SS,0.0941976333817729,90.75,reconstruction,True,False
2026-06,co:cn:688322.SS,688322.SS,0.08859248494913846,85.35,reconstruction,True,False
2026-07,co:cn:002046.SZ,002046.SZ,0.08558627472407387,82.4421052631579,reconstruction,True,False
2026-07,co:cn:002050.SZ,002050.SZ,0.09148726915091247,88.1263157894737,reconstruction,True,False
2026-07,co:cn:002472.SZ,002472.SZ,0.09260190143153754,89.2,reconstruction,True,False
2026-07,co:cn:002747.SZ,002747.SZ,0.09463446617855972,91.15789473684211,reconstruction,True,False
2026-07,co:cn:002851.SZ,002851.SZ,0.09166211343022619,88.29473684210525,reconstruction,True,False
2026-07,co:cn:300024.SZ,300024.SZ,0.09011037045131678,86.8,reconstruction,True,False
2026-07,co:cn:300124.SZ,300124.SZ,0.09271117910610861,89.30526315789473,reconstruction,True,False
2026-07,co:cn:601100.SS,601100.SS,0.08840563872800787,85.15789473684211,reconstruction,True,False
2026-07,co:cn:601689.SS,601689.SS,0.09244891268713802,89.05263157894737,reconstruction,True,False
2026-07,co:cn:688017.SS,688017.SS,0.09286416785050813,89.45263157894736,reconstruction,True,False
2026-07,co:cn:688322.SS,688322.SS,0.08748770626161075,84.27368421052631,reconstruction,True,False
2026-08,co:cn:002046.SZ,002046.SZ,0.08184532878298494,76.74285714285715,reconstruction,True,False
2026-08,co:cn:002050.SZ,002050.SZ,0.09086476933390211,85.2,reconstruction,True,False
2026-08,co:cn:002472.SZ,002472.SZ,0.09232738131513192,86.57142857142857,reconstruction,True,False
2026-08,co:cn:002747.SZ,002747.SZ,0.09555731610701443,89.60000000000001,reconstruction,True,False
2026-08,co:cn:002851.SZ,002851.SZ,0.09275397647632394,86.97142857142856,reconstruction,True,False
2026-08,co:cn:300024.SZ,300024.SZ,0.0889146200255957,83.37142857142858,reconstruction,True,False
2026-08,co:cn:300124.SZ,300124.SZ,0.09293680297397768,87.14285714285714,reconstruction,True,False
2026-08,co:cn:601100.SS,601100.SS,0.08495337924309829,79.65714285714286,reconstruction,True,False
2026-08,co:cn:601689.SS,601689.SS,0.09202267048570904,86.28571428571429,reconstruction,True,False
2026-08,co:cn:688017.SS,688017.SS,0.09671521725882136,90.68571428571428,reconstruction,True,False
2026-08,co:cn:688322.SS,688322.SS,0.09110853799744041,85.42857142857143,reconstruction,True,False
