month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2024-07,co:cn:002046.SZ,002046.SZ,,0.0,reconstruction,True,True
2024-07,co:cn:002050.SZ,002050.SZ,,0.0,reconstruction,True,True
2024-07,co:cn:002472.SZ,002472.SZ,,0.0,reconstruction,True,True
2024-07,co:cn:002747.SZ,002747.SZ,,0.0,reconstruction,True,True
2024-07,co:cn:002851.SZ,002851.SZ,,0.0,reconstruction,True,True
2024-07,co:cn:300024.SZ,300024.SZ,,0.0,reconstruction,True,True
2024-07,co:cn:300124.SZ,300124.SZ,,0.0,reconstruction,True,True
2024-07,co:cn:601100.SS,601100.SS,,0.0,reconstruction,True,True
2024-07,co:cn:601689.SS,601689.SS,,0.0,reconstruction,True,True
2024-07,co:cn:688017.SS,688017.SS,,0.0,reconstruction,True,True
2024-07,co:cn:688322.SS,688322.SS,,0.0,reconstruction,True,True
2024-08,co:cn:002046.SZ,002046.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002050.SZ,002050.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002472.SZ,002472.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002747.SZ,002747.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002851.SZ,002851.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300024.SZ,300024.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300124.SZ,300124.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:601100.SS,601100.SS,,0.0,reconstruction,True,True
2024-08,co:cn:601689.SS,601689.SS,,0.0,reconstruction,True,True
2024-08,co:cn:688017.SS,688017.SS,,0.0,reconstruction,True,True
2024-08,co:cn:688322.SS,688322.SS,,0.0,reconstruction,True,True
2024-09,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2024-09,co:cn:002050.SZ,002050.SZ,0.0,0.0,reconstruction,True,False
2024-09,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2024-09,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2024-09,co:cn:002851.SZ,002851.SZ,0.0,0.0,reconstruction,True,False
2024-09,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2024-09,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2024-09,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2024-09,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2024-09,co:cn:688017.SS,688017.SS,1.0,1.0,reconstruction,True,False
2024-09,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2024-10,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2024-10,co:cn:002050.SZ,002050.SZ,0.0,0.0,reconstruction,True,False
2024-10,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2024-10,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2024-10,co:cn:002851.SZ,002851.SZ,1.0,2.0,reconstruction,True,False
2024-10,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2024-10,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2024-10,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2024-10,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2024-10,co:cn:688017.SS,688017.SS,0.0,0.0,reconstruction,True,False
2024-10,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2024-11,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2024-11,co:cn:002050.SZ,002050.SZ,0.0,0.0,reconstruction,True,False
2024-11,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2024-11,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2024-11,co:cn:002851.SZ,002851.SZ,0.0,0.0,reconstruction,True,False
2024-11,co:cn:300024.SZ,300024.SZ,0.5,2.0,reconstruction,True,False
2024-11,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2024-11,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2024-11,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2024-11,co:cn:688017.SS,688017.SS,0.5,2.0,reconstruction,True,False
2024-11,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2024-12,co:cn:002046.SZ,002046.SZ,,0.0,reconstruction,True,True
2024-12,co:cn:002050.SZ,002050.SZ,,0.0,reconstruction,True,True
2024-12,co:cn:002472.SZ,002472.SZ,,0.0,reconstruction,True,True
2024-12,co:cn:002747.SZ,002747.SZ,,0.0,reconstruction,True,True
2024-12,co:cn:002851.SZ,002851.SZ,,0.0,reconstruction,True,True
2024-12,co:cn:300024.SZ,300024.SZ,,0.0,reconstruction,True,True
2024-12,co:cn:300124.SZ,300124.SZ,,0.0,reconstruction,True,True
2024-12,co:cn:601100.SS,601100.SS,,0.0,reconstruction,True,True
2024-12,co:cn:601689.SS,601689.SS,,0.0,reconstruction,True,True
2024-12,co:cn:688017.SS,688017.SS,,0.0,reconstruction,True,True
2024-12,co:cn:688322.SS,688322.SS,,0.0,reconstruction,True,True
2025-01,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2025-01,co:cn:002050.SZ,002050.SZ,0.4,2.0,reconstruction,True,False
2025-01,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2025-01,co:cn:002747.SZ,002747.SZ,0.2,1.0,reconstruction,True,False
2025-01,co:cn:002851.SZ,002851.SZ,0.2,1.0,reconstruction,True,False
2025-01,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2025-01,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2025-01,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2025-01,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2025-01,co:cn:688017.SS,688017.SS,0.2,1.0,reconstruction,True,False
2025-01,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2025-02,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2025-02,co:cn:002050.SZ,002050.SZ,0.0,0.0,reconstruction,True,False
2025-02,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2025-02,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2025-02,co:cn:002851.SZ,002851.SZ,0.0,0.0,reconstruction,True,False
2025-02,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2025-02,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2025-02,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2025-02,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2025-02,co:cn:688017.SS,688017.SS,0.0,0.0,reconstruction,True,False
2025-02,co:cn:688322.SS,688322.SS,1.0,1.0,reconstruction,True,False
2025-03,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2025-03,co:cn:002050.SZ,002050.SZ,0.0,0.0,reconstruction,True,False
2025-03,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2025-03,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2025-03,co:cn:002851.SZ,002851.SZ,1.0,1.0,reconstruction,True,False
2025-03,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2025-03,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2025-03,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2025-03,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2025-03,co:cn:688017.SS,688017.SS,0.0,0.0,reconstruction,True,False
2025-03,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2025-04,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2025-04,co:cn:002050.SZ,002050.SZ,0.0,0.0,reconstruction,True,False
2025-04,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2025-04,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2025-04,co:cn:002851.SZ,002851.SZ,1.0,2.0,reconstruction,True,False
2025-04,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2025-04,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2025-04,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2025-04,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2025-04,co:cn:688017.SS,688017.SS,0.0,0.0,reconstruction,True,False
2025-04,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2025-05,co:cn:002046.SZ,002046.SZ,,0.0,reconstruction,True,True
2025-05,co:cn:002050.SZ,002050.SZ,,0.0,reconstruction,True,True
2025-05,co:cn:002472.SZ,002472.SZ,,0.0,reconstruction,True,True
2025-05,co:cn:002747.SZ,002747.SZ,,0.0,reconstruction,True,True
2025-05,co:cn:002851.SZ,002851.SZ,,0.0,reconstruction,True,True
2025-05,co:cn:300024.SZ,300024.SZ,,0.0,reconstruction,True,True
2025-05,co:cn:300124.SZ,300124.SZ,,0.0,reconstruction,True,True
2025-05,co:cn:601100.SS,601100.SS,,0.0,reconstruction,True,True
2025-05,co:cn:601689.SS,601689.SS,,0.0,reconstruction,True,True
2025-05,co:cn:688017.SS,688017.SS,,0.0,reconstruction,True,True
2025-05,co:cn:688322.SS,688322.SS,,0.0,reconstruction,True,True
2025-06,co:cn:002046.SZ,002046.SZ,,0.0,reconstruction,True,True
2025-06,co:cn:002050.SZ,002050.SZ,,0.0,reconstruction,True,True
2025-06,co:cn:002472.SZ,002472.SZ,,0.0,reconstruction,True,True
2025-06,co:cn:002747.SZ,002747.SZ,,0.0,reconstruction,True,True
2025-06,co:cn:002851.SZ,002851.SZ,,0.0,reconstruction,True,True
2025-06,co:cn:300024.SZ,300024.SZ,,0.0,reconstruction,True,True
2025-06,co:cn:300124.SZ,300124.SZ,,0.0,reconstruction,True,True
2025-06,co:cn:601100.SS,601100.SS,,0.0,reconstruction,True,True
2025-06,co:cn:601689.SS,601689.SS,,0.0,reconstruction,True,True
2025-06,co:cn:688017.SS,688017.SS,,0.0,reconstruction,True,True
2025-06,co:cn:688322.SS,688322.SS,,0.0,reconstruction,True,True
2025-07,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2025-07,co:cn:002050.SZ,002050.SZ,0.0,0.0,reconstruction,True,False
2025-07,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2025-07,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2025-07,co:cn:002851.SZ,002851.SZ,1.0,1.0,reconstruction,True,False
2025-07,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2025-07,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2025-07,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2025-07,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2025-07,co:cn:688017.SS,688017.SS,0.0,0.0,reconstruction,True,False
2025-07,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2025-08,co:cn:002046.SZ,002046.SZ,0.7142857142857143,5.0,reconstruction,True,False
2025-08,co:cn:002050.SZ,002050.SZ,0.0,0.0,reconstruction,True,False
2025-08,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2025-08,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2025-08,co:cn:002851.SZ,002851.SZ,0.2857142857142857,2.0,reconstruction,True,False
2025-08,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2025-08,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2025-08,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2025-08,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2025-08,co:cn:688017.SS,688017.SS,0.0,0.0,reconstruction,True,False
2025-08,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2025-09,co:cn:002046.SZ,002046.SZ,0.2,1.0,reconstruction,True,False
2025-09,co:cn:002050.SZ,002050.SZ,0.6,3.0,reconstruction,True,False
2025-09,co:cn:002472.SZ,002472.SZ,0.2,1.0,reconstruction,True,False
2025-09,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
2025-09,co:cn:002851.SZ,002851.SZ,0.0,0.0,reconstruction,True,False
2025-09,co:cn:300024.SZ,300024.SZ,0.0,0.0,reconstruction,True,False
2025-09,co:cn:300124.SZ,300124.SZ,0.0,0.0,reconstruction,True,False
2025-09,co:cn:601100.SS,601100.SS,0.0,0.0,reconstruction,True,False
2025-09,co:cn:601689.SS,601689.SS,0.0,0.0,reconstruction,True,False
2025-09,co:cn:688017.SS,688017.SS,0.0,0.0,reconstruction,True,False
2025-09,co:cn:688322.SS,688322.SS,0.0,0.0,reconstruction,True,False
2025-10,co:cn:002046.SZ,002046.SZ,0.0,0.0,reconstruction,True,False
2025-10,co:cn:002050.SZ,002050.SZ,1.0,1.0,reconstruction,True,False
2025-10,co:cn:002472.SZ,002472.SZ,0.0,0.0,reconstruction,True,False
2025-10,co:cn:002747.SZ,002747.SZ,0.0,0.0,reconstruction,True,False
