month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-06,co:cn:000977.SZ,000977.SZ,0.0274198381780042,91.5,reconstruction,True,False
2026-06,co:cn:002049.SZ,002049.SZ,0.027449805214264312,91.6,reconstruction,True,False
2026-06,co:cn:002156.SZ,002156.SZ,0.02833383278393767,94.55,reconstruction,True,False
2026-06,co:cn:002281.SZ,002281.SZ,0.027659574468085108,92.3,reconstruction,True,False
2026-06,co:cn:002371.SZ,002371.SZ,0.028213964638897217,94.15,reconstruction,True,False
2026-06,co:cn:002463.SZ,002463.SZ,0.028183997602637102,94.05,reconstruction,True,False
2026-06,co:cn:002837.SZ,002837.SZ,0.028183997602637102,94.05,reconstruction,True,False
2026-06,co:cn:300308.SZ,300308.SZ,0.028468684447108185,95.0,reconstruction,True,False
2026-06,co:cn:300394.SZ,300394.SZ,0.028273898711417444,94.35,reconstruction,True,False
2026-06,co:cn:300442.SZ,300442.SZ,0.025277195085406056,84.35,reconstruction,True,False
2026-06,co:cn:300476.SZ,300476.SZ,0.027809409649385677,92.8,reconstruction,True,False
2026-06,co:cn:300502.SZ,300502.SZ,0.028363799820197787,94.65,reconstruction,True,False
2026-06,co:cn:300620.SZ,300620.SZ,0.027075217261012887,90.35,reconstruction,True,False
2026-06,co:cn:300661.SZ,300661.SZ,0.026161222655079416,87.3,reconstruction,True,False
2026-06,co:cn:300782.SZ,300782.SZ,0.026056338028169018,86.95,reconstruction,True,False
2026-06,co:cn:600460.SS,600460.SS,0.028588552592148642,95.4,reconstruction,True,False
2026-06,co:cn:600584.SS,600584.SS,0.028498651483368297,95.1,reconstruction,True,False
2026-06,co:cn:601138.SS,601138.SS,0.02771950854060534,92.5,reconstruction,True,False
2026-06,co:cn:603019.SS,603019.SS,0.02718010188792329,90.7,reconstruction,True,False
2026-06,co:cn:603501.SS,603501.SS,0.024303266406952354,81.1,reconstruction,True,False
2026-06,co:cn:603986.SS,603986.SS,0.028423733892718014,94.85,reconstruction,True,False
2026-06,co:cn:688008.SS,688008.SS,0.028288882229547504,94.4,reconstruction,True,False
2026-06,co:cn:688012.SS,688012.SS,0.027824393167515733,92.85,reconstruction,True,False
2026-06,co:cn:688019.SS,688019.SS,0.026161222655079416,87.3,reconstruction,True,False
2026-06,co:cn:688041.SS,688041.SS,0.02779442613125562,92.75,reconstruction,True,False
2026-06,co:cn:688072.SS,688072.SS,0.026745579862151637,89.25,reconstruction,True,False
2026-06,co:cn:688082.SS,688082.SS,0.02590650284686845,86.45,reconstruction,True,False
2026-06,co:cn:688120.SS,688120.SS,0.02578663470182799,86.05,reconstruction,True,False
2026-06,co:cn:688126.SS,688126.SS,0.027659574468085108,92.3,reconstruction,True,False
2026-06,co:cn:688249.SS,688249.SS,0.024602936769553493,82.1,reconstruction,True,False
2026-06,co:cn:688256.SS,688256.SS,0.027839376685645796,92.9,reconstruction,True,False
2026-06,co:cn:688347.SS,688347.SS,0.026895415043452206,89.75,reconstruction,True,False
2026-06,co:cn:688385.SS,688385.SS,0.024108480671261617,80.45,reconstruction,True,False
2026-06,co:cn:688702.SS,688702.SS,0.02340425531914894,78.1,reconstruction,True,False
2026-06,co:cn:688795.SS,688795.SS,0.02596643691938868,86.65,reconstruction,True,False
2026-06,co:cn:688802.SS,688802.SS,0.025576865448007195,85.35,reconstruction,True,False
2026-06,co:cn:688981.SS,688981.SS,0.02779442613125562,92.75,reconstruction,True,False
2026-07,co:cn:000977.SZ,000977.SZ,0.028179264555669045,92.92631578947368,reconstruction,True,False
2026-07,co:cn:002049.SZ,002049.SZ,0.027215270684371802,89.74736842105263,reconstruction,True,False
2026-07,co:cn:002156.SZ,002156.SZ,0.028472931562819197,93.89473684210526,reconstruction,True,False
2026-07,co:cn:002281.SZ,002281.SZ,0.02716419816138917,89.57894736842105,reconstruction,True,False
2026-07,co:cn:002371.SZ,002371.SZ,0.02838355464759959,93.60000000000001,reconstruction,True,False
2026-07,co:cn:002463.SZ,002463.SZ,0.027413176710929514,90.39999999999999,reconstruction,True,False
