month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2024-07,co:cn:000977.SZ,000977.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:002049.SZ,002049.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:002156.SZ,002156.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:002281.SZ,002281.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:002371.SZ,002371.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:002463.SZ,002463.SZ,0.25,1.0,reconstruction,True,False
2024-07,co:cn:002837.SZ,002837.SZ,0.25,1.0,reconstruction,True,False
2024-07,co:cn:300308.SZ,300308.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:300394.SZ,300394.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:300442.SZ,300442.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:300476.SZ,300476.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:300502.SZ,300502.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:300620.SZ,300620.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:300661.SZ,300661.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:300782.SZ,300782.SZ,0.0,0.0,reconstruction,True,False
2024-07,co:cn:600460.SS,600460.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:600584.SS,600584.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:601138.SS,601138.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:603019.SS,603019.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:603501.SS,603501.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:603986.SS,603986.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688008.SS,688008.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688012.SS,688012.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688019.SS,688019.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688041.SS,688041.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688072.SS,688072.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688082.SS,688082.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688120.SS,688120.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688126.SS,688126.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688249.SS,688249.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688256.SS,688256.SS,0.25,1.0,reconstruction,True,False
2024-07,co:cn:688347.SS,688347.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688385.SS,688385.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688702.SS,688702.SS,0.25,1.0,reconstruction,True,False
2024-07,co:cn:688795.SS,688795.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688802.SS,688802.SS,0.0,0.0,reconstruction,True,False
2024-07,co:cn:688981.SS,688981.SS,0.0,0.0,reconstruction,True,False
2024-08,co:cn:000977.SZ,000977.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002049.SZ,002049.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002156.SZ,002156.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002281.SZ,002281.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002371.SZ,002371.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002463.SZ,002463.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:002837.SZ,002837.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300308.SZ,300308.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300394.SZ,300394.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300442.SZ,300442.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300476.SZ,300476.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300502.SZ,300502.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300620.SZ,300620.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300661.SZ,300661.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:300782.SZ,300782.SZ,,0.0,reconstruction,True,True
2024-08,co:cn:600460.SS,600460.SS,,0.0,reconstruction,True,True
2024-08,co:cn:600584.SS,600584.SS,,0.0,reconstruction,True,True
2024-08,co:cn:601138.SS,601138.SS,,0.0,reconstruction,True,True
2024-08,co:cn:603019.SS,603019.SS,,0.0,reconstruction,True,True
