month,n_members,n_values,coverage,no_events,era,stamp_session,stamp_pos
2024-01,37,35,0.9459459459459459,False,reconstruction,2024-01-31,642
2024-02,37,35,0.9459459459459459,False,reconstruction,2024-02-29,657
2024-03,37,35,0.9459459459459459,False,reconstruction,2024-03-29,678
2024-04,37,35,0.9459459459459459,False,reconstruction,2024-04-30,698
2024-05,37,35,0.9459459459459459,False,reconstruction,2024-05-31,718
2024-06,37,35,0.9459459459459459,False,reconstruction,2024-06-28,737
2024-07,37,35,0.9459459459459459,False,reconstruction,2024-07-31,760
2024-08,37,35,0.9459459459459459,False,reconstruction,2024-08-30,782
2024-09,37,35,0.9459459459459459,False,reconstruction,2024-09-30,801
2024-10,37,35,0.9459459459459459,False,reconstruction,2024-10-31,819
2024-11,37,35,0.9459459459459459,False,reconstruction,2024-11-29,840
2024-12,37,35,0.9459459459459459,False,reconstruction,2024-12-31,862
2025-01,37,35,0.9459459459459459,False,reconstruction,2025-01-27,880
2025-02,37,35,0.9459459459459459,False,reconstruction,2025-02-28,898
2025-03,37,35,0.9459459459459459,False,reconstruction,2025-03-31,919
2025-04,37,35,0.9459459459459459,False,reconstruction,2025-04-30,940
2025-05,37,35,0.9459459459459459,False,reconstruction,2025-05-30,959
2025-06,37,35,0.9459459459459459,False,reconstruction,2025-06-30,979
2025-07,37,35,0.9459459459459459,False,reconstruction,2025-07-31,1002
2025-08,37,35,0.9459459459459459,False,reconstruction,2025-08-29,1023
2025-09,37,35,0.9459459459459459,False,reconstruction,2025-09-30,1045
2025-10,37,35,0.9459459459459459,False,reconstruction,2025-10-31,1062
2025-11,37,35,0.9459459459459459,False,reconstruction,2025-11-28,1082
2025-12,37,35,0.9459459459459459,False,reconstruction,2025-12-31,1105
2026-01,37,35,0.9459459459459459,False,reconstruction,2026-01-30,1125
2026-02,37,37,1.0,False,reconstruction,2026-02-27,1139
2026-03,37,37,1.0,False,reconstruction,2026-03-31,1161
2026-04,37,37,1.0,False,reconstruction,2026-04-30,1182
2026-05,37,37,1.0,False,reconstruction,2026-05-29,1200
2026-06,37,37,1.0,False,reconstruction,2026-06-30,1221
2026-07,37,37,1.0,False,reconstruction,2026-07-31,1244
2026-08,37,37,1.0,False,reconstruction,2026-08-11,1251
