month,node_id,symbol,value,era,in_universe,stamp_session
2024-01,co:cn:000977.SZ,000977.SZ,0.6760158426857256,reconstruction,True,2024-01-31
2024-01,co:cn:002049.SZ,002049.SZ,0.7922828633046607,reconstruction,True,2024-01-31
2024-01,co:cn:002156.SZ,002156.SZ,0.5964596049914783,reconstruction,True,2024-01-31
2024-01,co:cn:002281.SZ,002281.SZ,0.7964456669881249,reconstruction,True,2024-01-31
2024-01,co:cn:002371.SZ,002371.SZ,0.6722004976767779,reconstruction,True,2024-01-31
2024-01,co:cn:002463.SZ,002463.SZ,0.6816868744580854,reconstruction,True,2024-01-31
2024-01,co:cn:002837.SZ,002837.SZ,0.6843767791076483,reconstruction,True,2024-01-31
2024-01,co:cn:300308.SZ,300308.SZ,0.7651272382359404,reconstruction,True,2024-01-31
2024-01,co:cn:300394.SZ,300394.SZ,0.6863650630389485,reconstruction,True,2024-01-31
2024-01,co:cn:300442.SZ,300442.SZ,0.6464148336249109,reconstruction,True,2024-01-31
2024-01,co:cn:300476.SZ,300476.SZ,0.8368540810879095,reconstruction,True,2024-01-31
2024-01,co:cn:300502.SZ,300502.SZ,0.7114153041154156,reconstruction,True,2024-01-31
2024-01,co:cn:300620.SZ,300620.SZ,0.6727129899814378,reconstruction,True,2024-01-31
2024-01,co:cn:300661.SZ,300661.SZ,0.5162058069766521,reconstruction,True,2024-01-31
2024-01,co:cn:300782.SZ,300782.SZ,0.555109087077816,reconstruction,True,2024-01-31
2024-01,co:cn:600460.SS,600460.SS,0.7302329101214651,reconstruction,True,2024-01-31
2024-01,co:cn:600584.SS,600584.SS,0.7829205226094661,reconstruction,True,2024-01-31
2024-01,co:cn:601138.SS,601138.SS,0.716964356631934,reconstruction,True,2024-01-31
2024-01,co:cn:603019.SS,603019.SS,0.7162262738491404,reconstruction,True,2024-01-31
2024-01,co:cn:603501.SS,603501.SS,0.5917900832216423,reconstruction,True,2024-01-31
2024-01,co:cn:603986.SS,603986.SS,0.7203323254940259,reconstruction,True,2024-01-31
2024-01,co:cn:688008.SS,688008.SS,0.6232698039677352,reconstruction,True,2024-01-31
2024-01,co:cn:688012.SS,688012.SS,0.593196579673925,reconstruction,True,2024-01-31
2024-01,co:cn:688019.SS,688019.SS,0.6700287807418264,reconstruction,True,2024-01-31
2024-01,co:cn:688041.SS,688041.SS,0.6087540659188191,reconstruction,True,2024-01-31
2024-01,co:cn:688072.SS,688072.SS,0.5425021357672192,reconstruction,True,2024-01-31
2024-01,co:cn:688082.SS,688082.SS,0.638621088227188,reconstruction,True,2024-01-31
2024-01,co:cn:688120.SS,688120.SS,0.6346391879803215,reconstruction,True,2024-01-31
2024-01,co:cn:688126.SS,688126.SS,0.6251316965232503,reconstruction,True,2024-01-31
2024-01,co:cn:688249.SS,688249.SS,0.6195729061765255,reconstruction,True,2024-01-31
2024-01,co:cn:688256.SS,688256.SS,0.572752993526507,reconstruction,True,2024-01-31
2024-01,co:cn:688347.SS,688347.SS,0.5982361001803274,reconstruction,True,2024-01-31
2024-01,co:cn:688385.SS,688385.SS,0.777465053079896,reconstruction,True,2024-01-31
2024-01,co:cn:688702.SS,688702.SS,0.7199358381736142,reconstruction,True,2024-01-31
2024-01,co:cn:688795.SS,688795.SS,,reconstruction,True,2024-01-31
2024-01,co:cn:688802.SS,688802.SS,,reconstruction,True,2024-01-31
2024-01,co:cn:688981.SS,688981.SS,0.5770696700311139,reconstruction,True,2024-01-31
2024-02,co:cn:000977.SZ,000977.SZ,0.8351914357720547,reconstruction,True,2024-02-29
2024-02,co:cn:002049.SZ,002049.SZ,0.8250447723015426,reconstruction,True,2024-02-29
2024-02,co:cn:002156.SZ,002156.SZ,0.6713983090969641,reconstruction,True,2024-02-29
2024-02,co:cn:002281.SZ,002281.SZ,0.8562458558703145,reconstruction,True,2024-02-29
2024-02,co:cn:002371.SZ,002371.SZ,0.6751754286185354,reconstruction,True,2024-02-29
2024-02,co:cn:002463.SZ,002463.SZ,0.7827978264155624,reconstruction,True,2024-02-29
2024-02,co:cn:002837.SZ,002837.SZ,0.7286475274767165,reconstruction,True,2024-02-29
2024-02,co:cn:300308.SZ,300308.SZ,0.7811410140536513,reconstruction,True,2024-02-29
2024-02,co:cn:300394.SZ,300394.SZ,0.6736020678204917,reconstruction,True,2024-02-29
2024-02,co:cn:300442.SZ,300442.SZ,0.722967199996092,reconstruction,True,2024-02-29
