month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-07,co:us:ALAB,ALAB,0.04039301310043668,37.0,reconstruction,True,False
2026-07,co:us:AMAT,AMAT,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:AMD,AMD,0.07969432314410481,73.0,reconstruction,True,False
2026-07,co:us:ANET,ANET,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:APH,APH,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:ARM,ARM,0.08406113537117904,77.0,reconstruction,True,False
2026-07,co:us:AVGO,AVGO,0.06222707423580786,57.0,reconstruction,True,False
2026-07,co:us:CBRS,CBRS,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:CIEN,CIEN,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:COHR,COHR,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:CRDO,CRDO,0.04039301310043668,37.0,reconstruction,True,False
2026-07,co:us:CRWV,CRWV,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:DELL,DELL,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:GLW,GLW,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:KLAC,KLAC,0.04475982532751092,41.0,reconstruction,True,False
2026-07,co:us:LITE,LITE,0.03275109170305677,30.0,reconstruction,True,False
2026-07,co:us:LRCX,LRCX,0.004366812227074236,4.0,reconstruction,True,False
2026-07,co:us:MPWR,MPWR,,,reconstruction,False,False
2026-07,co:us:MRVL,MRVL,,,reconstruction,False,False
2026-07,co:us:MU,MU,,,reconstruction,False,False
2026-07,co:us:NBIS,NBIS,,,reconstruction,False,False
2026-07,co:us:NVDA,NVDA,0.08296943231441048,76.0,reconstruction,True,False
2026-07,co:us:QCOM,QCOM,0.06986899563318777,64.0,reconstruction,True,False
2026-07,co:us:SMCI,SMCI,0.055676855895196505,51.0,reconstruction,True,False
2026-07,co:us:TER,TER,,,reconstruction,False,False
2026-07,co:us:VRT,VRT,,,reconstruction,False,False
2026-08,co:us:ALAB,ALAB,0.03598971722365039,14.0,reconstruction,True,False
2026-08,co:us:AMAT,AMAT,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:AMD,AMD,0.07455012853470437,29.0,reconstruction,True,False
2026-08,co:us:ANET,ANET,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:APH,APH,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:ARM,ARM,0.07969151670951156,31.0,reconstruction,True,False
2026-08,co:us:AVGO,AVGO,0.06683804627249357,26.0,reconstruction,True,False
2026-08,co:us:CBRS,CBRS,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:CIEN,CIEN,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:COHR,COHR,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:CRDO,CRDO,0.03598971722365039,14.0,reconstruction,True,False
2026-08,co:us:CRWV,CRWV,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:DELL,DELL,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:GLW,GLW,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:KLAC,KLAC,0.04884318766066838,19.0,reconstruction,True,False
2026-08,co:us:LITE,LITE,0.0,0.0,reconstruction,True,False
2026-08,co:us:LRCX,LRCX,0.0,0.0,reconstruction,True,False
2026-08,co:us:MPWR,MPWR,,,reconstruction,False,False
2026-08,co:us:MRVL,MRVL,,,reconstruction,False,False
2026-08,co:us:MU,MU,,,reconstruction,False,False
2026-08,co:us:NBIS,NBIS,,,reconstruction,False,False
2026-08,co:us:NVDA,NVDA,0.07969151670951156,31.0,reconstruction,True,False
2026-08,co:us:QCOM,QCOM,0.07197943444730077,28.0,reconstruction,True,False
2026-08,co:us:SMCI,SMCI,0.06683804627249357,26.0,reconstruction,True,False
2026-08,co:us:TER,TER,,,reconstruction,False,False
2026-08,co:us:VRT,VRT,,,reconstruction,False,False
