month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-06,co:us:ALAB,ALAB,,,reconstruction,False,False
2026-06,co:us:AMAT,AMAT,0.0014367816091954023,11.0,reconstruction,True,False
2026-06,co:us:AMD,AMD,0.07327586206896551,561.0,reconstruction,True,False
2026-06,co:us:ANET,ANET,0.021551724137931036,165.0,reconstruction,True,False
2026-06,co:us:APH,APH,0.0014367816091954023,11.0,reconstruction,True,False
2026-06,co:us:ARM,ARM,0.0014367816091954023,11.0,reconstruction,True,False
2026-06,co:us:AVGO,AVGO,,,reconstruction,False,False
2026-06,co:us:CBRS,CBRS,,,reconstruction,False,False
2026-06,co:us:CIEN,CIEN,,,reconstruction,False,False
2026-06,co:us:COHR,COHR,,,reconstruction,False,False
2026-06,co:us:CRDO,CRDO,,,reconstruction,False,False
2026-06,co:us:CRWV,CRWV,,,reconstruction,False,False
2026-06,co:us:DELL,DELL,0.0028735632183908046,22.0,reconstruction,True,False
2026-06,co:us:GLW,GLW,,,reconstruction,False,False
2026-06,co:us:KLAC,KLAC,,,reconstruction,False,False
2026-06,co:us:LITE,LITE,0.0014367816091954023,11.0,reconstruction,True,False
2026-06,co:us:LRCX,LRCX,,,reconstruction,False,False
2026-06,co:us:MPWR,MPWR,,,reconstruction,False,False
2026-06,co:us:MRVL,MRVL,0.0028735632183908046,22.0,reconstruction,True,False
2026-06,co:us:MU,MU,,,reconstruction,False,False
2026-06,co:us:NBIS,NBIS,0.05316091954022988,407.0,reconstruction,True,False
2026-06,co:us:NVDA,NVDA,0.2974137931034483,2277.0,reconstruction,True,False
2026-06,co:us:QCOM,QCOM,0.0028735632183908046,22.0,reconstruction,True,False
2026-06,co:us:SMCI,SMCI,0.5359195402298851,4103.0,reconstruction,True,False
2026-06,co:us:TER,TER,,,reconstruction,False,False
2026-06,co:us:VRT,VRT,0.004310344827586207,33.0,reconstruction,True,False
2026-07,co:us:ALAB,ALAB,,,reconstruction,False,False
2026-07,co:us:AMAT,AMAT,0.0014367816091954023,25.0,reconstruction,True,False
2026-07,co:us:AMD,AMD,0.07327586206896551,1275.0,reconstruction,True,False
2026-07,co:us:ANET,ANET,0.021551724137931036,375.0,reconstruction,True,False
