month,n_members,n_values,coverage,no_events,era,stamp_session,stamp_pos
2023-06,23,21,0.9130434782608695,False,reconstruction,2023-06-30,2389
2023-07,23,21,0.9130434782608695,False,reconstruction,2023-07-31,2409
2023-08,23,21,0.9130434782608695,False,reconstruction,2023-08-31,2432
2023-09,23,21,0.9130434782608695,False,reconstruction,2023-09-29,2452
2023-10,23,21,0.9130434782608695,False,reconstruction,2023-10-31,2474
2023-11,23,22,0.9565217391304348,False,reconstruction,2023-11-30,2495
2023-12,23,22,0.9565217391304348,False,reconstruction,2023-12-29,2515
2024-01,23,22,0.9565217391304348,False,reconstruction,2024-01-31,2536
2024-02,23,22,0.9565217391304348,False,reconstruction,2024-02-29,2556
2024-03,23,22,0.9565217391304348,False,reconstruction,2024-03-28,2576
2024-04,23,22,0.9565217391304348,False,reconstruction,2024-04-30,2598
2024-05,23,23,1.0,False,reconstruction,2024-05-31,2620
2024-06,23,23,1.0,False,reconstruction,2024-06-28,2639
2024-07,23,23,1.0,False,reconstruction,2024-07-31,2661
2024-08,23,23,1.0,False,reconstruction,2024-08-30,2683
2024-09,23,23,1.0,False,reconstruction,2024-09-30,2703
2024-10,24,23,0.9583333333333334,False,reconstruction,2024-10-31,2726
2024-11,24,23,0.9583333333333334,False,reconstruction,2024-11-29,2746
2024-12,24,24,1.0,False,reconstruction,2024-12-31,2767
2025-01,24,24,1.0,False,reconstruction,2025-01-31,2787
2025-02,24,24,1.0,False,reconstruction,2025-02-28,2806
2025-03,25,24,0.96,False,reconstruction,2025-03-31,2827
2025-04,25,24,0.96,False,reconstruction,2025-04-30,2848
2025-05,25,25,1.0,False,reconstruction,2025-05-30,2869
2025-06,25,25,1.0,False,reconstruction,2025-06-30,2889
2025-07,25,25,1.0,False,reconstruction,2025-07-31,2911
2025-08,25,25,1.0,False,reconstruction,2025-08-29,2932
2025-09,25,25,1.0,False,reconstruction,2025-09-30,2953
2025-10,25,25,1.0,False,reconstruction,2025-10-31,2976
2025-11,25,25,1.0,False,reconstruction,2025-11-28,2995
2025-12,25,25,1.0,False,reconstruction,2025-12-31,3017
2026-01,25,25,1.0,False,reconstruction,2026-01-30,3037
2026-02,25,25,1.0,False,reconstruction,2026-02-27,3056
2026-03,25,25,1.0,False,reconstruction,2026-03-31,3078
2026-04,25,25,1.0,False,reconstruction,2026-04-30,3099
2026-05,26,25,0.9615384615384616,False,reconstruction,2026-05-29,3119
2026-06,26,25,0.9615384615384616,False,reconstruction,2026-06-30,3140
2026-07,26,26,1.0,False,reconstruction,2026-07-31,3162
2026-08,26,26,1.0,False,reconstruction,2026-08-10,3168
