month,n_members,n_values,coverage,no_events,era,stamp_session
2023-06,23,21,0.9130434782608695,False,reconstruction,2023-06-30
2023-07,23,21,0.9130434782608695,False,reconstruction,2023-07-31
2023-08,23,21,0.9130434782608695,False,reconstruction,2023-08-31
2023-09,23,21,0.9130434782608695,False,reconstruction,2023-09-29
2023-10,23,21,0.9130434782608695,False,reconstruction,2023-10-31
2023-11,23,22,0.9565217391304348,False,reconstruction,2023-11-30
2023-12,23,22,0.9565217391304348,False,reconstruction,2023-12-29
2024-01,23,22,0.9565217391304348,False,reconstruction,2024-01-31
2024-02,23,22,0.9565217391304348,False,reconstruction,2024-02-29
2024-03,23,22,0.9565217391304348,False,reconstruction,2024-03-28
2024-04,23,22,0.9565217391304348,False,reconstruction,2024-04-30
2024-05,23,23,1.0,False,reconstruction,2024-05-31
2024-06,23,23,1.0,False,reconstruction,2024-06-28
2024-07,23,23,1.0,False,reconstruction,2024-07-31
2024-08,23,23,1.0,False,reconstruction,2024-08-30
2024-09,23,23,1.0,False,reconstruction,2024-09-30
2024-10,24,23,0.9583333333333334,False,reconstruction,2024-10-31
2024-11,24,23,0.9583333333333334,False,reconstruction,2024-11-29
2024-12,24,24,1.0,False,reconstruction,2024-12-31
2025-01,24,24,1.0,False,reconstruction,2025-01-31
2025-02,24,24,1.0,False,reconstruction,2025-02-28
2025-03,25,24,0.96,False,reconstruction,2025-03-31
2025-04,25,24,0.96,False,reconstruction,2025-04-30
2025-05,25,25,1.0,False,reconstruction,2025-05-30
2025-06,25,25,1.0,False,reconstruction,2025-06-30
2025-07,25,25,1.0,False,reconstruction,2025-07-31
2025-08,25,25,1.0,False,reconstruction,2025-08-29
2025-09,25,25,1.0,False,reconstruction,2025-09-30
2025-10,25,25,1.0,False,reconstruction,2025-10-31
2025-11,25,25,1.0,False,reconstruction,2025-11-28
2025-12,25,25,1.0,False,reconstruction,2025-12-31
2026-01,25,25,1.0,False,reconstruction,2026-01-30
2026-02,25,25,1.0,False,reconstruction,2026-02-27
2026-03,25,25,1.0,False,reconstruction,2026-03-31
2026-04,25,25,1.0,False,reconstruction,2026-04-30
2026-05,26,25,0.9615384615384616,False,reconstruction,2026-05-29
2026-06,26,25,0.9615384615384616,False,reconstruction,2026-06-30
2026-07,26,26,1.0,False,reconstruction,2026-07-31
2026-08,26,26,1.0,False,reconstruction,2026-08-10
