month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-07,co:us:ASTS,ASTS,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:AVAV,AVAV,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:BA,BA,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:CW,CW,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:DRS,DRS,0.07272727272727272,40.0,reconstruction,True,False
2026-07,co:us:GD,GD,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:GE,GE,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:HEI,HEI,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:HII,HII,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:HWM,HWM,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:KTOS,KTOS,0.07454545454545454,41.0,reconstruction,True,False
2026-07,co:us:LDOS,LDOS,0.06909090909090909,38.0,reconstruction,True,False
2026-07,co:us:LHX,LHX,0.06909090909090909,38.0,reconstruction,True,False
2026-07,co:us:LMT,LMT,0.04363636363636364,24.0,reconstruction,True,False
2026-07,co:us:MRCY,MRCY,,,reconstruction,False,False
2026-07,co:us:NOC,NOC,,,reconstruction,False,False
2026-07,co:us:RKLB,RKLB,,,reconstruction,False,False
2026-07,co:us:RTX,RTX,,,reconstruction,False,False
2026-07,co:us:TDG,TDG,,,reconstruction,False,False
2026-07,co:us:TDY,TDY,,,reconstruction,False,False
2026-07,co:us:TXT,TXT,,,reconstruction,False,False
2026-08,co:us:ASTS,ASTS,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:AVAV,AVAV,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:BA,BA,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:CW,CW,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:DRS,DRS,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:GD,GD,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:GE,GE,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:HEI,HEI,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:HII,HII,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:HWM,HWM,0.0945273631840796,19.0,reconstruction,True,False
2026-08,co:us:KTOS,KTOS,0.05472636815920398,11.0,reconstruction,True,False
2026-08,co:us:LDOS,LDOS,0.0,0.0,reconstruction,True,False
2026-08,co:us:LHX,LHX,0.0,0.0,reconstruction,True,False
2026-08,co:us:LMT,LMT,0.0,0.0,reconstruction,True,False
2026-08,co:us:MRCY,MRCY,,,reconstruction,False,False
2026-08,co:us:NOC,NOC,,,reconstruction,False,False
2026-08,co:us:RKLB,RKLB,,,reconstruction,False,False
2026-08,co:us:RTX,RTX,,,reconstruction,False,False
2026-08,co:us:TDG,TDG,,,reconstruction,False,False
2026-08,co:us:TDY,TDY,,,reconstruction,False,False
2026-08,co:us:TXT,TXT,,,reconstruction,False,False
