month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-06,co:us:ASTS,ASTS,0.42105263157894735,176.0,reconstruction,True,False
2026-06,co:us:AVAV,AVAV,,,reconstruction,False,False
2026-06,co:us:BA,BA,0.13157894736842105,55.0,reconstruction,True,False
2026-06,co:us:CW,CW,,,reconstruction,False,False
2026-06,co:us:DRS,DRS,,,reconstruction,False,False
2026-06,co:us:GD,GD,,,reconstruction,False,False
2026-06,co:us:GE,GE,,,reconstruction,False,False
2026-06,co:us:HEI,HEI,,,reconstruction,False,False
2026-06,co:us:HII,HII,,,reconstruction,False,False
2026-06,co:us:HWM,HWM,,,reconstruction,False,False
2026-06,co:us:KTOS,KTOS,,,reconstruction,False,False
2026-06,co:us:LDOS,LDOS,,,reconstruction,False,False
2026-06,co:us:LHX,LHX,,,reconstruction,False,False
2026-06,co:us:LMT,LMT,,,reconstruction,False,False
2026-06,co:us:MRCY,MRCY,,,reconstruction,False,False
2026-06,co:us:NOC,NOC,,,reconstruction,False,False
2026-06,co:us:RKLB,RKLB,0.4473684210526316,187.0,reconstruction,True,False
2026-06,co:us:RTX,RTX,,,reconstruction,False,False
2026-06,co:us:TDG,TDG,,,reconstruction,False,False
2026-06,co:us:TDY,TDY,,,reconstruction,False,False
2026-06,co:us:TXT,TXT,,,reconstruction,False,False
2026-07,co:us:ASTS,ASTS,0.42105263157894735,400.0,reconstruction,True,False
2026-07,co:us:AVAV,AVAV,,,reconstruction,False,False
2026-07,co:us:BA,BA,0.13157894736842105,125.0,reconstruction,True,False
2026-07,co:us:CW,CW,,,reconstruction,False,False
2026-07,co:us:DRS,DRS,,,reconstruction,False,False
2026-07,co:us:GD,GD,,,reconstruction,False,False
2026-07,co:us:GE,GE,,,reconstruction,False,False
2026-07,co:us:HEI,HEI,,,reconstruction,False,False
2026-07,co:us:HII,HII,,,reconstruction,False,False
2026-07,co:us:HWM,HWM,,,reconstruction,False,False
2026-07,co:us:KTOS,KTOS,,,reconstruction,False,False
2026-07,co:us:LDOS,LDOS,,,reconstruction,False,False
2026-07,co:us:LHX,LHX,,,reconstruction,False,False
2026-07,co:us:LMT,LMT,,,reconstruction,False,False
2026-07,co:us:MRCY,MRCY,,,reconstruction,False,False
2026-07,co:us:NOC,NOC,,,reconstruction,False,False
2026-07,co:us:RKLB,RKLB,0.4473684210526316,425.0,reconstruction,True,False
2026-07,co:us:RTX,RTX,,,reconstruction,False,False
2026-07,co:us:TDG,TDG,,,reconstruction,False,False
2026-07,co:us:TDY,TDY,,,reconstruction,False,False
2026-07,co:us:TXT,TXT,,,reconstruction,False,False
2026-08,co:us:ASTS,ASTS,0.42105263157894735,128.0,reconstruction,True,False
2026-08,co:us:AVAV,AVAV,,,reconstruction,False,False
2026-08,co:us:BA,BA,0.13157894736842105,40.0,reconstruction,True,False
2026-08,co:us:CW,CW,,,reconstruction,False,False
2026-08,co:us:DRS,DRS,,,reconstruction,False,False
2026-08,co:us:GD,GD,,,reconstruction,False,False
2026-08,co:us:GE,GE,,,reconstruction,False,False
2026-08,co:us:HEI,HEI,,,reconstruction,False,False
2026-08,co:us:HII,HII,,,reconstruction,False,False
2026-08,co:us:HWM,HWM,,,reconstruction,False,False
2026-08,co:us:KTOS,KTOS,,,reconstruction,False,False
2026-08,co:us:LDOS,LDOS,,,reconstruction,False,False
2026-08,co:us:LHX,LHX,,,reconstruction,False,False
2026-08,co:us:LMT,LMT,,,reconstruction,False,False
2026-08,co:us:MRCY,MRCY,,,reconstruction,False,False
2026-08,co:us:NOC,NOC,,,reconstruction,False,False
2026-08,co:us:RKLB,RKLB,0.4473684210526316,136.0,reconstruction,True,False
2026-08,co:us:RTX,RTX,,,reconstruction,False,False
2026-08,co:us:TDG,TDG,,,reconstruction,False,False
2026-08,co:us:TDY,TDY,,,reconstruction,False,False
2026-08,co:us:TXT,TXT,,,reconstruction,False,False
