month,node_id,symbol,value,era,in_universe,stamp_session
2023-06,co:us:ASTS,ASTS,-0.05021662611739452,reconstruction,True,2023-06-30
2023-06,co:us:AVAV,AVAV,0.2786326113564136,reconstruction,True,2023-06-30
2023-06,co:us:AXON,AXON,0.12720890241249144,reconstruction,True,2023-06-30
2023-06,co:us:BA,BA,0.5633667143823685,reconstruction,True,2023-06-30
2023-06,co:us:CW,CW,0.7231677921342594,reconstruction,True,2023-06-30
2023-06,co:us:DRS,DRS,0.2976598817888206,reconstruction,True,2023-06-30
2023-06,co:us:GD,GD,0.7800626146397386,reconstruction,True,2023-06-30
2023-06,co:us:GE,GE,0.5487431748157312,reconstruction,True,2023-06-30
2023-06,co:us:HEI,HEI,0.6220945006832019,reconstruction,True,2023-06-30
2023-06,co:us:HII,HII,0.6937252946011119,reconstruction,True,2023-06-30
2023-06,co:us:HWM,HWM,0.6865776447484633,reconstruction,True,2023-06-30
2023-06,co:us:KTOS,KTOS,0.4355010269533054,reconstruction,True,2023-06-30
2023-06,co:us:LDOS,LDOS,0.4522283655185986,reconstruction,True,2023-06-30
2023-06,co:us:LHX,LHX,0.7701861880524824,reconstruction,True,2023-06-30
2023-06,co:us:LMT,LMT,0.647305540893881,reconstruction,True,2023-06-30
2023-06,co:us:MRCY,MRCY,0.3295066131559774,reconstruction,True,2023-06-30
2023-06,co:us:NOC,NOC,0.6834725156157316,reconstruction,True,2023-06-30
2023-06,co:us:RKLB,RKLB,0.44947986135601187,reconstruction,True,2023-06-30
2023-06,co:us:RTX,RTX,0.7511436251790926,reconstruction,True,2023-06-30
2023-06,co:us:TDG,TDG,0.5855629667904079,reconstruction,True,2023-06-30
2023-06,co:us:TDY,TDY,0.6363561722369182,reconstruction,True,2023-06-30
2023-06,co:us:TXT,TXT,0.6659089921150492,reconstruction,True,2023-06-30
2023-07,co:us:ASTS,ASTS,0.10929722292050144,reconstruction,True,2023-07-31
2023-07,co:us:AVAV,AVAV,0.38355127530144817,reconstruction,True,2023-07-31
2023-07,co:us:AXON,AXON,0.0992492460927675,reconstruction,True,2023-07-31
2023-07,co:us:BA,BA,0.4034942485595185,reconstruction,True,2023-07-31
2023-07,co:us:CW,CW,0.6067843570219001,reconstruction,True,2023-07-31
2023-07,co:us:DRS,DRS,0.46797536605329626,reconstruction,True,2023-07-31
2023-07,co:us:GD,GD,0.7515650030488717,reconstruction,True,2023-07-31
2023-07,co:us:GE,GE,0.43345020888896924,reconstruction,True,2023-07-31
2023-07,co:us:HEI,HEI,0.5862500275561995,reconstruction,True,2023-07-31
2023-07,co:us:HII,HII,0.6692467431292223,reconstruction,True,2023-07-31
