month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-06,co:us:AFRM,AFRM,0.014285714285714285,11.0,reconstruction,True,False
2026-06,co:us:AXP,AXP,,,reconstruction,False,False
2026-06,co:us:COF,COF,,,reconstruction,False,False
2026-06,co:us:CRCL,CRCL,,,reconstruction,False,False
2026-06,co:us:FI,FI,,,reconstruction,False,False
2026-06,co:us:FIS,FIS,,,reconstruction,False,False
2026-06,co:us:FLYW,FLYW,,,reconstruction,False,False
2026-06,co:us:FOUR,FOUR,0.014285714285714285,11.0,reconstruction,True,False
2026-06,co:us:GPN,GPN,,,reconstruction,False,False
2026-06,co:us:HOOD,HOOD,0.2714285714285714,209.0,reconstruction,True,False
2026-06,co:us:JKHY,JKHY,,,reconstruction,False,False
2026-06,co:us:MA,MA,,,reconstruction,False,False
2026-06,co:us:MQ,MQ,,,reconstruction,False,False
2026-06,co:us:PYPL,PYPL,,,reconstruction,False,False
2026-06,co:us:SOFI,SOFI,0.02857142857142857,22.0,reconstruction,True,False
2026-06,co:us:SYF,SYF,,,reconstruction,False,False
2026-06,co:us:TOST,TOST,0.05714285714285714,44.0,reconstruction,True,False
2026-06,co:us:UPST,UPST,,,reconstruction,False,False
2026-06,co:us:V,V,0.6142857142857143,473.0,reconstruction,True,False
2026-06,co:us:WU,WU,,,reconstruction,False,False
2026-06,co:us:XYZ,XYZ,,,reconstruction,False,False
2026-07,co:us:AFRM,AFRM,0.014285714285714285,25.0,reconstruction,True,False
2026-07,co:us:AXP,AXP,,,reconstruction,False,False
2026-07,co:us:COF,COF,,,reconstruction,False,False
2026-07,co:us:CRCL,CRCL,,,reconstruction,False,False
2026-07,co:us:FI,FI,,,reconstruction,False,False
2026-07,co:us:FIS,FIS,,,reconstruction,False,False
2026-07,co:us:FLYW,FLYW,,,reconstruction,False,False
2026-07,co:us:FOUR,FOUR,0.014285714285714285,25.0,reconstruction,True,False
2026-07,co:us:GPN,GPN,,,reconstruction,False,False
2026-07,co:us:HOOD,HOOD,0.2714285714285714,475.0,reconstruction,True,False
2026-07,co:us:JKHY,JKHY,,,reconstruction,False,False
2026-07,co:us:MA,MA,,,reconstruction,False,False
2026-07,co:us:MQ,MQ,,,reconstruction,False,False
2026-07,co:us:PYPL,PYPL,,,reconstruction,False,False
2026-07,co:us:SOFI,SOFI,0.02857142857142857,50.0,reconstruction,True,False
2026-07,co:us:SYF,SYF,,,reconstruction,False,False
2026-07,co:us:TOST,TOST,0.05714285714285714,100.0,reconstruction,True,False
2026-07,co:us:UPST,UPST,,,reconstruction,False,False
2026-07,co:us:V,V,0.6142857142857143,1075.0,reconstruction,True,False
2026-07,co:us:WU,WU,,,reconstruction,False,False
2026-07,co:us:XYZ,XYZ,,,reconstruction,False,False
2026-08,co:us:AFRM,AFRM,0.014285714285714285,8.0,reconstruction,True,False
2026-08,co:us:AXP,AXP,,,reconstruction,False,False
2026-08,co:us:COF,COF,,,reconstruction,False,False
2026-08,co:us:CRCL,CRCL,,,reconstruction,False,False
2026-08,co:us:FI,FI,,,reconstruction,False,False
2026-08,co:us:FIS,FIS,,,reconstruction,False,False
2026-08,co:us:FLYW,FLYW,,,reconstruction,False,False
2026-08,co:us:FOUR,FOUR,0.014285714285714285,8.0,reconstruction,True,False
2026-08,co:us:GPN,GPN,,,reconstruction,False,False
2026-08,co:us:HOOD,HOOD,0.2714285714285714,152.0,reconstruction,True,False
2026-08,co:us:JKHY,JKHY,,,reconstruction,False,False
2026-08,co:us:MA,MA,,,reconstruction,False,False
2026-08,co:us:MQ,MQ,,,reconstruction,False,False
2026-08,co:us:PYPL,PYPL,,,reconstruction,False,False
2026-08,co:us:SOFI,SOFI,0.02857142857142857,16.0,reconstruction,True,False
2026-08,co:us:SYF,SYF,,,reconstruction,False,False
2026-08,co:us:TOST,TOST,0.05714285714285714,32.0,reconstruction,True,False
2026-08,co:us:UPST,UPST,,,reconstruction,False,False
2026-08,co:us:V,V,0.6142857142857143,344.0,reconstruction,True,False
2026-08,co:us:WU,WU,,,reconstruction,False,False
2026-08,co:us:XYZ,XYZ,,,reconstruction,False,False
