month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-07,co:us:BWXT,BWXT,0.3333333333333333,41.0,reconstruction,True,False
2026-07,co:us:CEG,CEG,0.3333333333333333,41.0,reconstruction,True,False
2026-07,co:us:GEV,GEV,0.3333333333333333,41.0,reconstruction,True,False
2026-07,co:us:NNE,NNE,,,reconstruction,False,False
2026-07,co:us:NRG,NRG,,,reconstruction,False,False
2026-07,co:us:OKLO,OKLO,,,reconstruction,False,False
2026-07,co:us:SMR,SMR,,,reconstruction,False,False
2026-07,co:us:TLN,TLN,,,reconstruction,False,False
2026-07,co:us:VST,VST,,,reconstruction,False,False
2026-08,co:us:BWXT,BWXT,0.3333333333333333,19.0,reconstruction,True,False
2026-08,co:us:CEG,CEG,0.3333333333333333,19.0,reconstruction,True,False
2026-08,co:us:GEV,GEV,0.3333333333333333,19.0,reconstruction,True,False
2026-08,co:us:NNE,NNE,,,reconstruction,False,False
2026-08,co:us:NRG,NRG,,,reconstruction,False,False
2026-08,co:us:OKLO,OKLO,,,reconstruction,False,False
2026-08,co:us:SMR,SMR,,,reconstruction,False,False
2026-08,co:us:TLN,TLN,,,reconstruction,False,False
2026-08,co:us:VST,VST,,,reconstruction,False,False
