month,node_id,symbol,value,magnitude,era,in_universe,no_events_month
2026-06,co:us:BWXT,BWXT,,,reconstruction,False,False
2026-06,co:us:CEG,CEG,,,reconstruction,False,False
2026-06,co:us:GEV,GEV,,,reconstruction,False,False
2026-06,co:us:NNE,NNE,,,reconstruction,False,False
2026-06,co:us:NRG,NRG,,,reconstruction,False,False
2026-06,co:us:OKLO,OKLO,0.875,231.0,reconstruction,True,False
2026-06,co:us:SMR,SMR,0.08333333333333333,22.0,reconstruction,True,False
2026-06,co:us:TLN,TLN,0.041666666666666664,11.0,reconstruction,True,False
2026-06,co:us:VST,VST,,,reconstruction,False,False
2026-07,co:us:BWXT,BWXT,,,reconstruction,False,False
2026-07,co:us:CEG,CEG,,,reconstruction,False,False
2026-07,co:us:GEV,GEV,,,reconstruction,False,False
2026-07,co:us:NNE,NNE,,,reconstruction,False,False
2026-07,co:us:NRG,NRG,,,reconstruction,False,False
2026-07,co:us:OKLO,OKLO,0.875,525.0,reconstruction,True,False
2026-07,co:us:SMR,SMR,0.08333333333333333,50.0,reconstruction,True,False
2026-07,co:us:TLN,TLN,0.041666666666666664,25.0,reconstruction,True,False
2026-07,co:us:VST,VST,,,reconstruction,False,False
2026-08,co:us:BWXT,BWXT,,,reconstruction,False,False
2026-08,co:us:CEG,CEG,,,reconstruction,False,False
2026-08,co:us:GEV,GEV,,,reconstruction,False,False
2026-08,co:us:NNE,NNE,,,reconstruction,False,False
2026-08,co:us:NRG,NRG,,,reconstruction,False,False
2026-08,co:us:OKLO,OKLO,0.875,168.0,reconstruction,True,False
2026-08,co:us:SMR,SMR,0.08333333333333333,16.0,reconstruction,True,False
2026-08,co:us:TLN,TLN,0.041666666666666664,8.0,reconstruction,True,False
2026-08,co:us:VST,VST,,,reconstruction,False,False
