month,n_members,n_values,coverage,no_events,era,stamp_session,stamp_pos
2023-06,9,6,0.6666666666666666,False,reconstruction,2023-06-30,2389
2023-07,9,6,0.6666666666666666,False,reconstruction,2023-07-31,2409
2023-08,9,7,0.7777777777777778,False,reconstruction,2023-08-31,2432
2023-09,9,7,0.7777777777777778,False,reconstruction,2023-09-29,2452
2023-10,9,7,0.7777777777777778,False,reconstruction,2023-10-31,2474
2023-11,9,7,0.7777777777777778,False,reconstruction,2023-11-30,2495
2023-12,9,7,0.7777777777777778,False,reconstruction,2023-12-29,2515
2024-01,9,7,0.7777777777777778,False,reconstruction,2024-01-31,2536
2024-02,9,7,0.7777777777777778,False,reconstruction,2024-02-29,2556
2024-03,9,7,0.7777777777777778,False,reconstruction,2024-03-28,2576
2024-04,9,7,0.7777777777777778,False,reconstruction,2024-04-30,2598
2024-05,9,8,0.8888888888888888,False,reconstruction,2024-05-31,2620
2024-06,9,8,0.8888888888888888,False,reconstruction,2024-06-28,2639
2024-07,9,9,1.0,False,reconstruction,2024-07-31,2661
2024-08,9,9,1.0,False,reconstruction,2024-08-30,2683
2024-09,9,9,1.0,False,reconstruction,2024-09-30,2703
2024-10,9,9,1.0,False,reconstruction,2024-10-31,2726
2024-11,9,9,1.0,False,reconstruction,2024-11-29,2746
2024-12,9,9,1.0,False,reconstruction,2024-12-31,2767
2025-01,9,9,1.0,False,reconstruction,2025-01-31,2787
2025-02,9,9,1.0,False,reconstruction,2025-02-28,2806
2025-03,9,9,1.0,False,reconstruction,2025-03-31,2827
2025-04,9,9,1.0,False,reconstruction,2025-04-30,2848
2025-05,9,9,1.0,False,reconstruction,2025-05-30,2869
2025-06,9,9,1.0,False,reconstruction,2025-06-30,2889
2025-07,9,9,1.0,False,reconstruction,2025-07-31,2911
2025-08,9,9,1.0,False,reconstruction,2025-08-29,2932
2025-09,9,9,1.0,False,reconstruction,2025-09-30,2953
2025-10,9,9,1.0,False,reconstruction,2025-10-31,2976
2025-11,9,9,1.0,False,reconstruction,2025-11-28,2995
2025-12,9,9,1.0,False,reconstruction,2025-12-31,3017
2026-01,9,9,1.0,False,reconstruction,2026-01-30,3037
2026-02,9,9,1.0,False,reconstruction,2026-02-27,3056
2026-03,9,9,1.0,False,reconstruction,2026-03-31,3078
2026-04,9,9,1.0,False,reconstruction,2026-04-30,3099
2026-05,9,9,1.0,False,reconstruction,2026-05-29,3119
2026-06,9,9,1.0,False,reconstruction,2026-06-30,3140
2026-07,9,9,1.0,False,reconstruction,2026-07-31,3162
2026-08,9,9,1.0,False,reconstruction,2026-08-10,3168
