month,n_members,n_values,coverage,no_events,era,stamp_session
2023-06,9,6,0.6666666666666666,False,reconstruction,2023-06-30
2023-07,9,6,0.6666666666666666,False,reconstruction,2023-07-31
2023-08,9,7,0.7777777777777778,False,reconstruction,2023-08-31
2023-09,9,7,0.7777777777777778,False,reconstruction,2023-09-29
2023-10,9,7,0.7777777777777778,False,reconstruction,2023-10-31
2023-11,9,7,0.7777777777777778,False,reconstruction,2023-11-30
2023-12,9,7,0.7777777777777778,False,reconstruction,2023-12-29
2024-01,9,7,0.7777777777777778,False,reconstruction,2024-01-31
2024-02,9,7,0.7777777777777778,False,reconstruction,2024-02-29
2024-03,9,7,0.7777777777777778,False,reconstruction,2024-03-28
2024-04,9,7,0.7777777777777778,False,reconstruction,2024-04-30
2024-05,9,8,0.8888888888888888,False,reconstruction,2024-05-31
2024-06,9,8,0.8888888888888888,False,reconstruction,2024-06-28
2024-07,9,9,1.0,False,reconstruction,2024-07-31
2024-08,9,9,1.0,False,reconstruction,2024-08-30
2024-09,9,9,1.0,False,reconstruction,2024-09-30
2024-10,9,9,1.0,False,reconstruction,2024-10-31
2024-11,9,9,1.0,False,reconstruction,2024-11-29
2024-12,9,9,1.0,False,reconstruction,2024-12-31
2025-01,9,9,1.0,False,reconstruction,2025-01-31
2025-02,9,9,1.0,False,reconstruction,2025-02-28
2025-03,9,9,1.0,False,reconstruction,2025-03-31
2025-04,9,9,1.0,False,reconstruction,2025-04-30
2025-05,9,9,1.0,False,reconstruction,2025-05-30
2025-06,9,9,1.0,False,reconstruction,2025-06-30
2025-07,9,9,1.0,False,reconstruction,2025-07-31
2025-08,9,9,1.0,False,reconstruction,2025-08-29
2025-09,9,9,1.0,False,reconstruction,2025-09-30
2025-10,9,9,1.0,False,reconstruction,2025-10-31
2025-11,9,9,1.0,False,reconstruction,2025-11-28
2025-12,9,9,1.0,False,reconstruction,2025-12-31
2026-01,9,9,1.0,False,reconstruction,2026-01-30
2026-02,9,9,1.0,False,reconstruction,2026-02-27
2026-03,9,9,1.0,False,reconstruction,2026-03-31
2026-04,9,9,1.0,False,reconstruction,2026-04-30
2026-05,9,9,1.0,False,reconstruction,2026-05-29
2026-06,9,9,1.0,False,reconstruction,2026-06-30
2026-07,9,9,1.0,False,reconstruction,2026-07-31
2026-08,9,9,1.0,False,reconstruction,2026-08-10
