construction,slot,market,month_from,month_to,n,rho,sessions_shared,window,era
trading_beta.v0,us_mature_broad,us,2023-06,2023-09,21,0.7104,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2023-07,2023-10,21,0.8416,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2023-08,2023-11,21,0.8571,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2023-09,2023-12,21,0.8039,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2023-10,2024-01,21,0.7597,1.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2023-11,2024-02,21,0.8649,2.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2023-12,2024-03,21,0.887,2.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-01,2024-04,21,0.8234,1.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-02,2024-05,21,0.8753,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-03,2024-06,21,0.9169,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-04,2024-07,21,0.913,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-05,2024-08,21,0.9182,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-06,2024-09,21,0.8974,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-07,2024-10,21,0.9039,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-08,2024-11,21,0.8039,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-09,2024-12,21,0.7844,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-10,2025-01,21,0.8571,2.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-11,2025-02,21,0.8182,3.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2024-12,2025-03,21,0.8,3.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-01,2025-04,21,0.8909,2.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-02,2025-05,21,0.8896,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-03,2025-06,21,0.8805,1.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-04,2025-07,21,0.8792,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-05,2025-08,21,0.7896,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-06,2025-09,21,0.5805,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-07,2025-10,21,0.6753,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-08,2025-11,22,0.6691,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-09,2025-12,22,0.651,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-10,2026-01,22,0.8938,2.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-11,2026-02,22,0.7753,2.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2025-12,2026-03,22,0.8216,2.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2026-01,2026-04,22,0.8701,1.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2026-02,2026-05,22,0.7741,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2026-03,2026-06,21,0.8169,1.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2026-04,2026-07,21,0.7273,0.0,63,reconstruction
trading_beta.v0,us_mature_broad,us,2026-05,2026-08,21,0.8532,14.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2023-06,2023-09,6,0.4857,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2023-07,2023-10,6,0.4857,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2023-08,2023-11,7,0.8571,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2023-09,2023-12,7,0.9643,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2023-10,2024-01,7,0.9643,1.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2023-11,2024-02,7,0.75,2.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2023-12,2024-03,7,0.7143,2.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-01,2024-04,7,0.5714,1.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-02,2024-05,7,-0.2143,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-03,2024-06,7,-0.3214,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-04,2024-07,7,0.4286,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-05,2024-08,8,0.2381,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-06,2024-09,8,0.7381,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-07,2024-10,9,0.9,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-08,2024-11,9,0.85,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-09,2024-12,9,0.85,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-10,2025-01,9,0.95,2.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-11,2025-02,9,0.8833,3.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2024-12,2025-03,9,0.95,3.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-01,2025-04,9,0.8833,2.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-02,2025-05,9,0.9333,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-03,2025-06,9,0.9,1.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-04,2025-07,9,0.8333,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-05,2025-08,9,0.7667,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-06,2025-09,9,0.6833,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-07,2025-10,9,0.8833,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-08,2025-11,9,0.7333,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-09,2025-12,9,0.8167,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-10,2026-01,9,0.9167,2.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-11,2026-02,9,0.8667,2.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2025-12,2026-03,9,0.5333,2.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2026-01,2026-04,9,0.65,1.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2026-02,2026-05,9,0.7833,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2026-03,2026-06,9,0.7,1.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2026-04,2026-07,9,0.6333,0.0,63,reconstruction
trading_beta.v0,us_young_narrow,us,2026-05,2026-08,9,0.7667,14.0,63,reconstruction
trading_beta.v0,us_institutional,us,2023-06,2023-09,22,0.1688,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2023-07,2023-10,22,0.2953,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2023-08,2023-11,22,0.319,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2023-09,2023-12,22,0.2298,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2023-10,2024-01,22,0.1259,1.0,63,reconstruction
trading_beta.v0,us_institutional,us,2023-11,2024-02,22,0.3111,2.0,63,reconstruction
trading_beta.v0,us_institutional,us,2023-12,2024-03,22,0.2513,2.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-01,2024-04,22,0.7369,1.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-02,2024-05,22,0.6431,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-03,2024-06,22,0.5901,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-04,2024-07,22,0.4263,0.0,63,reconstruction
trading_beta.v0,us_institutional,us,2024-05,2024-08,22,0.7753,0.0,63,reconstruction
