slot,market,construction,months,graded_months,no_events_months,pooled_coverage,latest_month,latest_coverage,min_month_coverage,status,era
cn_mature,cn,attention_share.cn.comment.v0,3,3,0,1.0,2026-08,1.0,1.0,COMPUTABLE,reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,26,12,14,1.0,2026-07,1.0,1.0,COMPUTABLE,reconstruction
cn_mature,cn,trading_beta.v0,32,32,0,1.0,2026-08,1.0,1.0,COMPUTABLE,reconstruction
cn_young_speculative,cn,attention_share.cn.comment.v0,3,3,0,1.0,2026-08,1.0,1.0,COMPUTABLE,reconstruction
cn_young_speculative,cn,attention_share.cn.lhb.v0,26,17,9,1.0,2026-08,1.0,1.0,COMPUTABLE,reconstruction
cn_young_speculative,cn,trading_beta.v0,32,32,0,1.0,2026-08,1.0,1.0,COMPUTABLE,reconstruction
cross_market_pair.cn,cn,attention_share.cn.comment.v0,3,3,0,1.0,2026-08,1.0,1.0,COMPUTABLE,reconstruction
cross_market_pair.cn,cn,attention_share.cn.lhb.v0,26,19,7,1.0,2026-08,1.0,1.0,COMPUTABLE,reconstruction
cross_market_pair.cn,cn,trading_beta.v0,32,32,0,0.9578,2026-08,1.0,0.9459,COMPUTABLE,reconstruction
cross_market_pair.us,us,attention_share.us.flare.v0,2,2,0,0.7692,2026-08,0.7692,0.7692,COMPUTABLE,reconstruction
cross_market_pair.us,us,attention_share.us.wsb.v0,3,3,0,0.5,2026-08,0.5,0.5,ABSTAIN,reconstruction
cross_market_pair.us,us,trading_beta.v0,39,39,0,0.9766,2026-08,1.0,0.913,COMPUTABLE,reconstruction
us_institutional,us,attention_share.us.flare.v0,2,2,0,0.6667,2026-08,0.6667,0.6667,ABSTAIN,reconstruction
us_institutional,us,attention_share.us.wsb.v0,3,3,0,0.1429,2026-08,0.1429,0.1429,ABSTAIN,reconstruction
us_institutional,us,trading_beta.v0,39,39,0,1.0,2026-08,1.0,1.0,COMPUTABLE,reconstruction
us_mature_broad,us,attention_share.us.flare.v0,2,2,0,0.5238,2026-08,0.5238,0.5238,ABSTAIN,reconstruction
us_mature_broad,us,attention_share.us.wsb.v0,3,3,0,0.2857,2026-08,0.2857,0.2857,ABSTAIN,reconstruction
us_mature_broad,us,trading_beta.v0,39,39,0,0.9976,2026-08,1.0,0.9545,COMPUTABLE,reconstruction
us_young_narrow,us,attention_share.us.flare.v0,2,2,0,0.3333,2026-08,0.3333,0.3333,ABSTAIN,reconstruction
us_young_narrow,us,attention_share.us.wsb.v0,3,3,0,0.3333,2026-08,0.3333,0.3333,ABSTAIN,reconstruction
us_young_narrow,us,trading_beta.v0,39,39,0,0.9259,2026-08,1.0,0.6667,COMPUTABLE,reconstruction
us_mature_broad,us,economic_share,0,0,0,,,,,ABSTAIN,
us_young_narrow,us,economic_share,0,0,0,,,,,ABSTAIN,
us_institutional,us,economic_share,0,0,0,,,,,ABSTAIN,
cn_mature,cn,economic_share,0,0,0,,,,,ABSTAIN,
cn_young_speculative,cn,economic_share,0,0,0,,,,,ABSTAIN,
cross_market_pair.us,us,economic_share,0,0,0,,,,,ABSTAIN,
cross_market_pair.cn,cn,economic_share,0,0,0,,,,,ABSTAIN,
