slot,market,construction,month_from,month_to,adjacent,n,rho,p,p_method,era
us_mature_broad,us,trading_beta.v0,2023-06,2023-07,True,21,0.8883,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2023-07,2023-08,True,21,0.8688,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2023-08,2023-09,True,21,0.9805,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2023-09,2023-10,True,21,0.9312,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2023-10,2023-11,True,21,0.9169,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2023-11,2023-12,True,21,0.9532,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2023-12,2024-01,True,21,0.9779,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-01,2024-02,True,21,0.9455,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-02,2024-03,True,21,0.9571,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-03,2024-04,True,21,0.9818,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-04,2024-05,True,21,0.9519,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-05,2024-06,True,21,0.9896,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-06,2024-07,True,21,0.8909,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-07,2024-08,True,21,0.9805,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-08,2024-09,True,21,0.9727,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-09,2024-10,True,21,0.9442,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-10,2024-11,True,21,0.8727,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_mature_broad,us,trading_beta.v0,2024-11,2024-12,True,21,0.9883,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
