slot,market,construction,distinct_companies,distinct_months,no_events_months,episodes,pct_nonzero,median_modal_tie_mass,sparse,dead_members,dead_member_symbols,era
cn_mature,cn,attention_share.cn.comment.v0,15,3,0,3,1.0,0.0667,False,0,,reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,15,12,14,12,0.15,0.8667,True,0,,reconstruction
cn_mature,cn,trading_beta.v0,15,32,0,32,,,False,0,,reconstruction
cn_young_speculative,cn,attention_share.cn.comment.v0,11,3,0,3,1.0,0.0909,False,0,,reconstruction
cn_young_speculative,cn,attention_share.cn.lhb.v0,11,17,9,17,0.1818,0.9091,True,0,,reconstruction
cn_young_speculative,cn,trading_beta.v0,11,32,0,32,,,False,0,,reconstruction
cross_market_pair.cn,cn,attention_share.cn.comment.v0,37,3,0,3,1.0,0.0541,False,0,,reconstruction
cross_market_pair.cn,cn,attention_share.cn.lhb.v0,37,19,7,19,0.1807,0.8378,True,0,,reconstruction
cross_market_pair.cn,cn,trading_beta.v0,37,32,0,32,,,False,0,,reconstruction
cross_market_pair.us,us,attention_share.us.flare.v0,26,2,0,2,0.95,0.5,True,0,,reconstruction
cross_market_pair.us,us,attention_share.us.wsb.v0,26,3,0,3,1.0,0.3077,True,0,,reconstruction
cross_market_pair.us,us,trading_beta.v0,26,39,0,39,,,False,0,,reconstruction
us_institutional,us,attention_share.us.flare.v0,21,2,0,2,0.8929,0.7143,True,1,AXON,reconstruction
us_institutional,us,attention_share.us.wsb.v0,21,3,0,3,1.0,0.3333,True,1,AXON,reconstruction
us_institutional,us,trading_beta.v0,22,39,0,39,,,False,1,AXON,reconstruction
us_mature_broad,us,attention_share.us.flare.v0,21,2,0,2,1.0,1.0,True,1,FUTU,reconstruction
us_mature_broad,us,attention_share.us.wsb.v0,21,3,0,3,1.0,0.3333,True,1,FUTU,reconstruction
us_mature_broad,us,trading_beta.v0,22,39,0,39,,,False,1,FUTU,reconstruction
us_young_narrow,us,attention_share.us.flare.v0,9,2,0,2,1.0,1.0,True,0,,reconstruction
us_young_narrow,us,attention_share.us.wsb.v0,9,3,0,3,1.0,0.3333,True,0,,reconstruction
us_young_narrow,us,trading_beta.v0,9,39,0,39,,,False,0,,reconstruction
