employer_name_pattern,ticker,valid_from,valid_to,confidence,notes
# Canonical employer-ticker map for WARN w2044 study
# Fields: employer_name_pattern (regex/substring, case-insensitive), ticker, valid_from, valid_to (inclusive), confidence [high/med/low], notes
# valid_to="" means still active as of build date
# Pattern matching: case-insensitive substring match on employer_raw; longest match wins
# Subsidiaries: map to parent ticker with lower confidence and a note
#
# ── Big Tech ──────────────────────────────────────────────────────────────────
Amazon,AMZN,1997-05-15,,high,Parent Amazon.com
Amazon.com,AMZN,1997-05-15,,high,
Meta Platforms,META,2021-10-28,,high,Renamed from Facebook
Facebook,META,2012-05-18,,high,
Google,GOOGL,2004-08-19,,high,
Alphabet,GOOGL,2015-10-02,,high,
Microsoft,MSFT,1986-03-13,,high,
Apple,AAPL,1984-01-01,,high,
Intel Corporation,INTC,1971-01-01,,high,
Qualcomm,QCOM,1991-12-13,,high,
Oracle America,ORCL,1986-03-12,,high,Also: Oracle Corporation
Oracle Corporation,ORCL,1986-03-12,,high,
Cisco Systems,CSCO,1990-02-16,,high,
Marvell Semiconductor,MRVL,2000-06-27,,high,Also: Marvell Technology
Marvell Technology,MRVL,2000-06-27,,high,
Tesla,TSLA,2010-06-29,,high,
Rivian,RIVN,2021-11-10,,high,
Illumina,ILMN,2000-07-28,,high,
Jabil,JBL,2001-01-01,,high,Also: Jabil Inc
Jabil Inc,JBL,2001-01-01,,high,
# ── Airlines & Transport ───────────────────────────────────────────────────────
Boeing,BA,1962-01-01,,high,All Boeing variants → BA
Boeing Company,BA,1962-01-01,,high,
United Airlines,UAL,1990-01-01,,high,
American Airlines,AAL,2013-12-09,,high,
Delta Air Lines,DAL,2007-04-30,,high,
Delta Air,DAL,2007-04-30,,high,
Southwest Airlines,LUV,1971-01-01,,high,
Alaska Airlines,ALK,1985-04-23,,high,Also: Alaska Air
Alaska Air,ALK,1985-04-23,,high,
Spirit Airlines,SAVE,2011-06-01,2024-11-18,high,Delisted/bankruptcy Nov 2024
JetBlue,JBLU,2002-04-11,,high,
Frontier Airlines,ULCC,2021-04-01,,high,
Hawaiian Holdings,HA,2005-01-01,,high,Also: Hawaiian Airlines
Hawaiian Airlines,HA,2005-01-01,,high,
FedEx,FDX,1978-04-12,,high,
UPS,UPS,1999-11-10,,high,United Parcel Service
Yellow Corporation,YELL,1996-03-15,2023-08-06,high,Bankruptcy Aug 2023
YRC Worldwide,YELL,2007-01-01,2021-01-25,med,Renamed to Yellow Corporation
# ── Financial ─────────────────────────────────────────────────────────────────
Wells Fargo,WFC,1970-01-01,,high,
Bank of America,BAC,1998-09-30,,high,
JPMorgan,JPM,1969-05-01,,high,Also: JPMorgan Chase
JPMorgan Chase,JPM,1969-05-01,,high,
Citigroup,C,1998-10-08,,high,Also: Citi
AT&T,T,1984-01-01,,high,
PennyMac,PFSI,2013-05-08,,high,Also: Pennymac
Pennymac,PFSI,2013-05-08,,high,
Goldman Sachs,GS,1999-05-04,,high,
Morgan Stanley,MS,1986-03-05,,high,
Charles Schwab,SCHW,1987-09-22,,high,
Fidelity,,,,,Private — exclude
Vanguard,,,,,Private — exclude
BlackRock,BLK,1999-10-01,,high,
# ── Healthcare ────────────────────────────────────────────────────────────────
Kaiser Foundation Hospitals,,,,,Non-profit — exclude
Kaiser,,,,,Non-profit — exclude
Thermo Fisher,TMO,2006-11-09,,high,Also: Thermo Fisher Scientific
Thermo Fisher Scientific,TMO,2006-11-09,,high,
Cepheid,CPHD,2000-03-02,2016-11-21,high,Acquired by Danaher Nov 2016
Carbon Health,,,,,Private — exclude (as of 2026-07)
Symantec Corporation,NLOK,1989-03-23,,high,Renamed to NortonLifeLock/Gen Digital
Centene,CNC,2001-12-12,,high,
Humana,HUM,1984-01-01,,high,
Anthem,ANTM,2001-11-28,,high,Renamed to Elevance
Elevance Health,ELV,2022-06-28,,high,
