respondent_pattern,ticker,valid_from,valid_to,tier,notes
APPLE,AAPL,,,A,Apple Inc - frequent ITC respondent
SAMSUNG ELECTRONICS,005930.KQ,,,B,Samsung - Korean listed only use KQ note
SAMSUNG,005930.KQ,,,B,Samsung Electronics
LG ELECTRONICS,066570.KQ,,,B,LG Electronics Korean listed
HTC CORPORATION,,,,X,HTC - delisted/private Taiwan
MOTOROLA,MSI,,,A,Motorola Solutions (post-split); pre-2011 Motorola Inc maps to MSI post 2011
MOTOROLA MOBILITY,,2012-01-01,,X,Acquired by Google 2012 - not separately listed
GOOGLE,GOOGL,,,A,Google LLC respondent
ALPHABET,GOOGL,,,A,Alphabet Inc
NOKIA,NOK,,,A,Nokia Corporation ADR
BLACKBERRY,BB,,,A,BlackBerry Limited
QUALCOMM,QCOM,,,A,QUALCOMM Inc
INTEL,INTC,,,A,Intel Corporation
MICROSOFT,MSFT,,,A,Microsoft Corporation
DELL,DELL,2018-12-28,,A,Dell Technologies post-IPO
DELL TECHNOLOGIES,DELL,2018-12-28,,A,Dell Technologies
HEWLETT PACKARD,HPQ,,,A,HP Inc (after split)
HP INC,HPQ,,,A,HP Inc
HEWLETT PACKARD ENTERPRISE,HPE,2015-11-02,,A,HPE post-split
LENOVO,0992.HK,,,B,Lenovo Group Hong Kong listed
LENOVO GROUP,0992.HK,,,B,Lenovo Group HK
HUAWEI,,,,X,Private Chinese company - not listed
ZTE,,,,X,ZTE listed in China/HK but not US
OPPO,,,,X,OPPO - private
XIAOMI,,,,X,Xiaomi - HK listed not US
SONY,SONY,,,A,Sony Group Corporation ADR
SONY CORPORATION,SONY,,,A,Sony ADR
NINTENDO,NTDOY,,,A,Nintendo ADR
PANASONIC,,,,X,Panasonic not US listed
SHARP,,,,X,Sharp - not US listed
TOSHIBA,,,,X,Toshiba - not US listed
ERICSSON,ERIC,,,A,Telefonaktiebolaget LM Ericsson ADR
CANON,CAJ,,,A,Canon Inc ADR
NIKON,,,,X,Nikon not US ADR
FUJIFILM,,,,X,Fujifilm not US listed
SEIKO EPSON,,,,X,Epson not US listed
EPSON,,,,X,Epson not US listed
RICOH,,,,X,Ricoh not US listed
BROTHER,,,,X,Brother Industries not US listed
KONICA MINOLTA,,,,X,Not US listed
XEROX,XRX,,,A,Xerox Holdings Corporation
AMAZON,AMZN,,,A,Amazon.com Inc
NETFLIX,NFLX,,,A,Netflix Inc
META PLATFORMS,META,,,A,Meta Platforms Inc
FACEBOOK,META,,,A,Meta Platforms Inc
TAIWAN SEMICONDUCTOR,TSM,,,A,TSMC ADR
TSMC,TSM,,,A,TSMC ADR
MEDIATEK,,,,X,MediaTek - Taiwan listed only
BROADCOM,AVGO,,,A,Broadcom Inc
MARVELL TECHNOLOGY,MRVL,,,A,Marvell Technology Group
TEXAS INSTRUMENTS,TXN,,,A,Texas Instruments
