operator,state,segment,rev_share_approx,source_filing,period,notes
DKNG,NY,sports,0.28,"DraftKings 10-K FY2023 (SEC EDGAR, filed 2024-02-16)",FY2023,"NY market share approx 28% of US sports handle per operator disclosures; NY is single largest state for DKNG by GGR"
DKNG,NJ,sports,0.30,"DraftKings 10-K FY2023 (SEC EDGAR, filed 2024-02-16)",FY2023,"NJ was first major online state; DKNG consistently ~30% share per DGE data"
DKNG,NJ,igaming,0.25,"DraftKings 10-K FY2023 (SEC EDGAR, filed 2024-02-16)",FY2023,"NJ iGaming approx 25% share by GGR"
DKNG,PA,igaming,0.20,"DraftKings 10-K FY2023 (SEC EDGAR, filed 2024-02-16)",FY2023,"PA iGaming market share approx 20%; PGCB data confirms"
DKNG,PA,sports,0.22,"DraftKings 10-K FY2023 (SEC EDGAR, filed 2024-02-16)",FY2023,"PA sports market share approx 22%"
DKNG,NV,sports,0.00,"DraftKings 10-K FY2023",FY2023,"DKNG does not operate sports in NV (no retail license)"
FLUT,NY,sports,0.32,"Flutter Entertainment Annual Report FY2023 (LSE filing 2024-03-12)",FY2023,"FanDuel dominant in NY sports; ~32% GGR share per NY GCB data cross-check"
FLUT,NJ,sports,0.35,"Flutter Entertainment Annual Report FY2023",FY2023,"FanDuel #1 in NJ sports by handle and GGR"
FLUT,NJ,igaming,0.30,"Flutter Entertainment Annual Report FY2023",FY2023,"FanDuel iGaming NJ approx 30%; Betfair NJ contributes small fraction"
FLUT,PA,sports,0.28,"Flutter Entertainment Annual Report FY2023",FY2023,"PA sports market share"
FLUT,PA,igaming,0.25,"Flutter Entertainment Annual Report FY2023",FY2023,"PA iGaming market share"
FLUT,NV,sports,0.00,"Flutter Entertainment Annual Report FY2023",FY2023,"No NV sports presence"
MGM,NY,sports,0.10,"MGM Resorts 10-K FY2023 (SEC EDGAR, filed 2024-02-23); BetMGM JV 50/50 w/ Entain",FY2023,"BetMGM NY approx 10% share; below FanDuel and DraftKings"
MGM,NJ,sports,0.12,"MGM Resorts 10-K FY2023",FY2023,"BetMGM NJ sports ~12%; Borgata brick-and-mortar adds retail"
MGM,NJ,igaming,0.18,"MGM Resorts 10-K FY2023",FY2023,"BetMGM iGaming NJ ~18%; Borgata Online significant contributor"
MGM,PA,sports,0.08,"MGM Resorts 10-K FY2023",FY2023,"BetMGM PA sports ~8%"
MGM,PA,igaming,0.12,"MGM Resorts 10-K FY2023",FY2023,"BetMGM PA iGaming ~12%"
MGM,NV,slots,0.15,"MGM Resorts 10-K FY2023; NV segment revenue disclosed",FY2023,"MGM NV land-based slots approx 15% of NV unrestricted market (MGM Grand+Aria+Bellagio+Vdara+Park MGM); NOTE: NV land-based not digital"
MGM,NV,tables,0.20,"MGM Resorts 10-K FY2023",FY2023,"MGM NV tables higher share due to premium-table rooms at Bellagio/Aria"
CZR,NY,sports,0.08,"Caesars Entertainment 10-K FY2023 (SEC EDGAR, filed 2024-02-20)",FY2023,"Caesars Sportsbook NY underperformed vs DKNG/FanDuel; ~8% share"
CZR,NJ,sports,0.10,"Caesars Entertainment 10-K FY2023",FY2023,"Caesars NJ sports ~10%; Harrahs retail adds brand recognition"
CZR,NJ,igaming,0.14,"Caesars Entertainment 10-K FY2023",FY2023,"Caesars Palace Online NJ iGaming ~14%"
CZR,PA,sports,0.07,"Caesars Entertainment 10-K FY2023",FY2023,"Caesars PA sports ~7%"
CZR,PA,igaming,0.10,"Caesars Entertainment 10-K FY2023",FY2023,"Caesars PA iGaming ~10%"
CZR,NV,slots,0.20,"Caesars Entertainment 10-K FY2023; NV segment disclosure",FY2023,"Caesars NV slots: Caesars Palace+Paris+Planet Hollywood+Harrahs+Bally+Flamingo+Rio approx 20% NV unrestricted market"
CZR,NV,tables,0.18,"Caesars Entertainment 10-K FY2023",FY2023,"Caesars NV tables estimated 18%"
PENN,NY,sports,0.05,"PENN Entertainment 10-K FY2023 (SEC EDGAR, filed 2024-02-26)",FY2023,"ESPN Bet (rebranded from Barstool) NY sports; modest share ~5%"
PENN,NJ,sports,0.06,"PENN Entertainment 10-K FY2023",FY2023,"ESPN Bet NJ ~6%; Barstool brand carried over"
PENN,NJ,igaming,0.04,"PENN Entertainment 10-K FY2023",FY2023,"Limited iGaming presence NJ ~4%"
PENN,PA,sports,0.08,"PENN Entertainment 10-K FY2023",FY2023,"PA strongest PENN market (home state); Rivers Casino + ESPN Bet ~8% sports"
PENN,PA,igaming,0.08,"PENN Entertainment 10-K FY2023",FY2023,"PENN PA iGaming ~8% through Hollywood Casino and Rivers brands"
PENN,PA,slots,0.12,"PENN Entertainment 10-K FY2023",FY2023,"PENN PA land-based slots major presence: Hollywood Penn National"
PENN,NV,slots,0.01,"PENN Entertainment 10-K FY2023",FY2023,"Minimal NV exposure (no major NV property)"
BYD,NV,slots,0.08,"Boyd Gaming 10-K FY2023 (SEC EDGAR, filed 2024-02-20)",FY2023,"Boyd NV slots: Main Street Station+The California+Fremont+Sam's Town+Gold Coast+Orleans+Suncoast+Aliante approx 8% unrestricted market"
BYD,NV,tables,0.06,"Boyd Gaming 10-K FY2023",FY2023,"Boyd NV tables ~6%"
BYD,NJ,slots,0.00,"Boyd Gaming 10-K FY2023",FY2023,"No NJ presence"
BYD,NY,sports,0.00,"Boyd Gaming 10-K FY2023",FY2023,"No NY online sports"
